mM1	mM2	mM3	mM4	mM5	mM6
0.9583709999999999	1.06661	0.0	0.0	1.7203099999999998	0.0
0.0	0.0	0.0	0.0	0.0	0.0
0.302352	1.17774	0.252447	0.0	0.0	0.625845
14.8147	28.5366	19.0299	15.4784	26.5929	28.3064
2.13479	2.85107	0.356487	0.252136	3.8320300000000005	4.41886
1215.18	1289.37	1536.4	1484.86	1115.24	1494.06
22.5526	14.6415	26.6761	11.0985	40.4827	11.6705
209.085	315.957	329.93	293.39	286.077	298.012
0.9244459999999999	0.171475	0.514575	0.7278979999999999	1.38285	0.42523
1.5787799999999999	11.7139	0.0	1.55389	14.6421	0.7262109999999999
0.0	0.0	0.0	0.0	0.948636	0.0
56.9795	190.24400000000003	142.724	280.406	238.65400000000002	170.362
158.416	140.85399999999998	162.46	178.967	103.545	124.74799999999999
203.829	173.918	133.313	184.56599999999997	695.173	564.8919999999999
39.0489	50.9978	59.8844	40.001999999999995	55.074	58.2843
440.551	503.334	494.00199999999995	423.551	387.76199999999994	449.346
35.273	30.1975	35.1147	20.029	65.7516	43.9947
0.0	0.0	0.0	0.0	1.50211	0.0
51.2705	56.7233	54.2067	42.6391	59.6305	62.1685
3.4218800000000003	1.26945	1.90472	4.041519999999999	5.11867	3.1480200000000003
84.0193	113.01	98.6623	84.6404	94.3618	99.822
56.7552	32.2691	64.9003	64.118	37.6504	40.8622
11.6777	21.976	14.8913	18.8077	17.7223	23.1465
319.123	356.325	276.029	272.21299999999997	405.292	360.50199999999995
817.1289999999999	1888.58	1829.69	1897.29	2408.51	1819.53
2592.01	3801.65	4018.59	3520.55	2507.42	3287.47
116.22	144.19299999999998	188.41099999999997	139.40200000000002	100.251	161.314
30.996	41.9598	41.6817	27.4566	21.1321	40.2024
0.0	0.0	0.0	0.0	0.444931	0.22803
2.65021	0.0	2.95037	0.521686	0.0	1.21905
41.2979	40.3051	36.6034	31.1417	34.2144	29.8096
0.0	2.1529700000000003	0.0	0.0	0.0	0.0
71.4143	121.756	130.672	92.4218	76.3693	95.40299999999999
2.52054	1.4026	0.0	0.9923209999999999	3.01631	0.0
