mV1	mV2	mV3	mV4	mV5	mV6
0.851392	0.0	0.58862	5.09309	0.42884700000000003	1.1653200000000001
62.2209	48.2956	55.1502	69.4099	72.3248	58.9592
1.88349	0.0	2.60435	4.09716	2.84615	5.155959999999999
6.0259	5.88432	16.6643	13.1081	36.423	8.24779
106.679	120.145	104.238	103.65299999999999	122.514	100.26299999999999
43.6262	57.9655	59.333999999999996	49.0058	56.1972	59.7122
45.5383	33.4761	41.742	56.7644	40.7208	31.5148
160.266	165.706	182.497	203.024	159.553	209.037
209.74200000000002	206.838	206.88	180.396	206.07299999999998	199.583
275.252	257.688	267.116	254.05900000000003	257.362	246.554
61.281000000000006	53.0506	53.4849	60.0343	56.9184	57.1075
0.435253	0.0	0.0	4.26063	1.7539	2.3829599999999997
0.0	0.0	0.0	0.0	0.0	0.0
0.155969	0.30461	0.431325	0.339281	1.0998700000000001	0.213479
171.313	164.007	191.592	181.761	180.195	150.57299999999998
20.4315	29.9271	16.9506	21.6667	23.6701	16.0799
20.5131	8.58478	6.75333	21.2487	31.4895	14.7069
23.2248	15.1194	10.7045	3.36807	3.11957	12.7153
175.44299999999998	167.989	163.747	144.705	176.74099999999999	149.416
29.9656	32.745	16.771	23.2801	33.0624	34.1789
375.296	437.41	357.11400000000003	421.35900000000004	394.336	535.771
1134.06	1134.29	1126.59	1109.43	1271.59	1052.75
0.281602	0.274985	0.778755	0.6125689999999999	0.5673729999999999	0.770871
4.96039	5.06073	6.55173	4.34834	6.26503	4.76271
346.689	318.645	338.69699999999995	322.918	343.32800000000003	278.31
1.71177	0.0	2.36691	13.6533	2.29926	3.12392
270.126	244.743	288.796	228.68099999999998	257.397	244.89700000000002
0.0	0.0	1233.16	970.003	1796.87	3662.02
220.611	242.929	188.21900000000002	270.58	260.073	289.107
0.0	1.47357	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
40.5877	36.4205	37.92	36.9866	41.4407	22.5217
1.75213	0.0	0.0	0.0	0.588366	0.0
36.1554	15.4463	20.8304	26.2163	23.5232	14.4336
171.18099999999998	150.65	222.085	114.929	174.577	176.44799999999998
41.1787	28.2565	32.8295	54.4719	32.5141	29.9583
93.5426	105.53399999999999	84.1361	116.55799999999999	92.4052	99.4439
66.26899999999999	33.6502	42.7614	62.1468	35.9018	29.8315
55.4985	11.3026	2.87258	93.6109	15.547	5.28078
90.3122	85.0406	91.4277	110.507	105.603	75.0505
215.393	200.482	236.294	207.812	212.803	203.852
54.4433	48.5228	61.5384	51.2259	52.6699	39.6246
10.9056	3.54978	3.35097	11.8614	4.8828	9.951139999999999
1.02746	0.0	2.13103	0.0	0.0	0.703153
110.34899999999999	109.522	109.225	112.15	125.744	95.7391
0.0	0.0	0.0	0.0	0.0	0.0
54.1599	50.0667	39.9404	47.1257	46.5586	43.4896
0.0	0.0	0.988108	0.0	0.0	0.0
0.0	0.914789	0.0	1.01891	0.943734	0.0
693.172	683.863	626.46	735.275	750.1360000000001	866.6
1133.07	1098.12	1212.94	940.85	1242.1	1135.63
52.1958	53.0393	49.8246	55.0418	54.4506	46.0563
127.881	183.87599999999998	180.925	144.734	206.125	148.145
62.9298	68.1724	97.8913	78.0708	77.2634	69.9835
1107.1	960.97	850.454	635.519	867.454	1262.77
123.398	129.106	115.228	118.527	91.2158	119.545
19.0912	5.32648	1.88556	6.67433	3.4343800000000004	4.666180000000001
9.20146	0.691174	0.0	3.84922	0.713044	0.9687889999999999
5.80789	3.36084	3.8666300000000002	6.78487	3.03379	2.6498
59.9961	53.0444	53.8106	57.3184	66.1575	48.8269
81.7109	92.5457	89.4628	77.3095	97.00399999999999	85.23100000000001
154.70600000000002	175.19099999999997	197.737	287.04200000000003	220.025	153.029
187.19099999999997	161.90200000000002	195.97400000000002	170.15	140.086	133.597
314.791	356.25800000000004	325.509	308.244	354.01199999999994	303.845
148.639	131.445	134.593	139.253	113.961	123.32799999999999
16.4738	9.87142	23.8141	68.4133	16.5958	24.598000000000003
0.0	1.4686	1.03976	1.63576	0.757534	1.02924
27.0253	65.9757	74.7369	117.57600000000001	68.0633	110.97
238.88400000000001	216.523	181.247	251.828	219.672	261.573
55.5885	61.3627	40.1027	84.1195	75.4783	43.0048
70.8704	66.9907	44.6853	49.9493	58.8295	53.5451
301.316	404.389	397.793	274.203	392.017	367.86
52.1201	17.9077	30.6955	27.2945	29.17	21.1372
0.0	0.0	0.823203	0.647532	1.19951	0.0
177.417	163.975	152.503	154.703	160.901	149.187
727.1	657.715	626.117	647.845	729.212	630.885
203.3	194.153	187.405	174.53099999999998	193.21200000000002	196.88299999999998
201.891	204.862	202.69400000000002	129.843	160.056	154.987
95.6183	85.2588	93.573	84.7767	80.6522	74.4313
540.145	552.812	515.013	587.489	483.6	570.731
677.133	764.438	630.281	851.447	791.954	800.2189999999999
479.23199999999997	508.01300000000003	508.24800000000005	480.621	525.562	469.027
164.082	146.089	168.158	136.822	155.249	121.09899999999999
43.8919	39.0301	33.7169	47.3932	42.2944	35.6973
50.9048	26.7486	26.1717	56.3896	36.0037	25.7458
7.541930000000001	1.22745	0.8690329999999999	0.0	0.0	0.0
93.5679	79.0103	89.3774	81.612	89.7069	77.9548
4.1288599999999995	4.03185	11.4181	17.963	8.31884	5.651269999999999
118.911	111.895	121.074	136.388	142.661	113.93
0.5977439999999999	0.583699	0.826514	1.30027	1.20434	0.818146
37.4142	28.7062	22.6994	27.8211	36.1528	30.3078
144.46	139.9	112.255	154.525	159.96200000000002	155.24
7.310110000000001	8.922939999999999	6.31741	25.8402	7.3642199999999995	3.75207
201.669	192.58599999999998	206.21	167.274	174.77900000000002	169.61900000000003
237.003	228.00599999999997	241.93900000000002	217.678	265.286	217.863
27.4579	27.8853	37.9667	47.7834	35.4063	33.0724
26.3354	27.4601	23.4535	28.1582	28.329	29.9364
1.06615	0.5205489999999999	0.7370939999999999	0.0	1.0740399999999999	0.0
311.312	252.293	267.27299999999997	224.808	244.852	248.85
739.6339999999999	670.107	777.185	683.939	726.28	705.3589999999999
105.398	72.8371	87.4421	104.055	94.744	95.4345
225.28599999999997	174.53900000000002	252.295	283.508	210.072	191.128
26.0389	30.3169	23.8877	21.5133	29.7629	27.4155
137.02200000000002	146.601	139.214	129.593	133.835	145.144
5.25845	6.16188	8.72518	10.2948	8.4758	10.0763
15.5609	11.3964	8.06865	10.578	14.2064	9.9837
687.482	541.95	580.649	662.952	581.3969999999999	527.788
