mP1	mP2	mP3	mP4	mP5	mP6
151.1	121.848	157.339	163.779	157.192	138.03799999999998
21.8362	38.6366	21.4274	32.4882	35.7979	32.2379
392.004	516.109	429.235	486.56699999999995	414.596	468.099
1046.52	1078.31	892.6110000000001	994.6510000000001	1097.36	940.8969999999999
0.0	0.0	1.05716	0.0	0.336411	0.379825
2.36444	2.3885	2.50143	2.75399	4.1569400000000005	2.09705
328.815	320.423	384.094	304.07099999999997	336.338	302.71
0.0	0.657433	1.42804	0.731893	0.681647	0.0
235.312	256.692	204.733	236.648	262.819	230.06400000000002
3560.26	0.0	3348.03	1143.95	2130.83	1202.9
181.136	270.413	240.82299999999998	313.08099999999996	218.69	208.926
0.0	1.73869	0.0	0.0	0.0	4.07074
0.0	0.0	186.24	0.0	0.0	0.0
32.1138	40.4455	49.4174	39.398	38.659	37.7295
0.0	0.672933	0.730851	1.4983	0.0	0.0
19.0442	13.0182	14.1386	23.1882	24.2958	25.3992
168.733	148.535	137.518	154.514	169.15400000000002	111.169
29.6194	33.3404	36.21	35.6889	22.1592	34.525999999999996
120.851	119.29	81.8256	97.8531	97.6449	121.27
85.4399	59.3872	56.0216	98.6033	72.1301	63.958999999999996
32.7789	10.2586	44.9375	30.0739	41.1275	15.2114
103.009	113.348	98.887	132.392	107.89	106.587
233.718	209.889	170.037	178.861	180.05	174.47299999999998
48.873000000000005	47.29600000000001	37.8492	38.7967	47.4894	38.465
1.6124399999999999	2.79231	9.09791	6.21711	4.34272	6.53753
0.0	0.0	1.2857299999999998	0.0	0.0	0.0
109.929	114.637	111.676	109.831	101.571	113.052
0.0	0.0	0.0	0.0	0.0	0.0
35.5545	44.9301	54.2191	41.6824	30.1939	37.0125
0.0	0.0	0.0	0.916626	1.7074	0.0
1.2465899999999999	0.0	0.0	1.20163	0.0	0.0
694.174	764.0889999999999	794.084	782.799	696.617	821.2139999999999
1066.78	996.685	838.5319999999999	942.352	905.311	956.408
50.065	51.8974	48.0753	50.6383	44.3132	51.4612
155.373	175.105	111.787	179.247	191.296	145.489
115.14200000000001	95.1662	72.596	84.5034	97.4966	68.9648
736.605	673.2339999999999	1039.04	788.93	844.9839999999999	954.028
119.42200000000001	105.25	119.322	129.504	104.34	97.2699
3.62921	1.57121	2.55966	1.7491599999999998	2.44361	3.67861
6.59307	4.89318	1.7714400000000001	3.6315800000000005	3.3822699999999997	18.139
6.29729	5.20476	2.4226	3.03508	2.5697400000000004	2.90136
40.9969	39.2344	43.6258	43.6781	45.5223	48.1162
82.0541	110.59700000000001	76.4026	94.2901	90.7199	74.9767
147.047	155.783	356.277	175.09400000000002	172.392	168.33700000000002
185.041	161.761	127.162	128.63	161.33	138.866
321.128	368.99199999999996	284.908	332.01099999999997	378.23400000000004	291.44599999999997
133.612	110.385	105.895	129.918	125.189	111.774
14.4483	9.05917	19.2092	16.8087	14.7602	19.6949
0.0	2.59925	0.9409870000000001	4.8227199999999995	0.0	0.0
161.83	124.554	118.365	69.3303	48.4279	109.355
210.29	230.074	214.61700000000002	243.56099999999998	206.351	270.98400000000004
70.7549	50.1253	60.4884	74.4032	60.6334	48.8986
80.7263	75.7774	48.2446	74.1785	65.0221	65.7659
217.605	279.13599999999997	261.476	235.005	209.827	180.74200000000002
33.3935	17.7934	36.2341	37.1412	24.214000000000002	37.7535
0.0	0.0	2.235	0.0	0.0	0.0
165.72	144.238	121.54	170.54	156.254	145.269
643.589	645.1519999999999	554.451	683.8710000000001	653.403	653.443
196.09099999999998	180.101	191.602	180.81799999999998	165.731	179.78900000000002
285.007	227.562	179.045	202.668	201.338	185.882
86.4335	79.7131	70.3177	75.1782	82.649	78.84899999999999
525.251	528.317	505.083	534.8580000000001	468.00199999999995	561.422
782.377	901.977	1070.54	898.212	710.2760000000001	1060.34
442.353	474.13199999999995	1116.01	477.585	506.028	480.964
158.405	131.226	148.56	133.708	134.52200000000002	126.279
26.3817	37.9902	39.4026	38.3492	37.4896	34.3197
24.561	30.7485	32.3652	32.2706	33.5663	33.1409
0.0	0.0	0.7864760000000001	0.0	0.0	0.0
96.2394	74.4766	76.3616	95.0875	83.6996	97.5493
0.0	1.58575	1.7222400000000002	3.53071	0.0	3.7126699999999997
129.464	113.344	113.63	151.14	123.976	119.561
0.7954100000000001	2.06616	0.747996	1.53344	0.7140850000000001	2.41871
27.9415	25.5133	25.3204	23.9955	27.3651	30.3816
147.748	158.19299999999998	152.387	171.516	126.93700000000001	175.524
1.21593	4.21135	38.8774	8.20455	2.18323	3.69745
204.65099999999998	169.878	175.222	164.392	183.727	181.43599999999998
209.47299999999998	218.459	224.813	213.92700000000002	226.505	205.22
23.3843	24.0441	31.6111	39.4465	13.1209	22.2212
22.5709	29.8293	31.2796	28.0548	29.8615	26.4904
0.709356	0.0	0.0	0.0	0.636829	0.0
285.228	236.679	292.973	212.752	227.868	228.018
638.679	741.449	961.4730000000001	690.137	700.175	614.9580000000001
81.9938	125.176	66.9606	85.2762	106.541	107.16799999999999
260.144	257.428	142.122	234.044	182.388	185.835
19.3239	29.425	19.4252	24.0865	24.8258	26.0033
123.67	116.691	117.04299999999999	159.71	138.07	153.477
9.7963	9.69404	6.58025	12.140999999999998	8.7947	8.51112
9.05918	10.6455	17.0383	9.35618	9.87571	7.214810000000001
592.9490000000001	473.125	555.596	606.54	530.7909999999999	549.961
14.7043	12.1597	16.0029	10.8295	6.37795	12.7274
37.4201	28.9293	47.7572	34.7822	21.5962	37.9294
41.3754	22.7464	17.9105	21.5242	39.5035	47.2641
1284.4	1121.41	1119.04	1140.85	1299.5	1273.6
9.22005	21.669	4.95454	31.7411	24.8321	2.6701599999999996
3.6913	12.7847	6.94252	8.89541	3.3138900000000002	11.2246
1.3969999999999998	4.23365	0.0	2.01992	2.50833	0.708008
9.20983	5.69605	25.9825	1.26824	9.44935	8.00159
118.87200000000001	97.8095	92.023	117.75	86.6718	110.505
191.755	172.799	172.31	221.80700000000002	221.24400000000003	200.12400000000002
496.64599999999996	545.536	442.059	482.63	528.819	559.6
27.6909	21.9215	57.2885	29.7427	19.1775	24.86
65.194	65.5386	98.71600000000001	74.5591	63.9844	58.8012
