mK1	mK2	mK3	mK4	mK5	mK6
2.10811	0.0	0.242522	0.9631639999999999	0.126408	0.0
646.326	626.313	673.91	655.72	653.6759999999999	625.519
389.19300000000004	354.767	393.13699999999994	427.445	502.7	309.98400000000004
2.70325	7.82758	2.28058	12.831	1.18869	6.01947
9234.29	4010.85	5842.85	8701.7	10659.0	6425.79
6.07519	0.0	0.0	5.08871	0.0	6.76399
11.7186	35.6294	6.59092	3.27193	38.6475	4.3491
0.738035	0.0	0.31132	0.0	0.0	0.41085600000000005
58.2112	41.9339	73.6645	63.6246	43.078	56.9074
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
2.73528	23.761	6.922810000000001	25.2024	36.0832	36.5448
116.197	113.035	134.08100000000002	178.571	117.814	116.541
86.9829	102.109	83.2993	65.9667	86.8349	83.7577
6.09927	19.2065	1.60801	4.470269999999999	6.03453	16.5526
5.3777099999999995	4.67154	0.9721879999999999	4.18274	4.56053	7.27044
70.9688	114.23299999999999	98.6135	118.89	110.14200000000001	123.171
523.0	422.3	620.698	548.078	391.06199999999995	424.111
32.4363	36.4358	27.8366	41.691	45.0026	45.4537
43.9131	55.8577	66.1555	51.2328	45.5158	78.5762
0.0	1.7328	0.0	0.0	3.50855	2.2208900000000003
130.335	149.153	149.46200000000002	144.47299999999998	119.428	108.617
1.99531	1.7333	3.3666699999999996	3.34263	13.1609	1.11077
124.30799999999999	229.77200000000002	74.1198	134.655	266.32	236.21900000000002
0.0	0.0	0.0	0.0	0.0	0.0
6.06243	5.26635	4.09163	5.0780199999999995	4.7984599999999995	4.049869999999999
1061.8	948.078	1125.19	994.7460000000001	941.934	832.057
0.0	2.73965	0.0	1.32084	2.0802099999999997	0.0
63.0982	75.9631	94.6035	72.3849	65.1428	61.8525
10.0748	14.5864	6.07112	10.85	13.9234	11.2171
0.0	4.42211	2.14732	0.0	15.1096	17.0032
756.257	691.5260000000001	570.8530000000001	933.5160000000001	735.102	974.947
564.18	401.806	622.957	628.065	326.97900000000004	366.033
75.01100000000001	91.992	70.7277	83.5281	112.92299999999999	130.67700000000002
0.0	0.0	0.0	0.0	0.0	0.0
74.3354	77.6341	60.5988	64.1306	80.4327	100.12200000000001
23.0857	43.7548	16.8203	22.853	52.6028	38.5547
1.5726	6.83047	3.64846	3.6224199999999995	4.66771	4.81496
1623.74	1162.04	1689.26	1820.96	1214.17	1140.91
100.37299999999999	118.762	128.47799999999998	129.011	54.7902	55.8764
218.729	155.739	203.653	220.446	158.058	167.815
0.0	0.0	0.0	0.0	0.374315	0.0
1114.07	819.177	1188.85	1159.66	1362.9	1358.53
12.6524	13.5273	9.03195	17.9349	21.8264	22.7557
34.9784	106.348	103.28299999999999	58.5973	115.35700000000001	58.4163
123.67399999999999	214.86700000000002	113.7	123.51299999999999	129.68200000000002	178.298
322.199	502.715	229.597	275.122	1378.28	752.2869999999999
65.3093	72.0322	38.3828	35.6501	64.858	61.2758
48.9935	98.7392	76.0529	63.1985	80.1427	68.7308
29.9815	40.1519	24.2398	12.5566	39.551	37.5533
1.5411	1.33874	0.0	0.0	0.0	0.0
57.8261	78.6251	44.0712	55.4561	66.7016	60.961000000000006
0.0	1.82477	0.886086	1.75952	1.38554	1.16939
62.8859	80.1452	63.1754	80.398	79.1374	75.0827
38.6277	46.3854	42.1728	37.1136	40.4658	53.1266
59.4348	60.4617	64.4917	60.756	55.1931	72.2684
937.258	1275.5	933.301	1012.7	1641.79	1315.09
1102.98	2042.56	1136.11	902.3989999999999	1810.34	1604.07
725.931	758.209	751.1439999999999	673.1469999999999	798.2360000000001	728.045
153.655	110.32700000000001	154.924	152.07399999999998	112.61	126.569
39.9307	41.6009	34.1504	41.7224	40.3667	40.3331
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
59.0892	63.5272	50.3439	59.7853	55.5678	42.9906
302.822	272.342	323.1	317.809	390.077	400.62
86.7464	97.2328	105.053	130.086	123.663	81.0039
4.6419	13.4412	1.95806	1.29605	9.185260000000001	1.7227299999999999
53.36600000000001	38.2027	57.9449	41.3894	36.5034	37.4104
109.711	131.547	110.80799999999999	120.37200000000001	134.537	96.3438
451.78	364.716	429.034	499.278	316.712	416.096
136.814	156.48	129.533	118.044	122.97399999999999	111.421
177.99	112.509	190.417	182.078	160.864	126.492
24.1661	41.9855	31.1811	33.3399	43.131	41.1504
31.7747	27.1004	29.2435	24.1956	30.4847	38.5933
0.0	0.0	0.0	0.0	0.0	0.768176
261.737	270.403	252.15900000000002	271.798	245.072	294.171
1584.55	1564.11	1762.48	1733.25	1536.39	1738.23
94.4416	109.387	97.3808	72.0747	94.1313	70.0995
416.89300000000003	669.8710000000001	396.436	345.161	470.483	523.185
12.9622	21.3942	9.2952	10.0431	8.549760000000001	14.7927
30.0716	71.6702	28.6223	43.9186	43.7386	65.2451
53.0863	17.7367	41.3409	47.8867	39.5043	40.9189
71.1202	132.857	58.9382	44.2835	108.765	140.148
526.072	461.681	603.201	609.6759999999999	457.909	489.56199999999995
22.0155	47.0436	23.1827	19.6521	29.4664	33.4574
45.4955	72.2676	65.7979	71.8609	82.3088	86.835
160.335	430.051	271.07099999999997	319.432	431.449	299.42
256.74	224.84	216.59799999999998	245.648	276.732	284.687
1.28112	23.3707	1.08081	1.0730899999999999	5.070069999999999	2.8527400000000003
0.0	0.0	1.5144799999999998	1.50366	0.0	0.0
1.3587799999999999	4.13125	2.86583	1.7072200000000002	2.68872	2.26926
26.8736	52.2478	22.6718	22.5099	57.3971	41.3188
43.4375	54.9356	51.7353	70.6281	59.8299	59.7417
19.3417	39.6045	14.5692	16.2011	36.4503	39.2238
57.293	50.2576	50.7044	45.167	44.4587	48.1543
2538.66	2886.48	1831.41	2260.51	3665.68	3421.95
121.447	129.774	140.994	113.88	111.29700000000001	107.096
80.2536	88.9982	76.3489	87.2459	85.5962	102.661
58.0572	94.1161	82.9183	47.8641	95.8856	110.447
36.72	58.9423	31.8766	25.4084	29.8364	42.6608
2417.14	2716.92	3279.77	2404.38	1643.32	1912.89
2.52028	3.284	1.59466	3.16656	2.49352	5.61204
136.862	161.511	130.713	131.942	149.887	178.255
76.2307	78.3676	81.4361	74.8095	72.5951	75.8338
185.6	193.47299999999998	222.22299999999998	219.44099999999997	152.554	186.773
6.6386	9.37115	7.000780000000001	11.8164	13.1363	12.9347
239.38	155.687	228.385	237.252	166.986	168.843
110.441	159.382	122.477	146.968	169.19	170.56099999999998
16.2095	25.1975	17.9935	14.292	20.2578	24.6963
83.2889	78.3104	95.0662	82.07600000000001	94.3616	90.5502
51.6473	61.0817	57.7461	47.9519	79.6243	57.503
459.091	518.069	535.595	416.041	499.496	566.638
0.0	0.0	1.32131	0.0	2.06609	1.74377
7.832910000000001	8.66008	2.40298	5.36811	9.39366	19.8204
67.0202	64.1202	120.34100000000001	54.9996	66.9061	80.669
87.7397	92.412	98.5551	83.9024	84.2672	84.4042
23.5569	27.2847	19.8736	16.4431	15.5379	0.0
2.07171	5.09905	2.62168	1.4460899999999999	4.09943	3.45989
110.509	117.675	111.275	121.23	123.209	123.039
48.34	60.4375	60.9821	66.9798	71.5168	67.4016
231.66099999999997	360.605	112.971	179.463	295.003	226.61700000000002
24.7095	29.1308	17.868	34.0026	46.5661	55.022
201.856	249.06799999999998	243.278	267.76599999999996	257.589	255.013
15.725999999999999	40.9828	34.4946	47.4207	45.6399	70.0358
64.1004	75.6294	70.2207	56.4967	56.7941	68.7051
9.480789999999999	16.4717	0.0	1.9853299999999998	12.5069	7.91678
27.3528	80.7873	23.076	13.7468	43.2999	18.2724
75.6909	29.5883	51.085	91.9305	94.8575	96.9135
1.38736	30.1296	4.681769999999999	0.0	21.9622	37.0719
0.476387	2.48299	0.401902	2.79323	1.25688	0.0
47.9216	45.2488	42.1866	54.102	68.7144	53.3549
6.10734	9.94755	0.0	0.0	4.02834	0.0
98.8323	153.35	84.4282	123.395	168.917	155.02200000000002
59.9247	52.0558	43.925	55.1313	54.4289	47.0313
21.6429	23.8144	27.997	16.92	26.6475	24.0967
