mC1	mC2	mC3	mC4	mC5	mC6
5.71312	1.40143	0.0	0.0	1.59241	7.167210000000001
44.9196	56.0386	43.125	50.9846	51.2739	47.4077
40.3026	43.974	49.623000000000005	38.425	51.7638	45.8413
52.9563	64.2526	64.0632	64.4258	102.84700000000001	73.34
3.41859	1.11811	1.53844	1.7190599999999998	1.2704799999999998	0.47652
3.34611	1.40709	3.01165	2.16336	1.59884	4.39765
118.51100000000001	86.0944	85.1271	85.9528	124.507	81.0084
142.391	145.576	144.29	154.72	109.906	154.065
101.262	86.7125	93.3494	89.8043	125.214	106.24700000000001
4.4773	4.39314	2.01488	0.0	7.4877	0.0
40.2782	37.908	60.6669	31.0012	50.4055	37.8114
57.7694	71.2373	73.7767	73.0167	70.5005	73.7785
124.87100000000001	136.795	133.971	126.111	114.824	114.29799999999999
185.554	263.009	220.665	239.135	197.602	227.85299999999998
0.45592200000000005	0.894703	0.0	0.6877880000000001	0.508313	0.0
0.0	0.0	0.765077	0.0	0.9477260000000001	0.7109310000000001
9.30408	14.7081	13.4916	14.0358	34.5775	19.0213
41.3515	40.5742	18.6091	54.5838	54.1714	36.3133
71.1147	70.3026	69.7814	53.2374	79.2868	59.0293
4.55135	3.67772	5.54221	5.65437	8.059289999999999	4.47824
260.93	272.757	268.319	274.611	217.613	311.189
157.825	147.17	182.347	130.02	210.90400000000002	156.336
190.803	194.15	222.615	213.21400000000003	157.577	195.03900000000002
56.821999999999996	53.2649	56.3936	58.5497	58.2609	58.5549
199.07299999999998	217.889	203.33599999999998	214.729	214.636	228.30700000000002
341.954	338.654	368.037	412.44800000000004	360.809	349.99
208.873	1.7222400000000002	3.15958	0.661972	2.44617	59.0863
604.651	666.203	556.374	591.118	558.64	596.101
83.2062	85.7413	82.0962	86.6575	86.9455	90.2621
64.1922	51.8179	61.4637	63.872	67.5081	62.0636
251.06099999999998	169.68	198.775	202.729	242.745	164.668
264.28	312.07599999999996	295.116	327.455	310.735	300.008
1.9873	1.9499400000000002	1.19244	2.99798	2.2156700000000003	1.10805
5.30504	3.47021	6.36636	6.669169999999999	2.95733	8.134210000000001
659.816	550.928	547.841	511.781	632.5830000000001	524.695
144.253	184.917	175.90400000000002	221.125	173.799	175.13
8.07824	7.04568	9.694360000000001	10.8325	6.00436	7.506889999999999
43.1559	36.9907	33.9311	34.4225	45.9029	37.7527
96.5846	28.8428	32.1265	28.5074	67.8874	38.633
10.6134	5.785480000000001	21.2278	7.115989999999999	11.833	11.8353
0.8485209999999999	0.0	0.0	1.28005	0.0	0.0
12.2621	10.8672	13.8845	14.3212	5.73307	15.2176
104.34700000000001	91.5071	96.4605	104.615	87.7382	102.361
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	5.8653699999999995	0.0
68.6286	82.1654	70.8358	76.4609	88.7995	67.6656
36.5292	46.871	63.2267	21.1949	78.3209	47.0016
721.034	971.932	838.93	997.6389999999999	578.082	850.6419999999999
430.29400000000004	391.49300000000005	401.879	372.63699999999994	382.195	401.82300000000004
55.32	22.3507	76.1502	9.81811	39.9087	10.8863
32.6118	45.0353	53.2685	56.4855	43.0925	72.7326
6628.64	6504.04	11079.9	9999.75	6334.6	9503.72
1.73196	2.5491	1.55884	3.91917	2.4137299999999997	2.5349
221.85	279.15	249.864	311.308	206.66299999999998	285.008
81.35300000000001	108.56	87.8656	68.7268	108.84200000000001	87.0902
0.0	0.0	1.1348799999999999	0.0	0.0	0.0
84.5038	87.5735	77.4815	83.0766	109.74	111.70299999999999
201.363	201.138	192.665	164.2	232.592	209.373
4.55264	0.0	8.195160000000001	1.3735899999999999	0.0	3.0460599999999998
62.2261	68.5605	67.583	62.4067	50.7729	60.7647
256.107	348.431	300.241	331.161	247.145	306.89099999999996
69.6286	56.174	67.5431	63.0236	60.3788	54.3513
1.1778	0.0	1.5901	2.66518	1.31314	0.49252299999999993
31.5934	30.1617	26.5142	25.7626	26.656	28.2084
0.0	0.0	0.0	0.0	0.0	0.0
18.2985	16.1591	13.4501	15.1825	15.300999999999998	14.2836
0.9040090000000001	0.0	0.0	0.0	1.51184	0.37803200000000003
59.2902	54.8514	44.2157	79.2211	67.9921	51.0039
3.9997800000000003	2.94345	4.49998	0.0	2.22971	1.6726
6.3983	0.0	0.0	0.0	7.133560000000001	10.7024
92.8826	98.5461	91.0747	115.05799999999999	96.8207	92.2078
47.841	65.5694	54.6782	50.4054	73.6581	55.2542
43.4629	49.0428	45.4754	52.4534	51.486000000000004	54.0707
194.195	184.65099999999998	191.00099999999998	238.593	205.35	192.55200000000002
184.91400000000002	173.878	176.007	130.622	203.299	157.72
263.215	220.558	252.592	217.752	324.353	247.423
46.6091	46.6386	52.7493	53.6049	62.7697	59.4368
0.46215200000000006	1.36039	1.24787	0.697187	2.06104	0.386519
0.0	0.0	0.0	0.0	0.0	0.0
0.331217	0.0	0.0	0.0	0.0	0.0
296.925	212.602	214.278	186.97400000000002	305.198	183.452
26.033	30.333000000000002	17.5731	21.2726	31.4432	28.5765
22.818	15.2653	19.6037	6.25865	38.1602	13.8791
27.9481	12.9048	20.7155	4.96019	5.49878	6.8748
135.57399999999998	133.533	124.81700000000001	117.09299999999999	156.346	126.803
29.9236	30.1044	25.5689	40.5704	44.3422	37.3813
419.914	369.978	335.519	458.941	425.173	412.115
1084.73	1022.56	984.575	1040.54	1326.69	919.7819999999999
0.59801	0.29338400000000003	0.5382359999999999	0.45106899999999994	0.66673	0.500143
