Gene	Brain_Male2	Ovary_Female1	Ovary_Female2	Ovary_Female3	Testis_Male4
ENSOANG00000002173	9.27	26.51	3.85	6.32	19.84
ENSOANG00000015494	3.68	0	0.17	0.06	288.4
ENSOANG00000013286	0.39	0.52	0.89	2.51	2.29
ENSOANG00000022165	127.19	188.27	93.39	133.43	35.83
Locus_159908	0.58	0	0.05	0.11	1.77
ENSOANG00000004080	392.73	192.43	61.21	57.75	96.12
ENSOANG00000000899	0.43	7.47	3.53	10.18	0.31
Locus_72639	1.3	0	0	0	0.05
ENSOANG00000015344	6.47	10.83	26.76	79.25	18.77
ENSOANG00000003797	0	0	0	0	3.58
ENSOANG00000015192	15.86	0.15	0.75	0.66	0.18
Locus_70676	0	1.14	0.07	0.43	11.08
ENSOANG00000005674	19.81	46.94	25.68	29.68	61.17
ENSOANG00000011349	0.23	0.03	0.04	0	0.05
Locus_150439	0	0.16	0.66	0.22	0.52
Locus_141614	0.38	0	0	0	3.34
ENSOANG00000022466	9.34	9.63	13.38	17.59	35
ENSOANG00000007822	0	0.04	0.06	0.17	0.07
Locus_134033	0.38	5.36	18.67	25.44	0.14
Locus_97592	0	0	0	0	1.05
Locus_173588	8.83	1.71	4.52	3.75	1.04
Locus_118876	0	1.02	0.7	0.95	3.86
ENSOANG00000001100	48.1	286.6	185.73	342.84	36.74
Locus_27270	0.78	4.45	2.46	2.26	1.02
blastnHuman.ENSG00000234070	0	0	0	0	0
ENSOANG00000012793	2.34	8.35	4.15	2.33	1.55
blastnMouse.ENSMUSG00000091841	0	0	0	0.79	0
ENSOANG00000010310	12.64	9.03	4.56	2.5	2.89
Locus_146832	0.19	0.51	1.75	2.65	0
ENSOANG00000010904	17.71	18.32	29.18	25.56	18.42
ENSOANG00000003109	8.52	13.48	11.24	14.28	18.53
ENSOANG00000013263	18.93	4.56	3.06	3.5	5.51
ENSOANG00000005523	0	0.07	0	0.05	0.08
ENSOANG00000003334	0	0.08	0.57	0.11	0.18
ENSOANG00000019837	19.35	34.36	55.31	109.32	23.42
ENSOANG00000007151	79.95	24.29	10.51	5.35	12.82
Locus_179375	0	13.77	2.71	4.98	0
blastnHuman.ENSG00000235724	0	0	0	0	0
ENSOANG00000007989	32.36	43.02	24.98	27.89	56.81
Locus_15028	1.26	0	0	0	2.19
Locus_76772	0.28	0.25	0.09	0.17	0.2
ENSOANG00000008988	0	0.73	4.21	8.61	0.12
ENSOANG00000010716	7.36	9.73	12.22	14.13	22.98
ENSOANG00000010659	20.13	15.67	10.14	11.88	20.47
ENSOANG00000004035	30.81	6.15	4.01	5.25	5.81
ENSOANG00000022609	0	0	0	0	0
ENSOANG00000005261	1.14	3.96	0.93	1.39	92.27
blastnOpossum.Locus_230931	0	0	0	0	0
ENSOANG00000000571	0.51	1.12	1.27	3.18	0.04
ENSOANG00000002761	1.41	0.22	0.15	0.31	2.73
blastnOpossum.Locus_87240	0	0	0	0	0
ENSOANG00000006302	55.59	68.87	52.17	84.19	201.58
ENSOANG00000008977	2.31	9.06	24.01	49.21	0.78
Locus_85322	0	0	0.12	0.12	1.19
Locus_150924	0	0	0	0	1.82
ENSOANG00000013972	56.69	11.04	5.39	9.45	5.76
ENSOANG00000008528	0.1	0.14	0.05	0.05	0.37
ENSOANG00000002654	167.48	103.42	40.27	43.49	97.84
ENSOANG00000006435	13.21	40.32	30.37	19.78	4.22
ENSOANG00000015157	6.3	40.89	20.14	27.51	9.2
ENSOANG00000003948	4.85	24.53	10.62	8.86	3.53
Locus_76088	0	1.15	0.26	0.8	0
CUFF.113635	0	15.22	1.75	3.53	0
ENSOANG00000011267	48.33	33.46	22.04	12.92	15.75
ENSOANG00000021521	0.42	0.09	0.25	0.26	0.3
ENSOANG00000013390	6.2	3.58	2.5	3.87	13.46
ENSOANG00000005236	16.39	6.7	2.69	4.06	2.81
ENSOANG00000000215	0	0.65	0.18	0	0.1
ENSOANG00000001635	0.54	1.46	3.19	3.64	0.38
ENSOANG00000006938	5.7	24.68	25.41	34.79	31.44
ENSOANG00000003665	9.31	18.8	10.5	19.25	23.14
Locus_34701	0	3.54	0.15	1.04	0.43
Locus_185579	0	0.55	0.51	0.69	1.1
ENSOANG00000002607	12.08	49.75	40.4	72.58	203.33
ENSOANG00000001966	15.06	1.86	88.95	107.5	12.32
ENSOANG00000000601	1.14	3.53	3.86	9.13	0.34
ENSOANG00000010411	28.45	93.93	72.37	57.38	26.6
ENSOANG00000000657	4.73	231.87	475.82	328.91	30.36
blastnHuman.Locus_166565	0	0	0	0	0
ENSOANG00000011941	2.97	17.45	15.71	16.93	13.43
ENSOANG00000005286	22.49	1.83	2.57	1.84	3.57
Locus_141972	0.59	0.78	1.17	0	1.11
Locus_135833	4.74	0	0	0	0
ENSOANG00000010447	10.63	30.75	11.27	17.19	52.48
ENSOANG00000012807	62.05	29.59	47.03	63.5	14.16
ENSOANG00000008625	18.49	8.3	16.62	23.58	31.56
Locus_32681	0	0.3	0.21	0.42	0.12
ENSOANG00000014289	5.89	2.8	9.02	11.85	5.93
Locus_53696	1.4	0	0	0.22	0.13
Locus_29197	0	13.77	4.57	6.43	0
Locus_5906	3.91	0.5	0.17	0.17	0.1
Locus_69838	0.92	3.66	3.08	7.07	1.81
ENSOANG00000020906	2.57	9.33	7.6	5.3	3.85
ENSOANG00000003999	1.36	3.88	7.85	6.85	5.42
ENSOANG00000020297	15.6	13.32	13.6	36.01	3.2
ENSOANG00000005427	0	0	0	0	0
ENSOANG00000012077	30.56	28.47	14	20.37	25.24
ENSOANG00000012138	75.79	71.2	28.75	30.39	76.23
ENSOANG00000013740	3.79	2.58	8.96	16.24	5.17
ENSOANG00000001166	2.37	1.58	5.14	5.94	26.59
ENSOANG00000019998	0.2	0.53	0.55	0.19	0.43
ENSOANG00000003287	0.59	1.7	2.88	7.57	0.18
ENSOANG00000009248	0	0	0	0	0
Locus_108924	0	0	0	0	1.94
ENSOANG00000008408	43.84	56.25	92.14	98.89	18.04
ENSOANG00000015019	25.31	85.3	50.97	82.24	103.43
ENSOANG00000001294	0	0.17	0.12	0	581.86
ENSOANG00000022179	0.08	2.69	3.34	2.64	2.94
ENSOANG00000007026	5.72	9.04	3.87	0.29	1.27
ENSOANG00000019747	10.56	23.55	29.49	20.26	29.5
Locus_190293	39.61	0	0	0	7.61
ENSOANG00000004532	1.06	27.67	46.99	64.44	3.35
ENSOANG00000020564	0.08	0.05	0	0.07	0.12
Locus_60425	0.93	2.55	1.03	0.66	0.05
ENSOANG00000001961	0.18	1.03	2.93	3.79	0.29
Locus_191820	0	0.59	1.27	3.74	0.41
ENSOANG00000008770	1.25	2.22	5.72	3.47	12.33
ENSOANG00000008026	1.83	16.2	22.57	18.98	0.1
ENSOANG00000010070	1.72	0.77	2.81	2.13	0.31
Locus_156889	0	0	0	0	0
blastnHuman.ENSG00000251187	0	0	0	0	0
Locus_66899	0.79	0.26	1.33	3.91	0.43
ENSOANG00000011171	1.27	13.29	5.32	6.27	78.63
ENSOANG00000012497	0.11	0.11	0.05	0	110.26
ENSOANG00000008753	0	0.16	0.66	0	0.13
ENSOANG00000000919	0.53	0.58	0	0.24	0
ENSOANG00000003685	0	10.56	22.67	5.26	0
ENSOANG00000005537	0	0.81	5.3	1.5	0.14
ENSOANG00000012761	46.23	25.15	31.92	40.61	46.4
Locus_87849	0.14	0	0	0	0.76
ENSOANG00000011169	0	0	0	0	0
ENSOANG00000002545	151.83	72.03	68.37	111.36	90.59
ENSOANG00000000337	15.16	18.64	19.8	9.62	5.32
ENSOANG00000001115	17.91	36.01	26.3	10	18.72
ENSOANG00000011117	14.82	10.5	11.39	15.28	13.9
ENSOANG00000002001	52.51	109.8	120.81	103.81	153.45
Locus_14749	0	0	0	0	5.35
Locus_144208	0	0.04	0.06	0	2.61
ENSOANG00000011510	23.84	23.48	13.2	15.59	38.33
Locus_181598	6.46	0	0	0	4.66
ENSOANG00000001444	15.73	42.1	72.09	128.38	35.43
ENSOANG00000011973	43.27	46.58	16.9	26.45	67.87
CUFF.110401	0	1.77	2.74	4	0
ENSOANG00000005646	21.5	11.73	7.99	11.45	61.55
ENSOANG00000003303	14.33	17.42	7.34	6.21	39.48
ENSOANG00000012182	10.45	8.84	22.19	31.56	44.69
ENSOANG00000002058	20.02	0.68	0.22	1.16	130.1
ENSOANG00000002815	0	0	0	0	0
ENSOANG00000004070	288.09	18.11	14.66	10.31	23.48
Locus_49290	0.55	0	0	0	2.84
ENSOANG00000010323	0.45	0.47	0.15	0	39.79
ENSOANG00000005212	0	0	0	0	0
ENSOANG00000021170	37.46	20.65	9.48	6.8	40.07
ENSOANG00000006961	17.16	25.18	10.65	4.25	31.13
ENSOANG00000014024	33.34	54.25	33.37	17.93	37.3
ENSOANG00000001279	6.54	5.78	2.91	2.12	8.57
ENSOANG00000002268	42.35	30.82	50.98	57.84	27.37
Locus_150361	0	2.02	5.83	14.88	0
ENSOANG00000006662	218.39	32.85	15.22	22.73	145.69
Locus_189258	1.04	0	0.32	0	0.19
Locus_173708	0	0	0	0	0.91
ENSOANG00000005085	11.57	43.6	17.91	15.76	6.23
ENSOANG00000005730	0.61	1.32	3.85	5.24	0.99
ENSOANG00000000261	9.4	13.28	14.27	18.91	8.92
ENSOANG00000008337	27.86	30.68	52.69	62.8	81.14
ENSOANG00000008781	0	0	0	0	0.2
Locus_104956	0	0	0	0	0.75
Locus_71257	0	0.76	0.52	0.53	0.92
ENSOANG00000012011	12.92	10.97	39.98	44.06	12
Locus_7079	0	0	0	0	0.46
Locus_161890	0.84	0.47	0.52	0.78	0.3
ENSOANG00000007476	5.02	4.21	12.42	25.68	10.49
ENSOANG00000006213	28.42	10.81	17.97	20.78	33.26
Locus_64876	0	0.2	0.83	0.28	0.81
Locus_169236	1.19	1.75	0.87	0.66	2.05
ENSOANG00000011618	4.75	6.53	6.09	5.78	5.47
Locus_27028	0	0.38	0	0	0.78
ENSOANG00000001789	16.57	12.7	18.95	23.27	12.15
ENSOANG00000014254	9.79	14	12.35	7.66	73.11
blastnHuman.ENSG00000242641	0	0	0	0	0
ENSOANG00000000746	1.74	1.07	4.17	1.61	0.5
Locus_53412	0	0	0	0	1.57
Locus_75200	0	0.95	0.26	0.26	0
ENSOANG00000003756	33.86	22.81	15.1	30.72	132.2
blastnHuman.ENSG00000226861	0	0	0	0	0
ENSOANG00000005690	51.97	7.06	7.94	9.54	7.08
Locus_9184	1.25	0	0	0	0
Locus_179786	0	0	0	0	1.01
ENSOANG00000006808	15.64	16.77	6.2	8.49	14.87
Locus_155361	0	0	0	0	7.06
ENSOANG00000005247	0	0.97	0.31	2.23	0.18
Locus_192487	0.6	2.4	0.14	0.98	1.3
blastnHuman.ENSG00000233854	0	0	0	0	0.42
ENSOANG00000004019	0	0	0	0	0
ENSOANG00000009929	2.34	2.5	1.85	3.29	19.67
ENSOANG00000022075	23.62	0.42	1.59	2.63	0
Locus_130110	1.15	0.25	0.35	0.71	0
ENSOANG00000001937	0	0.4	0.83	0	1.21
ENSOANG00000012785	0	0.14	0	0	0
Locus_122958	0.67	0.44	0.41	0.21	3.95
ENSOANG00000001147	0	4.77	4.34	4.15	2.76
ENSOANG00000004497	48.12	38.92	22.83	43.56	35.92
ENSOANG00000014736	8.31	3.25	6.75	8.81	1.39
ENSOANG00000013317	91.16	79.84	13.13	20.05	268.04
Locus_7638	0.19	0.58	0.09	2.58	3.11
ENSOANG00000007957	0	0	0	0	0
ENSOANG00000015446	0.03	4.91	3.53	5.54	0.16
ENSOANG00000004286	2.24	1.6	6.31	6.14	1.79
ENSOANG00000008694	18.73	41.27	14.49	15.19	35.1
ENSOANG00000012282	11.81	7.55	3.1	2.55	0.76
ENSOANG00000013235	0.77	0.18	0.45	1.01	0.21
ENSOANG00000002114	13.09	23.97	8.04	9.9	23.15
ENSOANG00000006353	0.23	0.08	0	0	0.5
Locus_163845	0	1.7	1.4	3.78	0.27
Locus_153982	0	2.29	0.35	1.15	0.98
ENSOANG00000009231	35.67	133.68	103.73	32.8	61.98
ENSOANG00000004904	14.17	9.66	10.49	9.48	9.76
ENSOANG00000002306	5.59	3.83	3.06	6.7	0.06
ENSOANG00000010026	3.95	18.15	19.89	33.3	8.22
Locus_29234	0	0.91	0.42	0.42	0.16
ENSOANG00000000187	0	0.13	0	0	0
ENSOANG00000000493	2.25	2.03	1.26	2.02	0
ENSOANG00000009823	9.57	13.7	29.43	42.56	11.43
ENSOANG00000020408	2.15	3.85	9.4	5.36	0.9
ENSOANG00000003584	9.71	0.67	0.54	0.12	0.64
blastnHuman.ENSG00000232310	0	0	1.95	2.36	0
ENSOANG00000020051	2.18	6.11	0.86	2.02	0.42
Locus_102214	0	1.96	0.98	0.99	0.29
ENSOANG00000010343	0.48	0.32	1.33	1.12	0
ENSOANG00000012233	0.41	4.57	20.3	33.92	77.56
Locus_55050	0	0	0.17	0	37.75
ENSOANG00000011297	20.7	9.81	12.14	8.76	20.2
ENSOANG00000009021	1.13	0	0.17	0.09	0.25
ENSOANG00000014774	48.58	23.34	22.84	23.66	23.38
Locus_24783	0.72	1.2	0.99	0	0.39
ENSOANG00000004244	136.03	1.02	0.83	0.44	1.13
Locus_57035	1.31	0.09	0	0.24	0.71
ENSOANG00000001068	16.84	34.01	24.99	29.51	45.11
Locus_152258	0	0.41	0	0.19	0.11
ENSOANG00000019925	257.03	573.4	91.24	108.9	1663.18
blastnGorilla.Locus_133052	0	0	0	0	0
blastnHuman.ENSG00000233082	0	0	0	0	0
ENSOANG00000008342	6.92	18.34	8.7	4.55	2.95
Locus_155781	0	0	0	0	1.21
Locus_67233	0	0	0	0	2.35
ENSOANG00000000314	6.62	41.86	4.55	2.09	0.08
ENSOANG00000015451	1.07	0.32	0.54	1.22	9.61
ENSOANG00000005856	12.82	13.03	14.22	10.15	17.44
ENSOANG00000005133	0	0	0.04	0.09	0.02
ENSOANG00000014902	0.27	0	0.1	0.1	5.74
ENSOANG00000002950	4.18	9.73	8.98	15.31	3.55
ENSOANG00000000635	10.32	5.07	3.06	1.76	6.84
ENSOANG00000002252	15.16	11.34	12.05	15.65	22.01
ENSOANG00000005998	0.92	1.08	0	0	1.62
ENSOANG00000014935	2.67	1.32	0.25	0.69	3.23
ENSOANG00000005985	0	0	0	0	0
ENSOANG00000008391	3.62	4.2	5.06	4.33	13.29
Locus_154221	0	0	1.37	0.83	0
ENSOANG00000021234	1.69	1.56	2.14	2.77	6.92
ENSOANG00000001648	4.46	15.14	8.97	10.2	8.29
ENSOANG00000011489	2.3	4	10.42	6.4	4.01
ENSOANG00000001520	0	0.43	0.1	0.07	1.25
ENSOANG00000009312	42.94	26.61	9.44	8.21	39.21
Locus_89987	0.16	0.83	0.62	1.15	0.67
ENSOANG00000003776	9.41	36.71	23.34	22.59	7.15
ENSOANG00000007050	0	0.29	8.65	0.98	0.37
Locus_120144	2.23	0.86	7.63	9.23	1.64
ENSOANG00000021583	7.45	21.16	11.1	10.03	124.93
ENSOANG00000019972	64.93	39.37	22.39	30.39	92.7
ENSOANG00000000395	34.89	0.8	0.64	0.65	0.97
ENSOANG00000005943	8.47	41.45	39.96	88.15	8.73
ENSOANG00000014760	1.31	6.44	4.91	2.13	0.08
blastnMacaque.Locus_246005	0	0	0	0	0
ENSOANG00000000773	18.74	36.15	24.81	31.18	45.2
ENSOANG00000000240	1.28	11.67	8.59	5.09	3.64
Locus_144405	1	0.33	0	0.46	0
ENSOANG00000015839	0.33	18.18	17.75	21.63	294.86
ENSOANG00000006970	0.7	42.08	29.18	20.52	0.65
Locus_34821	0.8	1.34	0.74	0.37	0
ENSOANG00000015377	0	0.09	0.24	0	1.13
ENSOANG00000015195	14.94	10.72	62.64	95.53	45.02
ENSOANG00000009413	3.42	14.37	7.71	3.73	1.03
ENSOANG00000006862	0	0.35	0.12	0.49	2.07
ENSOANG00000001837	0.34	7.19	7.61	14.66	1.16
ENSOANG00000008176	1.09	5.81	6.23	5.99	9.99
ENSOANG00000007219	1.16	1.03	0.41	0.06	0.23
ENSOANG00000002934	0	0	0	0	0
ENSOANG00000002284	11.33	0.98	2.26	3.88	0.27
Locus_20756	4.13	1.38	0	0.27	0.64
ENSOANG00000000482	54.03	118.57	20.94	11.08	184.26
ENSOANG00000007774	0	9.06	3.02	8.04	0
ENSOANG00000008149	34.66	21.34	29.09	37.18	168.71
ENSOANG00000005790	9.45	0.73	0.39	0.16	350.87
ENSOANG00000022146	0	0	0	0	0.1
Locus_48282	0	2.79	0	0.56	0
ENSOANG00000000608	14.42	39.23	11.63	9.07	52.98
ENSOANG00000000444	6.44	20.14	14.35	14.51	8.49
ENSOANG00000021847	34.84	18.53	47.13	69.11	24.83
ENSOANG00000021941	15.65	15.53	6.91	8.33	347.41
Locus_51471	0	0.55	0	0.51	1.49
blastnChicken.CUFF.232132	0	0	0	0	0
ENSOANG00000003835	3.51	4.68	7.44	12	0.71
ENSOANG00000010270	0.43	0.42	0.5	0.85	54.29
ENSOANG00000021745	243.54	183.58	83.75	38.55	141.53
Locus_173268	0	0	0	0.13	1.62
ENSOANG00000020072	9.8	18.94	17.74	19.85	48.56
ENSOANG00000021725	49.53	18.38	2.8	2.53	30.68
ENSOANG00000013393	125.55	76.19	56.38	64.78	52.91
ENSOANG00000003242	0	0.66	0.66	0.42	0
ENSOANG00000010185	0	0	0	0	0
blastnOpossum.Locus_315173	0	0	0	0	0
ENSOANG00000002125	3.96	1.49	2.46	1.63	2.35
ENSOANG00000008929	96.72	111.95	29.45	23.82	66.32
ENSOANG00000007205	0.13	0.13	0.06	0.25	44.25
Locus_45305	0.34	0.9	0.62	0	0.18
Locus_68892	0	0.54	0.99	0.25	0.58
ENSOANG00000004314	164.17	486.47	185.1	167.71	209.5
ENSOANG00000005718	1.17	6.41	7.13	11.61	0.97
ENSOANG00000019980	0	0	0	0	0
ENSOANG00000020419	0	0	0	0	0.05
Locus_3013	0	0	0	0	2.3
ENSOANG00000010595	33.32	4.46	2.45	2.51	6.53
ENSOANG00000011109	47.01	18.96	14.32	11.02	8.73
Locus_20398	0.13	0.08	0.06	0.06	0.2
ENSOANG00000015478	22.8	20.03	11.05	4.95	12.07
ENSOANG00000007768	0.06	1.48	0.98	2.17	0.26
ENSOANG00000005049	250.46	89.49	105.09	115.96	75.59
ENSOANG00000004574	6.63	60.04	49.02	43.79	7.75
ENSOANG00000006821	0	0.44	2.85	1.24	1.5
ENSOANG00000013443	7.85	6.9	12.88	3.35	1.44
ENSOANG00000010694	10.17	30.5	18.21	22.03	13.8
Locus_116261	0	0	0	0	3.27
ENSOANG00000019757	10.71	11.33	12.81	17.21	93.01
ENSOANG00000005887	41.06	0	0.43	0.04	0.5
ENSOANG00000015425	2.33	0	0.5	1.65	204.14
Locus_93087	0.92	0.09	0	0	0.07
ENSOANG00000011881	2.99	4.7	4.67	5.82	6.05
Locus_107527	0	0	0	0	1.13
Locus_104789	0	0	0	0	2.14
Locus_69888	0.26	0	0	0.06	0.56
ENSOANG00000003497	0	0	0	0	28.67
ENSOANG00000001621	3.57	32.91	12.09	20.49	205.07
Locus_145793	0	0	0	0	0.5
Locus_87754	0	0	0	0	1.54
ENSOANG00000015609	1.41	2.57	3.09	1.49	0.97
ENSOANG00000000921	13.63	9.56	7.88	9.97	4.76
ENSOANG00000008489	8.76	0.93	1.2	1.06	1.46
Locus_94593	0	0	0	0	0.82
Locus_88607	0	2.84	0	0.26	0
Locus_178321	0	0	0	0	2.19
Locus_158709	0	0	0	0	0.28
Locus_184586	0	10.97	1.26	3.82	0
Locus_11446	0	0	0	0	1.05
Locus_38712	0.29	0.1	0.26	0	1.4
ENSOANG00000006002	5.58	0.74	1.36	2.07	22.23
ENSOANG00000009761	5.97	7.88	8.29	11.22	12.46
ENSOANG00000015015	52.28	0	0.14	0.04	0
Locus_112212	0.15	5.78	4.47	14.97	0.33
Locus_79183	0.36	2.64	2.8	3.17	0.06
ENSOANG00000010851	0	8.05	15.17	11.89	0.1
Locus_102626	0	0	0.22	0	0.93
Locus_41980	0	0	0	0.15	0.69
ENSOANG00000020677	1.8	0.56	0.18	0.06	6.09
Locus_88245	0	0.96	0.33	1	0
ENSOANG00000014307	9.98	0	0	0	0
Locus_157317	4.3	4.62	0	0	4.51
ENSOANG00000000611	12.08	19.14	29.83	31.82	2.45
ENSOANG00000002102	23.55	65.27	33.76	27.42	68.08
ENSOANG00000006256	0	0	0	0	0.44
ENSOANG00000007629	11.74	0.96	2.08	1.34	56.23
ENSOANG00000010244	111.83	70.15	73.78	79.21	567.37
ENSOANG00000002406	40.63	17.56	11.63	10.23	41.97
Locus_158747	0.28	0	0	0	0.69
ENSOANG00000001413	50.27	60.06	32.56	39.82	47.6
ENSOANG00000021192	46.38	38	24.44	6.06	20.12
ENSOANG00000005606	229.03	141.61	82.78	95.63	99.71
ENSOANG00000009812	6.64	5.59	4.55	7.34	1.85
ENSOANG00000003516	48.06	95.89	55.63	51.11	54.68
Locus_195563	0.33	0.51	0.25	0.3	0.62
ENSOANG00000004970	0.45	1.07	3.46	0.77	0.93
ENSOANG00000015673	32.92	59.22	38.44	37.26	37.02
ENSOANG00000007786	363.47	171.1	139.68	135.65	205.96
ENSOANG00000007734	9.63	13.03	13.43	12.3	11.54
ENSOANG00000009192	183.2	132.2	58.4	80.99	84.86
ENSOANG00000005411	29.3	41.09	17.31	11.05	23.31
Locus_14555	0	0	0	0	0
ENSOANG00000010106	0	0.04	0	0.11	110.6
Locus_159586	0.68	0.27	0.25	0.76	1.69
ENSOANG00000020971	13.51	0.16	0.68	0.68	0.07
ENSOANG00000012387	19.89	23.55	11.04	12.21	251.61
ENSOANG00000012813	22.53	50.67	43.3	45.67	21.87
Locus_178081	0	0	0	0	0.35
ENSOANG00000022403	0	2.38	0	0	0
ENSOANG00000010376	0	129.37	12.52	18.98	4.2
ENSOANG00000005319	4.19	28.08	21.9	19.62	2.86
CUFF.9408	3.41	2.73	0.94	0.16	0.46
ENSOANG00000015416	46.85	54.29	16.41	16.79	16.56
Locus_128216	0	0	0	0	0.79
ENSOANG00000009085	9.37	13.93	9.99	3.04	5.87
ENSOANG00000003330	4.15	19.26	4.01	3.52	8.65
ENSOANG00000010133	1.16	7.37	5.68	8.36	1.35
ENSOANG00000011721	0.23	1.01	2.58	4.67	5.62
ENSOANG00000006861	22.76	0.57	0.2	0.99	491.37
ENSOANG00000014748	176.21	203.58	206.7	302.7	220.73
Locus_99500	0	0	0	0	2.28
Locus_68830	1.84	0.2	1.12	0	1.82
ENSOANG00000022220	70.98	42.26	36.15	58.47	82.26
Locus_20525	0	0.54	0	0.37	1.45
ENSOANG00000004822	2.58	7.72	7.65	8.91	12.98
Locus_87609	0.16	11.94	5.09	7.35	0.09
ENSOANG00000007392	4.7	69.65	79.82	50.21	4.75
Locus_184562	0	1.76	0.27	0.27	0
ENSOANG00000021833	20.67	0.45	0	0.79	0.09
ENSOANG00000005408	8.19	1.28	4.37	3.89	2.41
ENSOANG00000009986	3.11	14.26	13.35	17.82	12.64
Locus_75454	13.41	0.02	0	0.49	0
ENSOANG00000001211	11.87	85.88	44.04	69.27	61.94
ENSOANG00000007906	1.31	0.24	0.17	0.31	12.09
Locus_152413	0.42	2.04	1.28	1.42	0
ENSOANG00000005378	60.73	63.12	18.81	24.12	95.47
ENSOANG00000007622	8.29	25.77	7.76	2.53	12.08
Locus_125210	0	0.49	0.67	0	0.39
Locus_109129	0	0.09	0.12	0.12	4.7
ENSOANG00000004731	47.69	15.22	3.01	3.39	129.54
ENSOANG00000008981	6.07	10.38	8.57	10.74	1.76
ENSOANG00000001687	27.99	36.38	16.51	21.1	27.58
ENSOANG00000012040	0.16	0	0.04	0.22	0.15
ENSOANG00000015006	0.45	0.09	0.26	0.21	2.56
ENSOANG00000012850	1.25	0.97	0.77	0.78	1.01
CUFF.130234	0.68	0.18	0.38	0.21	0.1
CUFF.21517	0	0.13	0.18	0.37	2.76
ENSOANG00000001130	160.6	105.24	10.65	7.3	55.18
ENSOANG00000000906	104.5	13.02	4.31	6.38	29.89
ENSOANG00000021699	0	0	0	0	1.42
ENSOANG00000013454	19.02	3.31	2.03	2.05	2.63
CUFF.114906	0	0.28	0	0	1.86
ENSOANG00000010773	87.83	60.16	74.76	142.64	46.41
ENSOANG00000006265	23.85	3.7	6.51	6.56	4.1
ENSOANG00000015649	1731.21	451.92	111.06	114.15	405.32
ENSOANG00000020306	37.33	40.46	37.94	38.68	52.17
ENSOANG00000012567	1.93	0.83	5.05	4.05	0.03
Locus_119296	35.17	51.29	38.04	211.1	3.79
Locus_141844	0	0	0	0	4.81
Locus_104598	0	0	0	0	0.36
ENSOANG00000003245	12.57	0.18	0.06	0.25	42.78
ENSOANG00000014981	24.33	24.4	11.87	6.63	9.48
Locus_195619	0	0	0	0	0
ENSOANG00000000224	0	0	0	0	0
blastnMouse.ENSMUSG00000092061	0	0	0	0	0
Locus_190497	0.33	0	0	0	1.78
Locus_14255	0	3.02	2.69	6.18	0.22
Locus_178314	0	0.32	0.11	0.45	0.78
ENSOANG00000011082	0	0.16	0.77	1.12	0
Locus_63765	0	0.07	0	0	1.89
ENSOANG00000010017	10.77	46.53	12.49	4.97	13.95
ENSOANG00000006029	0.19	0.28	0.1	0.14	0.65
blastnHuman.ENSG00000236109	0	0	0	0	0
ENSOANG00000004368	10.86	7.57	11.69	23.08	2.6
ENSOANG00000000839	26.08	35.08	24.9	30.3	41.89
Locus_61174	0.11	0	0.05	0	5.52
ENSOANG00000013708	502.51	577.41	343.53	296.14	436.59
Locus_48278	0	3.56	2.52	7.5	0
ENSOANG00000004140	0	0	0	0	0
ENSOANG00000021800	1.4	2.1	1.94	1.79	4.81
ENSOANG00000021856	8.78	13.48	12.1	1.94	2.62
ENSOANG00000001258	24.26	8.72	39.17	57.61	30.13
Locus_193817	0	0	0	0	0.68
Locus_38790	1.02	0.45	0.47	1.1	0
ENSOANG00000009794	345.76	18.92	4.99	13.88	17.26
ENSOANG00000007407	18.54	4.41	0.58	0.57	1.87
ENSOANG00000002737	24.79	24.98	13.16	11.4	29.91
Locus_193490	1.59	0.21	0	0.29	0.17
ENSOANG00000010058	7.1	35.24	22.81	30.17	57.04
Locus_29093	0	0	0	0	1.54
ENSOANG00000009489	23.26	19.46	7.73	7.01	26.68
ENSOANG00000013850	1.97	0.38	2.01	1.42	3.83
ENSOANG00000012291	2.38	2.2	3.1	4.06	22.52
ENSOANG00000006678	0	0	0	0	0
ENSOANG00000002290	3.17	9.97	18.82	35.92	3.26
CUFF.81520	0	0	0	0	1.61
ENSOANG00000003376	78.59	106.58	51.8	78.56	132.23
ENSOANG00000011460	37.42	37.06	24.3	36.94	97.73
Locus_5619	0.39	0.52	0.72	1.46	0
ENSOANG00000000421	2.1	15.16	10.38	19.94	6.16
ENSOANG00000011407	0	0	1.18	0.36	0
Locus_52840	0.4	5.82	7.29	2.58	0
ENSOANG00000000928	14.41	4.11	1.97	1.24	107.72
ENSOANG00000011812	13.38	10.39	47.28	76.02	7.61
ENSOANG00000021776	54.62	90.71	66.52	105.85	65
ENSOANG00000001107	13.45	17.36	30.74	22.5	18.16
ENSOANG00000012006	0	0.07	0.23	0.6	0.23
Locus_117850	0	0	0	0	1.52
ENSOANG00000009317	18.44	12.18	6.36	9.17	14.94
ENSOANG00000003466	233.58	200.84	119.62	203.84	247.76
Locus_51483	0	1.91	1.71	3.32	79.61
Locus_102983	0	0	0	0	5.45
ENSOANG00000015667	15.4	19.15	15.81	13.58	99.56
Locus_126831	0	0	0	0	0.92
ENSOANG00000022397	0	0	0.31	0	0
ENSOANG00000011285	0.03	0	0	0	0.12
Locus_185604	0.25	0.04	0	0.17	0.17
Locus_161651	0	0	0	0	0.52
ENSOANG00000001969	0.29	0	0	0.11	0
