Gene	Brain_Male2	Ovary_Female1	Ovary_Female2	Ovary_Female3	Testis_Male4
ENSOANG00000009525	17.88	3.64	1.24	2.39	1.29
ENSOANG00000001104	0.82	7.88	8.65	5.07	0.92
ENSOANG00000006233	0.12	0.43	0.11	0.09	0.01
ENSOANG00000006000	0	0.12	1.01	1.36	0.59
ENSOANG00000008649	16.38	62.78	12.84	13.76	66.79
ENSOANG00000008186	50.13	131.45	54.87	52.23	62.16
ENSOANG00000019859	0	0	0.17	0	0
ENSOANG00000014963	14.06	14.43	30.05	12.09	4.95
ENSOANG00000005990	0	0	0	0	0
ENSOANG00000014218	0	10.16	3.44	2.58	4.5
Locus_67087	0	0	0	0	2.09
Locus_131337	0.37	0	0	0	0.1
Locus_89496	0	0	0	0	2.46
ENSOANG00000014907	787.85	537.26	473.71	547.63	858.58
ENSOANG00000000909	11.47	33.14	15.24	11.09	261.48
blastnHuman.ENSG00000232586	0	0	0	0	0
CUFF.161684	0	0	0	0	0.54
Locus_173301	0	0	0.13	0	0.39
ENSOANG00000003513	0.09	41.05	47.61	35.46	2.54
Locus_188670	0.38	0	0.17	0.88	0.2
ENSOANG00000007997	8.78	2.14	5.72	4.88	0
ENSOANG00000002530	21.25	16.99	13.48	8.6	30.22
ENSOANG00000019728	0	0.17	0.47	0.24	0.84
ENSOANG00000014513	11.79	13.46	15.51	22.43	14.53
Locus_26036	0	3.29	0.53	3.78	0.16
ENSOANG00000001138	4.75	4.76	8.26	16.93	1.14
Locus_193352	0	0	0	0	1.66
ENSOANG00000012913	1.76	3.36	3.84	14.96	3.69
ENSOANG00000020444	1.78	23.76	10.84	12.98	13.55
ENSOANG00000022441	0	0	0	0.08	0
ENSOANG00000014432	58.54	110.76	68.72	67.09	94.7
ENSOANG00000014323	11.56	4.67	4.12	2.31	11.36
Locus_75576	0	0	0	0	2.02
ENSOANG00000020844	2.41	38.68	25.22	8.4	2.38
Locus_148271	0.1	0.07	0.19	0.1	0.28
ENSOANG00000003429	10.93	11.65	7.64	5.45	11.05
ENSOANG00000007775	1.64	2.22	2.91	4.62	3.6
ENSOANG00000014571	1.07	0.14	4.52	6.05	0
Locus_104651	0	0	0.22	0	0.82
ENSOANG00000009330	1.66	3.42	2.1	0.51	1.96
ENSOANG00000012695	23.8	76.06	68.37	72.48	71.49
ENSOANG00000010386	69.27	82.97	93.7	180.38	134.47
Locus_5729	0	0	0.07	0	0.25
ENSOANG00000008192	5.78	10.47	8.19	5	8.33
ENSOANG00000005877	46.19	1473.37	522.15	979.49	59.01
ENSOANG00000002296	33.06	0.1	0.29	0.25	0.02
ENSOANG00000009772	5.01	11.08	36.94	42.27	2.16
Locus_101835	0	0	0	0	2.16
ENSOANG00000007657	12.7	22.73	9.81	10.82	9.18
ENSOANG00000014232	54.57	82.78	27.88	32.14	77.69
ENSOANG00000012436	77.03	9.36	5.87	9.11	9.56
ENSOANG00000013714	0.55	7.89	2.11	4.4	0.3
ENSOANG00000006189	0	0.08	0	0	0
Locus_127463	0.55	1.84	0.51	1.88	0.6
Locus_161538	0	1.38	0.27	0.82	0
ENSOANG00000000758	191.36	188.67	204.35	569.18	68.08
Locus_117534	0	0.2	0.14	0.21	0
ENSOANG00000015678	60.54	66.79	37.02	35.4	61.45
ENSOANG00000006744	1.33	12.72	5.9	8.14	7.6
Locus_141311	0	0.47	0.22	0.22	0
Locus_108881	3.06	1.07	2.14	1.22	0
ENSOANG00000020605	0.11	1.96	0.28	0.82	0.39
Locus_93882	0	10.38	3.15	19.97	0.12
ENSOANG00000009042	20.29	10.69	20.22	14.73	54.08
ENSOANG00000007871	300.17	0.66	0.7	0.16	0.37
ENSOANG00000015833	129.33	0.67	0.24	0.27	6.62
ENSOANG00000004734	40.8	86.68	27.74	23.99	85.85
ENSOANG00000004423	75.17	41.63	23.83	21.16	57.76
ENSOANG00000014536	104.13	277.2	117.81	178.85	495.87
ENSOANG00000022463	23.75	15.88	21.6	15.6	22.12
ENSOANG00000011968	70.48	40	12.08	1.94	2.38
ENSOANG00000015503	30.61	10.68	7.17	3.19	5.42
ENSOANG00000009751	16.32	5.22	10.69	12.58	6.69
ENSOANG00000004956	0.15	0.47	0.27	0.5	19.38
Locus_180857	0	1.42	0	0.33	0
ENSOANG00000014528	0.05	3.53	1.77	1.69	103.95
blastnMouse.ENSMUSG00000066041	0	0	0	0	0
ENSOANG00000011298	4.19	7.76	7.18	3.31	9.45
ENSOANG00000000714	24.59	59.78	20.92	17.33	57.1
ENSOANG00000010778	0.84	0.85	0.6	0.53	1.7
ENSOANG00000005396	78.77	71.17	49.76	88.32	747.92
Locus_88591	0	1.25	0	0	0
ENSOANG00000009983	0.29	4.02	6.68	10.21	70.4
ENSOANG00000012320	0.24	2.15	7.28	7.95	0.6
ENSOANG00000011470	27.52	10.21	11.46	13.61	84.89
ENSOANG00000008893	1.57	27.61	6.38	13.13	183.97
ENSOANG00000021853	9.54	61.85	21.26	23	39.46
ENSOANG00000009093	58.72	80.98	39.11	53.49	79.29
ENSOANG00000005860	3.13	0	0.06	0.06	0
ENSOANG00000008099	19.56	19.92	7.24	6.63	172.71
ENSOANG00000006927	22.52	64.75	28.59	33.22	38.44
Locus_27478	0.29	0.39	0.53	1.61	0.47
ENSOANG00000002961	26.69	40.52	20.31	9.46	28.44
ENSOANG00000003372	16.27	3.06	2.65	1.09	0.14
ENSOANG00000006078	10.66	25.48	8.39	3.77	23.82
ENSOANG00000021665	5.44	5.03	16.17	36.76	15.79
ENSOANG00000002973	11.78	19.1	16.67	5.62	17.28
ENSOANG00000014766	18.17	36.2	61.8	67.94	13.89
