Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Testis_Male1	Testis_Male2
ENSMMUG00000031861	0.39	0.94	0	0.8	0.62	0	0.51	0	0	0	0	55.68	58.19
ENSMMUG00000029375	0.33	0.1	0.25	0.22	0	0	0.43	0.71	2.59	0.8	0.81	0	0
ENSMMUG00000007428	34.49	29.03	35.34	39.13	39.48	171.2	127.75	48.13	33.58	14.04	33.65	56.53	81.33
Locus_189857	1.28	1.03	1.98	1.45	1.35	4.31	1.67	1.25	1.23	0.7	1.86	1.58	4.86
Locus_38949	0	0	0	0	0	0	0	0	0	0	0	5.15	5.27
ENSMMUG00000015659	7.5	8.13	7.5	4.44	6.61	15.06	9.83	9.83	8.4	7.8	21.12	4.45	4.84
blastnHuman.Locus_174899	0	0	0	0	0	0	0	0	0	0	0	0.03	0
blastnGorilla.Locus_195543	0	0	0	0	0	0	0	0	0	0	0	0.09	0
ENSMMUG00000022091	8.92	11.1	6.73	11.21	9.5	15.5	11.84	11.58	10.92	9.17	7.01	36.75	50.72
ENSMMUG00000010293	2.2	2.05	2.22	2.88	2.54	1.43	7.31	2.72	1.96	4.45	10.34	4.31	4.82
ENSMMUG00000015215	23.84	38.25	45.39	11.54	23.56	4.57	4.43	46.27	21.29	63.99	187.78	20.71	22.73
Locus_60321	0	0	0	0	0	0.08	0.06	0	0	0	0	16.7	28.96
ENSMMUG00000016062	0.3	0	0	0	0	0	0	0	0	0	0	0	0
blastnHuman.Locus_77362	0	0	0	0	0	0	0	0	0	0	0	0.17	0
ENSMMUG00000021126	0.25	0.15	0	0.42	0	14.49	129.78	2.91	3.06	0	0	3.6	2.6
Locus_246095	0	0.21	0	0	0	1.15	0.89	0.99	0	1.12	0	0	0
blastnPan.CUFF.134007	1.32	0.13	0	0.3	0.7	0	0.58	0	0	0	0	0.71	0.28
blastnMouse.ENSMUSG00000006462	0	0	0	0	0	0	0	0	0	0	0	0.06	0
ENSMMUG00000015582	18.77	23.21	23.57	5.21	13.15	9.4	13.39	26.49	12.98	12.02	125	67.61	43.59
ENSMMUG00000023025	610.11	620.72	857.24	185.48	313.32	4.59	3.42	1.75	1.73	1.07	1.22	3.58	2.14
blastnMouse.Locus_3279	0.71	0.43	0.55	0.97	1.13	1.2	0.93	0	0	0	0	0.86	0
ENSMMUG00000020048	3.83	5.34	4.5	4.35	3.43	3.7	2.61	2.69	2.74	0.49	0.19	32.1	32.57
