Gene	Brain_Female1	Brain_Female2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Testis_Male1
ENSGGOG00000024712	21883	27516	9489	9887	1614	739	1520	1450	1809	5094	23633
ENSGGOG00000005010	1032	1827	753	463	113	82	373	420	348	535	1938
blastnOpossum.Locus_377146	0	0	0	0	0	0	0	0	1	0	0
ENSGGOG00000012012	197	414	72	80	67	100	184	138	139	218	790
ENSGGOG00000003336	339	739	139	97	19	32	598	560	147	297	223
ENSGGOG00000025517	0	4	0	0	1	0	3	6	3	4	14
blastnHuman.Locus_24871	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000009902	350	976	251	246	210	71	382	964	500	730	1170
ENSGGOG00000034997	96	202	122	48	30	23	174	156	126	98	800
ENSGGOG00000010196	105	209	88	138	178	83	10	3	4	49	1743
ENSGGOG00000005508	819	1629	676	575	358	174	870	1053	855	831	14784
blastnPan.CUFF.153639	3	5	1	2	1	2	5	0	0	1	9
ENSGGOG00000012808	181	521	98	66	63	69	129	245	99	191	977
ENSGGOG00000025242	7	9	4	1	2	4	4	4	3	7	1838
blastnPan.Locus_137625	0	0	0	0	0	0	0	0	0	0	3
blastnHuman.ENSG00000254622	3	3	1	0	0	0	1	0	2	6	28
blastnHuman.Locus_159237	0	0	0	0	0	0	0	0	0	0	1
blastnMouse.ENSMUSG00000090664	3	1	2	0	1	1	0	0	0	0	14
ENSGGOG00000006051	347	600	186	124	59	52	175	291	262	351	1027
blastnHuman.ENSG00000253508	0	0	0	0	0	0	1	3	0	0	10
ENSGGOG00000002599	539	945	580	228	26	13	20	24	85	129	758
ENSGGOG00000000436	3466	8479	2453	1055	2	4	3	0	0	4	326
ENSGGOG00000005728	56	110	32	24	66	40	377	195	30	53	463
ENSGGOG00000021930	1	0	0	0	0	0	0	0	0	0	1
ENSGGOG00000015620	72	182	76	67	17	13	26	20	80	86	214
blastnHuman.ENSG00000236376	0	1	0	0	0	0	0	0	0	0	1
blastnMacaque.Locus_246242	0	0	0	0	0	0	0	0	0	0	2
blastnHuman.CUFF.121101	0	0	2	2	0	0	0	0	0	0	0
ENSGGOG00000014434	204	662	205	154	6	16	121	125	84	193	670
ENSGGOG00000024493	1	6	5	2	0	0	1	1	63	74	104
blastnHuman.ENSG00000236611	13	23	18	9	5	3	6	9	5	13	26
ENSGGOG00000009349	205	453	225	182	47	34	115	162	149	153	833
ENSGGOG00000004302	429	870	409	314	148	79	695	579	208	404	4393
blastnHuman.ENSG00000228351	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000010535	673	1430	47	66	26	9	106	132	53	77	593
ENSGGOG00000014347	2116	4264	948	622	593	301	888	1619	964	1630	7538
ENSGGOG00000012122	18	50	1	0	0	0	0	0	0	0	29
blastnMacaque.Locus_60601	0	3	0	0	0	0	2	1	1	2	8
ENSGGOG00000005211	473	1627	565	465	249	206	334	246	147	406	3276
ENSGGOG00000001357	35	153	5	4	0	0	0	1	0	1	13
ENSGGOG00000023732	14	62	36	14	14	1	22	19	17	17	136
ENSGGOG00000002224	2199	3911	984	451	455	245	961	1391	653	914	6007
ENSGGOG00000012212	2108	3697	2375	1302	738	590	1245	1697	1246	1258	13803
ENSGGOG00000022306	0	1	0	0	0	0	0	0	0	0	0
blastnHuman.Locus_17540	0	0	0	0	0	0	0	0	0	0	0
Locus_134623	2	3	0	0	0	0	0	0	0	0	207
ENSGGOG00000001341	0	0	0	0	0	0	46	86	0	0	41
ENSGGOG00000002712	118	395	186	56	83	31	112	115	123	121	3214
blastnMacaque.Locus_474330	0	0	0	0	0	0	0	0	0	0	0
blastnHuman.XLOC_008611	2	1	0	0	0	0	0	0	0	0	32
ENSGGOG00000016952	140	445	83	51	75	32	150	147	130	176	460
ENSGGOG00000011606	1018	2545	943	651	105	88	297	663	507	949	6363
ENSGGOG00000013010	237	569	144	73	58	35	76	138	243	188	1474
ENSGGOG00000023362	0	0	0	0	0	0	0	1	10	0	15
ENSGGOG00000015206	212	465	64	46	58	191	310	755	762	2236	2809
ENSGGOG00000007479	4	8	2	2	3	0	3	1	0	2	7
ENSGGOG00000026542	396	1199	191	209	0	0	108	113	0	2	614
Locus_159763	0	2	0	0	1	0	0	0	7	2	39
Locus_135825	5	6	5	2	1	0	5	0	4	0	5
ENSGGOG00000023130	0	0	0	0	1	0	0	0	0	0	0
ENSGGOG00000015920	1376	2495	2104	913	1	0	2	1	1	3	399
ENSGGOG00000012648	43	65	1	3	0	1	0	0	2	9	58
blastnOpossum.Locus_92598	0	0	1	0	0	0	0	0	0	0	0
ENSGGOG00000015057	240	977	148	170	78	120	357	337	226	363	4025
blastnHuman.ENSG00000232586	86	160	375	197	32	11	84	145	14	12	348
ENSGGOG00000001369	486	934	444	263	847	188	34	37	50	115	328
ENSGGOG00000014209	1	2	5	1	0	2	0	1	2	0	9521
ENSGGOG00000024972	273	480	8	12	0	0	6	20	20	56	6
ENSGGOG00000009035	1	0	0	1	0	0	5	55	2	2	637
blastnHuman.ENSG00000238115	7	22	0	0	6	5	4	21	1	5	7
blastnPan.Locus_86263	0	2	2	0	0	0	1	0	1	1	33
blastnHuman.Locus_17161	0	0	0	0	0	0	0	0	0	0	1
ENSGGOG00000001594	525	1207	764	321	202	140	443	435	465	372	4202
ENSGGOG00000006886	4	25	0	3	0	0	3	5	3	7	14
ENSGGOG00000021957	431	1174	608	368	217	106	250	335	661	962	2378
ENSGGOG00000000387	1489	3049	2111	1005	244	119	170	215	97	132	7769
blastnHuman.XLOC_004211	1	0	0	1	0	0	0	0	0	0	3
ENSGGOG00000005044	1986	4616	1755	789	635	437	780	775	1325	981	6794
blastnMouse.Locus_82502	0	0	0	0	0	0	0	0	0	0	2
Locus_94074	0	0	0	0	0	0	0	0	0	0	12
blastnHuman.Locus_183850	0	0	0	0	0	0	0	0	0	0	17
ENSGGOG00000003234	552	1018	178	100	30	67	235	219	182	307	2809
ENSGGOG00000006951	184	467	276	272	68	71	257	286	181	327	467
blastnHuman.ENSG00000250015	0	3	0	0	0	0	0	0	0	0	2
Locus_73851	3	1	7	7	0	0	2	1	1	2	6
blastnHuman.ENSG00000227237	1	3	1	0	0	0	0	1	0	0	3
Locus_439950	2	1	2	0	0	1	0	0	0	2	1
ENSGGOG00000007491	15	64	4	4	1	0	136	65	1	3	435
ENSGGOG00000001365	109	196	37	42	169	436	276	306	123	298	716
ENSGGOG00000014844	19	90	29	16	8	10	25	25	32	32	291
ENSGGOG00000000726	186	457	103	62	140	202	137	115	169	424	376
