Gene	Brain_Female1	Brain_Male1	Cerebellum_Female1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1
blastnPan.Locus_137625	0	0	0	0	0	0	0	0	0
ENSPPYG00000005578	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSPPYG00000009313	798	408	728	294	308	643	1923	202	953
ENSPPYG00000003809	213	95	153	676	121	634	1363	1621	3841
blastnHuman.ENSG00000254622	0	0	0	2	0	0	1	0	0
ENSPPYG00000015515	426	117	302	384	183	526	560	478	491
blastnHuman.Locus_159237	0	0	0	0	0	0	0	0	0
blastnMouse.ENSMUSG00000090664	0	0	1	0	1	0	0	0	0
ENSPPYG00000009014	1059	530	4436	103	65	168	205	20	23
ENSPPYG00000000314	800	513	228	3	5	354	409	26	113
ENSPPYG00000020002	5	8	7	0	2	5	8	2	3
ENSPPYG00000002240	2	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000253508	0	0	0	0	0	0	2	0	0
ENSPPYG00000006425	13	12	59	10	6	9	12	4	6
blastnGorilla.Locus_135170	1	0	1	0	0	0	0	0	0
blastnHuman.ENSG00000236376	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_395505	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_246242	0	0	0	0	0	0	0	0	0
blastnHuman.CUFF.121101	0	0	2	0	0	0	1	0	0
blastnHuman.ENSG00000228351	0	0	0	0	0	0	0	0	0
ENSPPYG00000003741	1	0	2	0	1	1	3	5	0
ENSPPYG00000001033	371	231	192	338	169	235	597	262	263
blastnMacaque.Locus_60601	0	0	1	0	0	1	2	1	2
ENSPPYG00000004759	58	27	94	60	20	21	34	25	47
ENSPPYG00000019618	116	61	322	820	196	73	88	46	155
ENSPPYG00000016290	7	4	40	0	0	0	2	1	2
ENSPPYG00000020925	0	0	0	0	0	0	0	0	0
ENSPPYG00000015500	194	92	0	0	0	0	0	1	0
ENSPPYG00000003663	2366	1256	988	682	220	421	618	383	383
blastnHuman.Locus_17540	0	0	0	0	0	0	0	0	0
