Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Testis_Male1	Testis_Male2
ENSMMUG00000020692	44	250	67	182	86	34	46	34	38	77	87	234	49
ENSMMUG00000010366	37	159	36	18	28	30	80	38	23	10	7	1394	871
blastnGorilla.Locus_60761	0	0	0	0	0	0	0	0	0	0	0	0	0
blastnPan.Locus_152433	0	0	0	0	0	0	0	0	0	1	0	2	0
ENSMMUG00000004380	311	929	447	476	443	2059	1573	890	850	599	1231	4548	2255
ENSMMUG00000029558	0	0	0	0	0	0	0	0	0	0	0	1	1
ENSMMUG00000032150	0	0	1	0	1	0	0	0	0	0	3	5	1
blastnGorilla.Locus_293422	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000008111	2	3	0	3	0	1	5	3	0	2	0	2	0
ENSMMUG00000012211	562	1875	705	757	784	904	436	449	514	273	240	7508	3169
Locus_313087	0	2	0	0	1	0	0	0	0	0	0	26	9
blastnMouse.Locus_97956	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000031305	0	2	0	1	1	1	0	0	1	0	1	0	0
ENSMMUG00000022325	155	597	241	304	361	198	85	7	7	2	2	38	4
Locus_314011	0	1	0	1	0	0	0	0	0	0	0	152	48
ENSMMUG00000013748	0	0	0	1	0	1	2	0	0	2	0	3	1
blastnHuman.Locus_17426	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000017918	22	74	35	8	7	2	8	15	18	1	11	1232	260
Locus_474317	0	0	0	0	0	0	0	0	8	0	0	1	0
Locus_19599	1	0	0	0	0	0	0	0	3	0	0	0	0
ENSMMUG00000021969	155	579	181	453	431	123	127	97	72	81	76	288	71
ENSMMUG00000006286	292	1105	400	669	472	186	319	213	206	266	257	1877	655
blastnMouse.CUFF.170449	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000013883	1	0	0	0	0	1	0	0	0	0	0	67	13
ENSMMUG00000029268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMMUG00000013574	1	0	0	0	1	0	1	1	0	0	0	19613	5948
blastnHuman.ENSG00000250668	0	0	0	0	0	0	0	0	0	0	0	1	0
Locus_501600	2	25	3	0	8	5	3	9	1	2	16	111	20
ENSMMUG00000015507	3	3	2	25	4	0	1	7	27	3	0	173	45
blastnGorilla.Locus_392952	0	0	0	0	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000231597	0	1	1	0	0	0	0	0	0	0	0	7	2
ENSMMUG00000014713	4	22	2	19	10	0	0	1	6	2	8	36	9
Locus_288694	0	0	0	0	0	0	0	0	0	0	0	1247	245
blastnHuman.ENSG00000226440	0	0	0	0	0	0	0	0	0	0	0	6	1
Locus_40856	0	0	0	0	0	0	0	0	0	0	0	7	3
ENSMMUG00000031398	7	29	4	1	1	0	0	3	7	0	0	2366	1364
ENSMMUG00000000870	1	3	3	0	0	0	4	3	1	4	0	6	1
ENSMMUG00000003686	16	71	22	72	34	9	9	12	10	9	0	779	108
ENSMMUG00000012757	2	0	0	0	0	0	0	4	0	0	0	15	1
blastnHuman.CUFF.105734	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000014762	23	68	32	10	3	37548	8798	3	5	0	0	31	5
Locus_62525	7	38	34	19	35	0	0	0	0	0	0	1	0
ENSMMUG00000014377	62	112	58	83	47	49	39	38	46	67	55	1447	810
ENSMMUG00000016623	215	692	352	197	257	198	289	276	175	175	992	966	427
ENSMMUG00000021011	43	128	66	171	130	25	15	45	89	22	12	14162	4455
ENSMMUG00000004490	42	154	66	46	45	266	457	126	107	161	61	265	59
Locus_315068	0	1	0	0	0	0	0	0	0	0	0	76	32
ENSMMUG00000002067	135	397	146	213	158	96	98	70	109	86	72	1554	801
Locus_289884	0	0	0	12	5	0	0	0	0	0	0	10	1
ENSMMUG00000006120	472	1239	596	107	121	42	99	20	20	66	88	121	29
ENSMMUG00000016219	78	299	44	4	6	0	6	99	101	9	9	551	174
ENSMMUG00000006338	363	992	517	322	317	237	298	305	256	343	1045	3136	1107
blastnHuman.ENSG00000228058	0	4	1	0	0	0	0	0	0	0	0	0	0
blastnPan.CUFF.49303	0	0	1	0	0	0	0	0	0	0	0	1	3
blastnHuman.ENSG00000256757	1	0	0	0	0	0	0	0	0	0	0	3	2
ENSMMUG00000009973	3332	12208	4918	2227	2687	808	1147	844	798	363	318	4635	1576
blastnHuman.CUFF.186867	0	0	0	0	0	0	0	0	1	0	0	2	0
blastnPan.Locus_94166	0	0	0	0	0	0	0	0	0	0	0	7	3
ENSMMUG00000021914	521	1461	549	1068	622	86	595	134	33	14	17	545	214
ENSMMUG00000031576	0	1	1	0	0	0	0	0	0	0	0	1282	383
ENSMMUG00000000157	1	1	1	0	0	0	0	0	1	0	0	4	3
blastnPan.Locus_160146	0	1	0	1	0	0	0	0	0	0	0	0	0
ENSMMUG00000002006	0	0	1	2	2	0	2	33	7	0	1	670	195
blastnGorilla.Locus_464823	0	1	5	1	1	0	0	0	0	0	1	0	0
ENSMMUG00000003540	134	541	190	93	77	47	28	30	13	23	35	1075	291
Locus_21553	0	1	0	1	0	0	1	0	0	1	0	6	0
ENSMMUG00000000926	0	0	0	0	0	0	0	45	70	0	0	54	29
ENSMMUG00000000736	399	1246	467	526	504	165	256	291	191	248	819	2509	705
ENSMMUG00000002623	461	1392	687	399	488	501	568	518	412	572	1260	570	282
ENSMMUG00000003458	1297	3337	1296	912	1027	183	88	2	3	0	1	57	20
blastnHuman.ENSG00000249417	1	3	1	0	1	0	1	3	0	0	0	3	0
ENSMMUG00000004952	169	562	228	483	247	458	501	584	327	1558	1543	966	307
Locus_140277	0	1	0	0	0	2	0	0	0	0	0	1	0
blastnOpossum.Locus_377146	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_61255	0	2	0	0	0	0	0	0	0	0	0	8	3
ENSMMUG00000001294	84	241	120	151	113	85	66	28	28	29	11	392	182
Locus_60680	3	17	3	0	1	0	0	0	0	1	0	7	1
blastnHuman.Locus_24871	0	0	0	0	0	0	0	0	0	0	0	7	0
Locus_314882	1	0	0	1	0	0	17	1	1	36	33	5	0
ENSMMUG00000030744	27	84	30	11	26	25	48	15	5	19	31	233	36
blastnPan.CUFF.153639	0	0	1	0	0	0	0	0	0	0	0	4	2
ENSMMUG00000006243	3	22	15	0	1	1	2	1	1	0	0	5748	2317
ENSMMUG00000013331	279	875	505	271	224	314	334	236	209	216	171	2882	958
Locus_370833	0	0	0	0	0	0	0	0	0	0	1	0	0
blastnPan.Locus_137625	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000022128	18	76	27	51	37	12	9	8	17	9	8	59	10
ENSMMUG00000029290	0	0	0	0	0	0	0	0	0	0	0	0	0
blastnHuman.Locus_159237	0	0	0	0	0	0	0	0	0	0	0	1	1
Locus_209734	0	1	0	1	0	0	0	0	0	0	0	10	4
blastnMouse.ENSMUSG00000090664	1	1	0	0	0	0	0	0	0	0	0	1	3
ENSMMUG00000008587	579	2006	896	1638	1129	595	568	40	43	130	75	251	54
ENSMMUG00000017797	433	1713	560	587	633	357	500	263	336	234	548	1829	304
ENSMMUG00000031992	1	0	1	1	0	2	1	0	0	0	1	0	0
ENSMMUG00000010755	34	222	121	27	14	34	46	18	33	146	83	133	32
blastnHuman.ENSG00000253508	0	0	0	0	0	0	0	0	0	0	0	21	6
ENSMMUG00000008331	401	1752	717	965	1504	148	608	1504	1666	926	4960	3768	578
Locus_371044	0	0	0	0	0	0	0	0	0	0	0	51	5
ENSMMUG00000013915	4	14	6	2	4	42	44	19	1	19	5	25	6
ENSMMUG00000006973	284	861	214	412	354	270	201	248	291	86	118	3357	1735
blastnOpossum.Locus_317445	0	0	0	0	0	0	1	0	0	0	0	2	2
ENSMMUG00000015309	1	2	0	3	2	0	3	0	2	4	14	4800	1211
ENSMMUG00000012921	125	389	107	250	132	68	55	79	43	55	64	1040	515
blastnGorilla.Locus_135170	0	3	0	5	3	0	0	1	0	0	0	6	0
Locus_100696	0	0	0	0	0	0	0	0	0	0	0	4	0
blastnHuman.ENSG00000236376	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000018724	0	0	0	0	0	0	0	0	0	0	0	22	4
blastnHuman.CUFF.121101	0	0	0	2	1	0	0	0	0	0	0	1	0
ENSMMUG00000011300	0	0	0	0	0	0	0	0	0	0	0	19	3
ENSMMUG00000013003	60	249	81	116	97	28	41	50	55	51	104	1662	656
blastnHuman.ENSG00000228351	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000016339	193	798	343	162	233	26	61	37	21	12	43	601	203
ENSMMUG00000000901	1	1	0	1	0	0	2	4	0	4	0	153	122
ENSMMUG00000012653	0	1	0	0	0	0	0	0	0	0	0	8	1
ENSMMUG00000005791	7	45	40	4	8	36	26	13	1	5	2	381	224
ENSMMUG00000016182	22	79	16	48	29	6	10	35	29	8	6	524	148
ENSMMUG00000029172	1	1	1	1	4	0	1	1	2	0	0	1	4
blastnHuman.Locus_17540	0	0	0	0	0	0	0	0	0	0	0	2	1
blastnHuman.XLOC_008611	0	1	0	0	0	0	0	0	1	0	0	0	0
ENSMMUG00000008171	18	88	32	31	30	22	95	4	13	12	10	677	400
ENSMMUG00000017417	52	174	90	361	300	11	34	1	7	1	3	29	1
ENSMMUG00000012004	233	667	300	109	144	152	183	569	367	320	1206	4554	2646
Locus_39748	0	0	0	0	0	0	0	0	0	0	0	8	0
Locus_39469	0	0	0	0	0	0	0	0	0	0	0	96	33
Locus_314008	0	0	0	0	0	0	1	0	0	0	0	41	5
ENSMMUG00000029604	2	5	0	3	2	2	0	0	1	2	1	8	4
ENSMMUG00000002741	440	1672	470	528	526	13	8	97	10	3	2	495	118
ENSMMUG00000018301	34	140	43	38	56	17	42	39	16	22	67	384	67
blastnGorilla.Locus_391441	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000009139	257	869	310	208	138	13	3	3	3	2	2	1040	519
ENSMMUG00000013385	65	205	98	114	112	48	45	49	48	70	174	190	64
ENSMMUG00000009829	11	32	12	16	12	12	12	14	28	11	9	3402	1510
Locus_139657	0	0	0	0	0	0	0	0	0	0	0	54	4
ENSMMUG00000015785	99	175	66	72	71	7	11	58	68	4	7	52	7
ENSMMUG00000032491	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000006071	5943	18756	8464	1418	2361	745	1398	955	598	1362	3650	2804	539
blastnOpossum.Locus_92598	3	5	0	1	0	1	0	0	0	0	0	0	0
ENSMMUG00000004055	5	9	5	38	43	2	1	1	1	21	7	2	0
ENSMMUG00000018146	59	249	102	99	62	252	118	137	165	222	270	219	107
blastnHuman.ENSG00000225882	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000009810	0	2	1	0	0	0	0	3	0	0	0	40	68
ENSMMUG00000009768	223	1128	449	464	309	280	274	147	145	246	313	1483	563
ENSMMUG00000008097	33	50	35	43	39	40	33	29	30	25	8	154	50
ENSMMUG00000012112	1069	4611	1779	1343	838	322	469	463	261	513	447	2427	723
Locus_473899	0	0	0	0	0	0	0	0	0	0	0	14	3
blastnHuman.ENSG00000238115	2	4	1	0	2	4	3	10	6	1	2	3	2
ENSMMUG00000002877	8	3	7	0	1	0	7	1	3	1	1	915	223
blastnPan.Locus_65590	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000007110	498	1365	480	720	611	762	419	315	332	296	409	2875	1670
ENSMMUG00000009132	298	904	319	534	441	229	185	190	324	180	105	4208	1981
blastnHuman.Locus_17161	0	7	0	1	0	0	0	0	0	0	0	3	0
ENSMMUG00000031732	1163	3756	1965	521	450	6	15	10	12	2	14	982	239
ENSMMUG00000022212	0	0	0	0	0	0	9	1	3	0	0	3	0
ENSMMUG00000015005	52	135	89	3	3	1	0	0	1	0	0	12	4
ENSMMUG00000019378	947	2252	901	972	723	1147	336	317	386	307	357	2341	2987
blastnHuman.XLOC_004211	0	1	2	0	0	5	3	0	0	0	1	5	0
blastnMouse.Locus_82502	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000031857	4	21	10	6	2	0	5	0	0	0	4	79	16
blastnHuman.Locus_183850	0	0	0	0	0	0	0	0	0	0	0	3	2
Locus_192578	3	16	3	2	3	0	1	0	1	1	1	5	0
blastnHuman.ENSG00000250015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMMUG00000005801	282	1152	530	383	332	218	363	148	259	154	289	7608	2601
Locus_209585	0	1	0	0	0	0	0	0	0	0	0	447	164
ENSMMUG00000015143	161	690	228	353	313	151	208	161	156	142	205	3500	860
ENSMMUG00000014086	116	424	171	34	26	6	32	9	7	63	25	117	9
blastnHuman.ENSG00000240256	1	5	1	3	1	0	2	1	2	2	2	0	1
ENSMMUG00000005406	59	186	79	64	39	76	69	34	69	31	87	395	124
ENSMMUG00000015153	68	212	80	91	127	61	152	448	348	181	1980	221	53
ENSMMUG00000031393	66	191	88	73	65	7	13	3	7	4	6	6500	2333
blastnHuman.ENSG00000256810	0	1	0	0	0	0	0	0	0	0	0	6	0
Locus_288604	0	1	1	0	0	0	0	0	0	0	0	12	1
ENSMMUG00000022150	31	97	47	47	49	15	16	14	13	4	9	98	37
ENSMMUG00000004241	25	73	7	58	24	446	230	6	7	5	5	66	20
blastnMouse.Locus_92698	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_341823	0	0	0	0	0	0	0	0	0	0	0	11	9
blastnPan.CUFF.266292	0	2	0	0	1	1	0	3	3	0	0	2	1
Locus_210292	0	0	0	0	0	0	0	0	0	0	0	43	5
ENSMMUG00000019889	7	43	25	12	11	3	11	12	11	49	114	97	108
blastnHuman.CUFF.319877	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMMUG00000016318	10	14	9	7	1	5	4	1	2	69	32	13	5
ENSMMUG00000002449	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000009709	1	19	9	4	4	5	26	55	52	36	112	33	2
Locus_371632	0	0	0	0	0	0	0	0	0	0	0	7	0
Locus_60576	0	0	0	0	0	0	0	0	0	0	0	43	14
ENSMMUG00000030064	3	10	4	4	0	1	3	5	4	0	6	15	2
ENSMMUG00000001921	324	1198	601	141	215	162	166	16	18	32	89	254	65
blastnHuman.ENSG00000247810	0	0	0	0	0	0	0	0	0	0	0	13	0
ENSMMUG00000010589	468	1744	630	1013	837	3672	971	46	55	0	1	122	30
ENSMMUG00000014360	272	869	324	380	254	13	146	26	59	10	15	388	135
Locus_62327	0	0	0	0	0	0	0	0	0	0	0	3	2
ENSMMUG00000015908	313	999	306	697	468	181	159	126	286	154	63	4529	1658
blastnGorilla.Locus_135167	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000018688	1	16	0	1	1	72	115	13	7	2	6	16	7
ENSMMUG00000011006	0	2	0	2	1	0	0	0	2	0	0	806	157
ENSMMUG00000018184	196	775	266	333	218	264	150	114	98	134	76	3058	1034
ENSMMUG00000010082	51	279	132	23	16	94	100	51	23	27	11	62	12
ENSMMUG00000022311	9	14	1	8	3	2	7	14	18	222	40	5	0
ENSMMUG00000007342	162	652	252	64	39	1	1	1	0	0	4	199	32
ENSMMUG00000015549	0	0	0	0	0	0	0	0	0	0	0	6	0
ENSMMUG00000005565	0	0	0	0	0	0	0	0	0	0	0	4	1
ENSMMUG00000006811	48	168	56	263	309	75	112	49	40	150	87	1365	564
ENSMMUG00000014785	35	149	61	85	56	43	53	23	38	22	28	108	35
ENSMMUG00000002607	59	211	70	30	24	69	117	99	91	874	1053	552	179
Locus_60466	0	1	1	1	0	0	0	0	0	0	0	47	18
ENSMMUG00000017370	284	992	386	279	251	397	331	324	356	559	1185	8896	3835
ENSMMUG00000028965	2	0	1	3	5	0	6	2	2	2	0	0	1
blastnMouse.ENSMUSG00000085954	0	2	1	0	0	0	0	0	0	0	1	0	0
ENSMMUG00000031866	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMMUG00000006693	18	89	21	26	26	10	14	11	8	4	37	118	32
ENSMMUG00000004184	2	3	1	3	2	4	3	0	2	0	3	5531	2005
ENSMMUG00000017196	0	1	0	0	0	0	0	0	0	0	0	401	92
blastnHuman.CUFF.286937	0	0	0	0	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000253921	0	0	0	1	0	0	0	1	0	0	0	0	3
blastnGorilla.Locus_294731	0	0	0	0	0	0	0	0	0	0	0	0	0
