Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Testis_Male1	Testis_Male2	Testis_Male3
ENSGALG00000001077	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSGALG00000002696	1081	1278	1898	864	2057	2721	3327	2126	4397	1256	4142	5965	7772	6573	1890	5807
ENSGALG00000005854	626	369	1306	572	620	864	811	1476	1515	1839	1195	4125	636	733	567	2490
Locus_118203	0	0	0	0	0	0	0	0	0	0	0	0	0	29	25	153
ENSGALG00000000996	402	232	233	398	354	132	117	180	271	141	115	700	522	278	240	319
Locus_20099	0	0	0	0	0	0	0	1	1	0	0	10	9	6	5	35
ENSGALG00000007986	65	46	105	35	43	24	36	107	70	84	170	510	276	185	92	191
ENSGALG00000003832	228	158	119	95	135	54	80	294	203	518	1088	448	442	610	226	138
ENSGALG00000000372	783	573	775	689	955	1059	573	939	739	657	410	6083	6575	3218	4163	6313
ENSGALG00000007312	145	96	222	120	166	243	202	768	825	221	182	1277	1006	290	444	804
Locus_127695	0	1	0	1	0	0	0	0	0	0	0	2	0	0	2	3
ENSGALG00000002808	191	134	177	739	1086	90	122	349	269	694	1169	513	312	96	52	150
ENSGALG00000022409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000024272	3	0	0	0	0	1	1	1	4	0	5	1	0	2	0	2
ENSGALG00000002043	341	202	955	444	508	256	233	433	372	413	356	5019	1342	842	1033	4104
ENSGALG00000016856	193	123	284	61	64	91	54	63	62	7	16	511	220	13	19	57
ENSGALG00000002007	19	22	14	26	115	5	3	0	2	0	1	13	6	10	9	13
ENSGALG00000006859	1042	536	2166	1106	1250	0	1	0	1	3	0	5	2	168	99	368
ENSGALG00000009855	1917	1198	7059	1691	1931	149	172	376	273	198	56	5772	732	155	234	1276
ENSGALG00000004455	770	484	2086	1067	1330	407	242	569	536	635	374	10609	2305	1377	2022	8843
ENSGALG00000024091	6	4	25	1	5	0	2	78	41	27	41	1113	94	5	1	28
ENSGALG00000016106	35	14	115	45	30	13	7	21	8	31	7	535	131	26	99	520
ENSGALG00000024325	17	11	25	17	32	29	27	32	14	13	25	250	117	6698	3783	8801
ENSGALG00000005577	4572	2876	2225	3401	4617	10	66	0	1	1	1	0	1	309	100	200
ENSGALG00000002142	112	102	342	122	223	25	25	37	31	173	229	747	165	579	555	2669
Locus_21431	0	0	0	0	0	0	0	2	0	0	0	1	0	15	62	240
ENSGALG00000022980	43	16	404	48	68	45	20	75	36	47	15	3975	323	80	228	1825
ENSGALG00000015299	628	389	533	394	599	356	516	383	283	683	1231	1918	1997	2569	1386	2043
ENSGALG00000006235	118	91	150	158	151	758	793	172	147	171	141	178	194	105	52	164
ENSGALG00000024428	1	2	4	1	49	4	0	0	0	1	3	69	12	237	126	656
ENSGALG00000009060	105	54	64	12	17	10	7	27	27	11	27	268	145	572	271	406
Locus_28330	1	1	0	0	0	0	2	0	0	0	0	0	0	25	48	99
CUFF.7345	2	0	3	2	1	0	1	0	1	0	1	1	1	22	15	43
ENSGALG00000005682	24	20	101	31	26	26	23	27	21	48	23	1325	312	529	886	3238
ENSGALG00000016558	14	12	11	17	46	55	85	131	111	5	7	486	635	30	67	130
ENSGALG00000004366	547	312	894	409	644	258	257	519	338	342	451	3504	1375	746	635	1838
Locus_99373	0	0	0	0	0	0	0	1	0	0	3	49	4	0	0	0
ENSGALG00000004201	99	69	173	84	97	98	75	267	99	358	358	1013	376	349	337	649
ENSGALG00000006974	482	313	1822	390	474	384	216	652	395	647	330	11707	2437	355	626	3088
ENSGALG00000022479	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000015185	113	118	543	72	141	89	98	295	157	282	177	2241	843	395	627	2568
ENSGALG00000008530	602	351	565	669	644	589	437	674	681	632	515	3114	3523	1330	1428	1644
ENSGALG00000015009	104	94	221	113	169	61	55	115	98	65	46	1364	665	138	169	423
ENSGALG00000022344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000014498	259	163	570	137	298	205	250	774	243	266	368	4696	1205	575	414	1427
ENSGALG00000001557	332	174	220	115	137	618	467	2047	1754	342	538	1027	780	625	251	404
ENSGALG00000012533	384	297	1874	435	549	1028	554	3005	1894	1196	647	42536	4740	519	1182	5583
ENSGALG00000007903	49	42	46	27	82	7	26	21	36	32	107	171	235	90	24	104
ENSGALG00000009653	438	318	1428	276	371	42	41	116	69	78	30	1467	558	86	158	554
Locus_104944	11	4	15	13	6	0	1	3	3	0	0	20	1	67	60	170
