Gene	Brain_Female1	Brain_Female2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Testis_Male1
blastnMacaque.Locus_500478	0	0	0	0	0	0	0	0	0	0	0.06
blastnMacaque.Locus_341841	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000007112	0.17	0.03	0.06	0	0.17	0.12	0.44	0.06	0.2	0.47	14.12
blastnMacaque.Locus_40697	0	0.2	0	0.75	0	0	2.59	2.56	0	0	0.6
blastnPan.Locus_152433	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000014292	4.87	3.6	2.83	2.6	3.22	3.64	2.83	2.8	4.9	4.24	9.78
ENSGGOG00000014539	0.68	0.67	0.55	0.56	5.42	4.34	20.73	15.08	4.48	15.01	3.51
ENSGGOG00000013433	1.8	1.89	3.16	1.64	0.12	0.08	0	0.02	0.37	0.29	0.47
ENSGGOG00000008013	14.28	20.53	1.3	1.59	4.44	13.06	10.37	5.8	6.91	7.24	3.19
ENSGGOG00000016988	1.96	1.35	0.88	0.68	108.41	40.62	1.58	5.79	11.83	3.86	0.4
ENSGGOG00000016137	19.65	22.96	21.53	24.77	26.75	18.93	22.88	15.6	17.81	12.94	8.26
ENSGGOG00000006807	16.48	12.03	7.15	6.92	6.89	9.75	16.27	18.84	5.02	6.33	45.71
Locus_18095	1.13	1.49	0.21	0.33	0	0	0	0	0	0	0.11
ENSGGOG00000007233	8.68	8.58	5.79	6.09	4.18	4.86	7.72	7.84	14.96	13.31	13.05
ENSGGOG00000010289	0.63	0.27	0.03	0.04	0.71	1.38	0.19	0.3	0.69	0.73	0.52
blastnMacaque.Locus_314833	0	0.29	0	0	0	0	0	0	0	0.26	0
ENSGGOG00000026241	10.21	6.78	11.14	18.44	9.98	13.24	5.02	5.64	10.58	19.24	12.68
blastnMouse.Locus_97956	0	0	0	0	0	0	0	0	0	0	0
blastnHuman.Locus_17426	0	0	0	0	0	0	0	0	0	0	0
Locus_240488	0	0	0	0	0	0	0	0	0	0	2.06
ENSGGOG00000002412	1.72	2.63	0.64	0.99	4.16	2.13	0.49	0.91	0.26	0.59	1.39
ENSGGOG00000002236	2.01	4.28	0	0.05	0.11	0.3	0.09	0.04	0.05	0.27	1.08
blastnMacaque.Locus_140040	0	0	0	0	0	0	0	0	0	0	0.17
Locus_353631	0	0	0	0	0	0	0.91	1.08	0	0	0
blastnMouse.CUFF.170449	0	0	0.79	0	0	0	0	0	1.14	0	0
ENSGGOG00000023664	0	0	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_273141	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000027236	14.18	12.28	30.97	9.06	598.04	160.92	0.77	0.78	0.71	1.02	13.35
ENSGGOG00000025772	7.82	9.86	7.92	9.24	7.83	7.74	21.48	21.02	7.97	14.97	16.14
blastnMacaque.Locus_189194	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000028164	2.35	3.86	2.15	4.62	3.04	3.74	3.58	8.86	7.21	8.01	4.68
ENSGGOG00000006271	1.93	2.46	1.09	0.84	8.55	2.42	0	0	4.7	3.68	5.81
ENSGGOG00000004946	7.48	6.29	7.06	6.6	109.27	38.4	9.91	7.92	2.45	1.31	1.54
ENSGGOG00000024120	2.03	2.72	4.85	3.59	1.39	4.06	7.73	5.32	1.11	3.18	0.95
blastnHuman.ENSG00000226440	0	0	0	0	0	0	0	0	0	0	0.06
Locus_224930	0	0	0	0	0	0	0	0	0	0	6.68
ENSGGOG00000009874	9.03	11.27	7.99	7.71	9.17	15.98	10.61	18.92	13.84	10.95	8.93
blastnPlatypus.Locus_100731	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000023425	0.26	0.34	0	0.09	0.19	0	0	0	0	0	0.84
ENSGGOG00000005035	146	68.86	21.66	14.03	210.39	229.52	199.65	235.66	54.26	23.57	68.73
blastnHuman.ENSG00000249816	0	0	0	0	0	0	0	0	0	0	1.04
ENSGGOG00000025716	24.72	15.68	22.35	15.63	27.77	24.54	20.92	34.31	23.51	16.17	29.74
ENSGGOG00000010539	0.05	0.14	0.06	0.26	0.18	0	0	0	0	0	0.06
ENSGGOG00000022543	0	0	0	0	0	0	3.71	0.24	1.67	1.05	0.14
ENSGGOG00000009408	0	0	0	0	0.17	0	9.81	4.27	0.03	0.02	0.12
ENSGGOG00000007008	0	0.53	0.21	0	0	0	0	0.23	0.31	0.24	1.06
ENSGGOG00000011697	0.23	0.64	0.94	0.72	0.16	0.46	0	0.11	0.6	1.23	0.1
blastnMacaque.Locus_61151	0	0	0	0	0	0	0	0	0	0	0.03
ENSGGOG00000028319	0	0	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000228058	0.19	0.13	0.22	0	0	0	0	0	0	0	0.04
ENSGGOG00000002522	14.74	11.61	2.7	3.73	1.78	2.42	4.4	2.98	0.34	1.3	3.54
blastnHuman.ENSG00000256757	0	0.16	0	0	0	0	0	0	0	0	0.28
blastnPan.CUFF.49303	0	0.05	0	0	0	0	0	0	0	0	3.32
blastnMacaque.Locus_115008	0.11	0	0	0	0	0	0	0	0	0	0.02
blastnHuman.CUFF.186867	0	0	0	0	0	0	0	0	0	0	0.29
ENSGGOG00000009117	1.37	0.87	0.09	0.14	0	0	4.59	4.97	4.14	5.12	0.71
ENSGGOG00000005415	7.68	7.19	4.69	4.7	2.96	4.05	6.68	3.3	5.12	3.25	11.67
blastnPan.Locus_94166	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000003137	5.7	4.5	17.32	13.36	0	0	0.1	0.03	0.11	0.08	1.93
blastnMacaque.Locus_474184	0	0	0	0	0	0	0	0	0	0.45	0
blastnPan.Locus_160146	0	0.18	0	0.67	0	0	0	0	0	0	0
blastnHuman.Locus_147183	0	0	0	0	0	0	0	0	0	0	0.16
ENSGGOG00000008697	0.16	0.11	0.02	0	0.15	0.62	0	0.07	0.3	0.1	0.08
ENSGGOG00000002840	5.72	2.94	1.12	1.87	7.41	5.66	3.59	4.44	3.13	3.78	3.41
ENSGGOG00000001121	3.05	2.4	0.85	3.03	48.42	61.23	32.57	25.08	38.76	37.17	8.19
ENSGGOG00000016779	0.92	0.31	0.07	0	0.11	0.16	0.09	0.04	0	0.08	14.29
ENSGGOG00000010817	1.87	1.31	0.52	0.86	0.51	1.2	2.08	1.83	2.56	2.02	13.09
blastnHuman.ENSG00000249417	0	1.07	0	0	0	0	0	0.69	0	0	0.4
ENSGGOG00000027348	26.45	25.26	21.9	19.12	49.27	24.3	51.24	44.76	83.68	82.43	55.36
ENSGGOG00000004217	0.13	0.11	0.18	0.05	0.09	0.91	0.2	0.06	0.13	0.46	0.34
blastnMacaque.Locus_340122	0	0	0	0	12.69	2.29	0	0	0	0	0.14
ENSGGOG00000024712	484.24	282.41	237.2	381.77	126.52	81.99	50.49	38.08	65.02	143.17	121.04
ENSGGOG00000005010	11.4	9.36	9.39	8.92	4.42	4.54	6.18	5.5	6.24	7.5	4.95
blastnOpossum.Locus_377146	0	0	0	0	0	0	0	0	0.72	0	0
ENSGGOG00000012012	9.46	9.22	3.9	6.7	11.39	24.06	13.26	7.86	10.84	13.29	8.78
ENSGGOG00000003336	2.96	2.99	1.37	1.48	0.59	1.4	7.84	5.8	2.09	3.29	0.45
ENSGGOG00000025517	0	0.14	0	0	0.28	0	0.35	0.55	0.38	0.39	0.25
blastnHuman.Locus_24871	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000009902	3.9	5.04	3.16	4.78	8.28	3.96	6.38	12.74	9.04	10.32	3.02
ENSGGOG00000034997	14.07	13.73	20.19	12.27	15.57	16.9	38.27	27.13	29.99	18.24	27.13
ENSGGOG00000010196	1.91	1.76	1.81	4.38	11.46	7.56	0.27	0.06	0.12	1.13	7.33
ENSGGOG00000005508	14.19	13.09	13.23	17.39	21.98	15.12	22.63	21.65	24.06	18.29	59.3
blastnPan.CUFF.153639	0.91	0.71	0.34	1.06	1.08	3.05	2.28	0	0	0.39	0.63
ENSGGOG00000012808	11.43	15.26	6.99	7.27	14.1	21.85	12.23	18.36	10.16	15.32	14.28
ENSGGOG00000025242	0.57	0.34	0.37	0.14	0.58	1.64	0.49	0.39	0.4	0.73	34.79
blastnPan.Locus_137625	0	0	0	0	0	0	0	0	0	0	0.21
blastnHuman.ENSG00000254622	0.29	0.13	0.11	0	0	0	0.14	0	0.31	0.73	0.62
blastnHuman.Locus_159237	0	0	0	0	0	0	0	0	0	0	0.03
blastnMouse.ENSMUSG00000090664	1.89	0.29	1.42	0	2.23	3.16	0	0	0	0	2.04
ENSGGOG00000006051	8.49	6.81	5.14	5.29	5.11	6.38	6.42	8.44	10.41	10.9	5.81
blastnHuman.ENSG00000253508	0	0	0	0	0	0	0.2	0.46	0	0	0.3
ENSGGOG00000002599	9.45	7.69	11.49	6.98	1.62	1.14	0.53	0.5	2.42	2.87	3.08
ENSGGOG00000000436	58.78	66.69	46.99	31.22	0.12	0.34	0.08	0	0	0.09	1.28
ENSGGOG00000005728	1.41	1.28	0.91	1.05	5.87	5.03	14.2	5.81	1.22	1.69	2.69
ENSGGOG00000021930	0.06	0	0	0	0	0	0	0	0	0	0.01
ENSGGOG00000015620	2.45	2.88	2.93	3.99	2.05	2.22	1.33	0.81	4.43	3.72	1.69
blastnHuman.ENSG00000236376	0	0.16	0	0	0	0	0	0	0	0	0.08
blastnMacaque.Locus_246242	0	0	0	0	0	0	0	0	0	0	0.12
blastnHuman.CUFF.121101	0	0	0.32	0.5	0	0	0	0	0	0	0
ENSGGOG00000014434	5.23	7.87	5.94	6.89	0.54	2.06	4.66	3.8	3.5	6.29	3.98
ENSGGOG00000024493	0.02	0.07	0.14	0.08	0	0	0.04	0.03	2.45	2.25	0.58
blastnHuman.ENSG00000236611	2.84	2.33	4.45	3.43	3.87	3.29	1.97	2.34	1.78	3.61	1.32
ENSGGOG00000009349	5.69	5.83	7.05	8.81	4.62	4.73	4.79	5.34	6.72	5.39	5.35
ENSGGOG00000004302	19.69	18.52	21.21	25.15	24.06	18.18	47.88	31.54	15.51	23.55	46.67
blastnHuman.ENSG00000228351	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000010535	33.23	32.75	2.62	5.69	4.55	2.23	7.86	7.73	4.25	4.83	6.78
ENSGGOG00000014347	27.01	25.25	13.67	13.86	26.82	19.26	17.02	24.53	19.99	26.43	22.27
ENSGGOG00000012122	0.97	1.25	0.06	0	0	0	0	0	0	0	0.36
blastnMacaque.Locus_60601	0	0.25	0	0	0	0	0.53	0.21	0.29	0.45	0.33
ENSGGOG00000005211	15.65	24.96	21.11	26.84	29.18	34.17	16.58	9.66	7.9	17.06	25.08
ENSGGOG00000001357	2.27	4.59	0.37	0.45	0	0	0	0.08	0	0.08	0.19
ENSGGOG00000023732	1.48	3.03	4.29	2.58	5.23	0.53	3.48	2.38	2.91	2.28	3.32
ENSGGOG00000002224	34.01	28.06	17.19	12.17	24.93	19	22.31	25.53	16.4	17.95	21.5
ENSGGOG00000012212	64.52	52.48	82.11	69.53	80.01	90.53	57.19	61.63	61.94	48.9	97.78
ENSGGOG00000022306	0	0.09	0	0	0	0	0	0	0	0	0
blastnHuman.Locus_17540	0	0	0	0	0	0	0	0	0	0	0
Locus_134623	0.1	0.07	0	0	0	0	0	0	0	0	2.5
ENSGGOG00000001341	0	0	0	0	0	0	12.37	18.28	0	0	1.7
ENSGGOG00000002712	8.24	12.8	14.68	6.83	20.54	10.86	11.75	9.53	13.96	10.74	51.97
blastnMacaque.Locus_474330	0	0	0	0	0	0	0	0	0	0	0
blastnHuman.XLOC_008611	0.45	0.1	0	0	0	0	0	0	0	0	1.65
ENSGGOG00000016952	40.7	60	27.26	25.87	77.23	46.64	65.45	50.71	61.38	64.98	30.95
ENSGGOG00000011606	22.28	25.83	23.31	24.86	8.14	9.65	9.75	17.22	18.02	26.37	32.23
ENSGGOG00000013010	6.15	6.85	4.22	3.31	5.33	4.55	2.96	4.25	10.24	6.2	8.85
ENSGGOG00000023362	0	0	0	0	0	0	0	0.01	0.2	0	0.04
ENSGGOG00000015206	5.48	5.57	1.87	2.07	5.31	24.74	12.02	23.14	31.97	73.36	16.8
ENSGGOG00000007479	0.43	0.4	0.24	0.38	1.14	0	0.48	0.13	0	0.27	0.17
ENSGGOG00000026542	9.63	13.52	5.24	8.86	0	0	3.94	3.26	0	0.06	3.45
Locus_159763	0	0.06	0	0	0.22	0	0	0	0.71	0.16	0.57
Locus_135825	0.4	0.22	0.45	0.28	0.28	0	0.6	0	0.52	0	0.09
ENSGGOG00000023130	0	0	0	0	1.18	0	0	0	0	0	0
