Brain	Cerebellum	Heart	Kidney	Testis
ENSGALG00000018345	0	1	1	705	15
ENSGALG00000018320	105	74	254	282	209
ENSGALG00000025596	7	18	26	10	517
ENSGALG00000018323	15	6	24	24	19
ENSGALG00000025267	28	8	10	29	25
ENSGALG00000021792	9	5	0	0	82
ENSGALG00000025333	4	1	0	0	0
ENSGALG00000025309	7	2	0	0	0
ENSGALG00000025186	0	0	0	0	0
ENSGALG00000018301	34901	40133	34216	30284	21056
ENSGALG00000025575	6	11	0	0	5
ENSGALG00000024503	20	4	43	31	16
ENSGALG00000025522	0	0	0	0	0
ENSGALG00000018249	85	27	30	47	467
ENSGALG00000025532	0	0	0	0	0
ENSGALG00000025606	0	0	0	0	4
ENSGALG00000018335	0	1	0	4	2
ENSGALG00000018272	24	7	7	9	4
ENSGALG00000021791	152	141	1340	406	113
ENSGALG00000018244	9165	8543	4186	1597	4332
ENSGALG00000025543	0	0	0	0	1
ENSGALG00000021776	0	0	0	0	0
ENSGALG00000025345	0	0	0	0	0
ENSGALG00000025451	0	0	0	0	0
ENSGALG00000018285	1064	815	3	7	16
ENSGALG00000024508	0	0	0	0	0
ENSGALG00000025586	0	0	0	0	0
ENSGALG00000025485	1	0	0	0	0
ENSGALG00000025497	0	0	0	0	0
ENSGALG00000018238	23	25	1	1	4
ENSGALG00000018318	74	171	40	53	349
ENSGALG00000025198	1	0	0	0	0
ENSGALG00000025469	1	0	0	1	2046
ENSGALG00000025172	0	0	0	1	0
ENSGALG00000025534	23	1	0	1	7
ENSGALG00000025202	0	0	0	0	0
ENSGALG00000018266	4	7	0	0	3
ENSGALG00000025506	0	0	1	2	1
ENSGALG00000024492	56	62	221	31	38
ENSGALG00000025685	56	27	11	9	14
ENSGALG00000018338	11	5	18	16	74
ENSGALG00000025426	0	0	0	0	5
ENSGALG00000021734	59	5	144	0	1
ENSGALG00000018289	5	2	0	0	1
ENSGALG00000025542	0	0	0	0	0
ENSGALG00000025264	0	0	0	0	0
ENSGALG00000025279	0	0	0	0	0
ENSGALG00000025566	2	9	1	3	1
ENSGALG00000025394	0	0	0	0	0
ENSGALG00000025560	0	0	0	0	0
ENSGALG00000025313	0	1	0	0	0
ENSGALG00000025365	0	0	0	0	0
ENSGALG00000018309	1	35	0	4	1
ENSGALG00000025494	0	0	0	0	0
ENSGALG00000021950	0	0	0	0	0
ENSGALG00000021732	497	388	14	9	23
ENSGALG00000018241	6177	29786	7979	7055	5726
ENSGALG00000021721	2178	1251	10466	5094	1189
ENSGALG00000018273	89	89	125	109	97
ENSGALG00000018247	2458	355	431	101	191
ENSGALG00000025328	0	0	0	0	0
ENSGALG00000018337	1	1	1	0	2
ENSGALG00000018236	13	2	4	1	3
ENSGALG00000018304	138	88	21	25	32
ENSGALG00000024495	801	517	1663	3114	2241
ENSGALG00000025473	0	0	0	0	0
ENSGALG00000018265	40088	28909	24136	17052	42952
ENSGALG00000025436	0	0	0	0	0
ENSGALG00000018317	1	0	2	0	6
ENSGALG00000025459	94	64	41	22	206
ENSGALG00000025255	0	0	0	0	0
ENSGALG00000025334	0	0	0	0	0
ENSGALG00000018258	40	16	4	2	59
ENSGALG00000025244	0	0	0	0	0
ENSGALG00000025203	2	2	0	7	0
ENSGALG00000025321	0	0	0	0	0
ENSGALG00000021935	6	6	2	0	0
ENSGALG00000018355	3080	2011	714	770	646
ENSGALG00000018261	7999	14805	8539	4355	13550
ENSGALG00000018326	0	0	0	0	0
ENSGALG00000025234	0	0	0	0	0
ENSGALG00000025261	0	0	0	0	0
ENSGALG00000025143	0	0	0	0	0
ENSGALG00000025182	0	1	0	0	0
ENSGALG00000025684	52	20	387	109	26
ENSGALG00000018330	100	52	18	11	23
ENSGALG00000025208	0	0	0	0	0
ENSGALG00000021770	0	0	0	0	1
ENSGALG00000018255	83	118	36	36	60
