SampleID	Coefficient
Mouse_Brain_Male4	0.972028546706644
Mouse_Cerebellum_Female1	0.918096452776518
Mouse_Cerebellum_Male1	0.895824085670885
Mouse_Cerebellum_Male2	0.98642786149397
Mouse_CorticalPlate_Indiv1	1.19595076380149
Mouse_CorticalPlate_Indiv2	1.17946795687725
Mouse_CorticalPlate_Indiv3	1.17460275327665
Mouse_CorticalPlate_Indiv4	1.14637449754704
Mouse_CorticalPlate_Indiv5	1.20349178124053
Mouse_EmbryonicBrain_Indiv1	1.11583709303108
Mouse_EmbryonicKidney_Indiv1	1.44613156200433
Mouse_EmbryonicStemCells_Indiv1	1.3077379923137
Mouse_Heart_Female1	0.597572696524046
Mouse_Heart_Male1	0.613728470767683
Mouse_Heart_Male2	0.635038339421258
Mouse_Kidney_Female1	0.841002932513103
