Gene	Brain_Female1	Brain_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Testis_Male1	Testis_Male2
ENSXETG00000019739	1.84	1.3	150.07	118.03	7.62	6.77	32.26	44.67	0.12	0.06	10.88	4.31
CUFF.37808	0	0	0.4	0	0	0	4.46	2.46	0.06	0.11	2.76	6.71
Locus_98060	0.24	0.28	0.44	0.14	0.18	0.09	2.02	2.97	0	0.04	0.18	0
ENSXETG00000023523	1.96	2.42	4.22	2.3	3.08	2.22	2.81	2.33	8.94	8.06	3.08	3.08
ENSXETG00000026827	3.64	3.14	4.97	3.8	4.57	3.04	2.58	2.25	3.24	5.67	9.73	17.36
ENSXETG00000009920	11.34	12.95	16.22	15.76	22.23	13.01	27.78	21.9	64.27	76.5	16.85	9.91
ENSXETG00000000083	9.09	7.41	9.18	6.38	8.69	9.8	16.87	15.42	3.39	9.4	7.25	12.36
ENSXETG00000010543	14.7	12.58	27.25	25.94	24.18	17.63	19.91	19.33	14.43	14.02	19.89	16.6
ENSXETG00000009360	12.29	11.81	25.3	21.43	29.43	31.33	25.56	22.58	26.99	23.27	26.87	24.61
Locus_112620	0	0	0	0.18	0.11	0.44	0.51	8.38	0	0	0.07	0
ENSXETG00000000510	4.65	4.38	1.59	1.05	2.77	3.46	0.88	2.04	2.94	19.1	7.84	45.55
ENSXETG00000023676	3.1	3.23	21.53	15.15	83.77	67.66	89.02	86.67	6.51	14.15	8.02	12.94
ENSXETG00000024527	0.83	0.51	5.63	3.63	0.82	0.95	0.22	0.05	0	0.1	0.82	0.82
ENSXETG00000001547	2.04	1.79	17.39	15.44	13.35	21.19	1.94	2.18	0.52	0.74	6.2	6.93
ENSXETG00000004579	5.25	5.95	14.28	8.22	8.94	10.25	8.17	8.87	16.09	41.39	12.92	24.54
ENSXETG00000023244	5.96	4.42	30.66	11.76	90.51	62.57	3.52	1.76	0.26	0.06	1.7	2.08
ENSXETG00000020461	9.48	8.08	4.9	4.33	11.22	10.47	14.37	11.7	17.1	16.94	4.81	5.43
ENSXETG00000031848	11.81	18.53	26.33	48.7	0.78	0.86	0.15	0.15	0.87	0.35	1.8	2.61
ENSXETG00000014114	0.07	0.15	0.62	0.39	0.05	0	0	0	0	0	0.16	0.09
ENSXETG00000026659	0	0	0	0	0.06	0.06	0	0	0.97	5.69	0	0
ENSXETG00000007997	0	0.03	0	0	0	0.04	0	0	0	0	1.96	4.69
ENSXETG00000013638	1.17	2.44	4.34	4.45	0.83	2.65	0.06	0.05	0.07	0.16	0.43	1.62
Locus_133504	0	0	296.23	340.62	0	0	0	0.57	0	0	0	0.19
ENSXETG00000030597	32.01	26.1	13.37	13.08	7.18	6.84	5.61	5.71	12.95	8.3	4.62	3.5
ENSXETG00000022986	56.12	47.33	0.09	0.09	0.22	0.27	0	0	10.54	3.96	4.84	9.65
ENSXETG00000007913	1.8	0.88	4.32	1.72	4.28	2.91	26.58	18.77	0.72	0.14	8.17	6.24
ENSXETG00000011322	0.06	0.15	0	0	0	0	0	0	0	0	0.04	0.18
ENSXETG00000012975	1.48	1.49	32.54	101.4	11.74	20.71	18.17	45.36	0.07	0.17	11.83	7.46
ENSXETG00000007325	5.43	5.14	13.12	13.09	9.44	10.92	20.33	24.27	26.36	15.92	7.49	6.54
ENSXETG00000023572	5.02	6.14	1.4	3.07	2.71	2.92	4.3	4.19	7.92	8.01	8.54	6.77
ENSXETG00000031257	1.12	0.85	1.18	2.62	3.3	2.68	2.85	1.2	2.56	0	3.44	0
ENSXETG00000019874	12.34	15.29	9.19	10.98	7.09	8.77	5.41	6.82	21.93	21.62	16.24	15.69
ENSXETG00000031173	0	0.02	0	0	0.02	0.02	0	0.04	0.11	0.18	10.64	9.49
ENSXETG00000013223	0.9	1.7	9.17	4.58	11.8	8.58	5.62	7.74	0.33	0.06	2.11	2.24
Locus_164792	1.62	1.02	0.18	0	4.48	4.79	0	0.18	0.05	0	2.26	1.43
ENSXETG00000033441	1.84	1.46	1.02	1.86	0.72	1.53	1.2	1.1	2.12	8	0.87	1.76
ENSXETG00000007091	11.44	11.3	25.56	20.25	14.78	13	13.97	11.44	19.44	21.89	12.24	11.84
ENSXETG00000004365	3.08	1.69	2.18	2.41	119.99	63.69	11.53	12.36	0.02	0.09	1.35	1.13
ENSXETG00000023898	0.16	0.08	0	0	0	0	1.73	0.38	0.01	0	0.15	0.15
