Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Ovary_Female3	Testis_Male1	Testis_Male2	Testis_Male3	Testis_Male4
ENSOANG00000004219	626	685	320	694	507	572	516	198	227	96	139	378	318	384	53	330	112	241
Locus_156992	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0
blastnMouse.ENSMUSG00000089849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_155682	1	0	0	1	2	1	0	0	0	0	0	1	2	4	0	1	0	1
Locus_121336	0	0	0	0	0	0	0	0	0	0	0	68	24	30	0	0	3	6
ENSOANG00000004879	823	546	2739	1356	1035	180	166	271	380	254	256	5410	1025	839	855	2289	1695	9528
ENSOANG00000022517	0	0	2	2	0	0	0	0	1	0	0	4	5	1	2	9	8	20
ENSOANG00000007713	133	88	227	76	67	469	1526	1232	1231	229	236	2212	1426	629	226	1278	403	1535
ENSOANG00000011022	502	173	256	99	164	9	8	14	68	34	7	495	352	677	935	2214	1888	7870
blastnMacaque.Locus_473844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_8832	58	26	37	40	33	16	16	6	22	3	3	69	75	183	9	63	36	76
ENSOANG00000007528	36	15	32	85	142	53	88	88	177	55	49	85	132	156	23	129	41	77
