Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Placenta_Indiv1	Placenta_Indiv2	Placenta_Indiv3	Testis_Male1	Testis_Male2	Testis_Male3
ENSMODG00000011794	2893	749	736	1312	1387	2035	4441	1804	942	579	395	1281	3793	977	1387	1125	250	711	339
Locus_320352	1	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	7	16	37
Locus_120982	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	5	7	14
Locus_86808	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1512	4154	3351
ENSMODG00000009806	30	16	5	0	5	0	2	0	1	0	0	0	5	0	9	3	171	204	205
Locus_91063	2	0	0	5	4	0	8	1	1	0	0	0	1	1	0	0	2	2	0
ENSMODG00000016268	227	32	87	91	51	68	163	101	85	71	68	141	177	514	114	327	82	147	335
CUFF.168041	1	0	13	0	0	0	0	0	0	0	0	2	0	38	0	0	0	0	0
ENSMODG00000011961	549	149	589	106	153	86	193	152	136	61	28	645	558	130	208	77	58	96	229
ENSMODG00000000447	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Locus_319926	0	0	0	0	0	0	0	0	0	0	0	0	0	17	1	7	0	0	0
ENSMODG00000021233	4	1	7	13	12	0	3	0	0	0	0	6	10	2	4	5	0	3	8
ENSMODG00000016326	4	2	5	13	7	0	0	2	0	7	1	2	5	0	0	2	3	5	4
ENSMODG00000003050	270	104	179	132	122	839	1639	24	27	18	31	189	173	5	7	7	167	254	652
ENSMODG00000009952	742	132	391	172	161	4	3	392	242	1	1	1098	637	335	192	116	302	464	1002
Locus_313815	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	19
ENSMODG00000017148	505	80	226	227	214	7	25	36	27	17	9	65	184	257	202	434	35	75	81
Locus_34456	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	32	8
ENSMODG00000007957	65	13	20	33	32	145	347	117	66	65	46	290	280	111	47	56	12	22	36
ENSMODG00000001574	2142	374	2650	630	569	168	566	334	240	209	131	3332	1931	1597	568	785	1027	2841	10007
ENSMODG00000009510	242	20	23	21	11	0	0	0	0	16	24	3	7	1	0	0	0	2	2
ENSMODG00000008226	62	11	49	56	54	288	832	1	2	1	1	120	154	11	2	16	0	6	8
ENSMODG00000007340	0	0	0	0	0	2	4	0	0	0	0	0	3	0	0	0	0	0	0
Locus_419478	0	0	0	0	65	0	0	0	0	0	0	0	1	0	2	0	2	0	0
ENSMODG00000016883	1315	426	482	933	964	808	1506	974	495	541	397	1273	2946	597	2125	933	1524	3540	3176
ENSMODG00000000226	717	205	1087	328	371	132	446	160	173	79	71	1900	913	771	481	340	89	459	1591
ENSMODG00000020842	215	46	93	63	67	852	2053	501	323	636	508	323	153	624	99	149	1117	1251	4201
ENSMODG00000003355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000014829	0	0	0	0	0	0	0	0	0	73	50	0	0	0	0	0	0	1	0
Locus_86669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	7
ENSMODG00000012147	367	109	324	216	288	80	255	222	182	182	101	502	481	592	357	350	100	352	541
ENSMODG00000020224	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	9	10
ENSMODG00000014595	119	13	32	53	37	32	61	18	7	6	4	196	304	33	8	41	5	4	27
ENSMODG00000013015	31	4	15	8	8	7	37	18	9	9	6	52	28	43	7	5	11	7	28
ENSMODG00000017235	139	23	36	21	24	36	63	25	12	5	2	52	123	21	23	5	10	23	24
blastnHuman.ENSG00000250957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000000151	66	26	31	12	24	5	9	7	15	3	0	158	403	25	19	83	209	453	844
Locus_33357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	10
Locus_122158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4
Locus_186814	0	0	0	0	0	1	0	2	3	0	0	0	1	0	0	0	0	0	0
ENSMODG00000001694	223	73	82	102	88	29	133	71	54	59	40	459	960	110	387	259	216	352	337
ENSMODG00000013831	35	9	15	30	26	3	2	56	21	2	2	274	147	33	4	12	5	12	16
CUFF.52115	0	0	0	0	0	0	0	0	0	0	0	32	10	0	1	0	2	8	8
Locus_228908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6
ENSMODG00000000223	208	74	532	88	99	108	312	174	112	110	82	1858	691	854	353	303	70	201	749
Locus_373311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	12
ENSMODG00000012187	3	2	5	2	1	34	103	4	7	3	5	160	242	1	1	1	5	6	14
Locus_87282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	15
ENSMODG00000002929	779	240	440	395	465	174	422	176	141	84	67	950	1152	306	477	264	231	518	667
Locus_418504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	2	29
ENSMODG00000011809	223	69	177	78	70	56	144	48	54	88	60	202	242	189	147	130	125	315	618
ENSMODG00000011427	53	16	27	46	61	47	92	40	16	38	4	48	12	9	7	0	48	85	318
ENSMODG00000012739	6742	1265	2373	3088	3146	805	1955	918	621	372	290	1164	3111	847	1147	953	255	588	576
ENSMODG00000024056	2	0	2	0	3	1	2	4	3	1	0	37	48	18	8	7	1	4	1
ENSMODG00000004437	33	6	12	11	12	24	40	29	22	4	4	74	60	20	20	13	8	25	57
Locus_318968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	43	83
ENSMODG00000001558	516	82	533	185	191	100	314	234	160	301	154	1385	756	3441	148	2094	174	379	1684
ENSMODG00000025620	4	4	6	5	7	17	38	787	486	174	95	319	334	80	172	39	35	55	210
blastnMacaque.Locus_209403	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000024509	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0
Locus_418686	3	0	0	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1
ENSMODG00000025403	1	1	4	3	5	1	2	0	0	0	0	439	183	0	0	0	2	3	18
ENSMODG00000018984	255	52	50	291	290	148	235	227	78	57	42	242	540	40	39	74	267	393	406
ENSMODG00000016481	9	5	6	3	8	0	0	0	0	0	0	22	25	0	1	0	0	1	0
ENSMODG00000006739	33	7	19	7	7	131	434	14	25	2115	1409	98	257	584	208	185	887	2556	2794
ENSMODG00000006792	2276	296	670	1093	1304	215	512	527	320	208	96	989	1805	756	1037	940	219	454	1023
CUFF.67360	10	1	12	15	9	0	2	1	0	1	0	18	6	4	1	0	1	0	6
ENSMODG00000015507	2215	583	2042	429	488	212	763	404	348	249	188	2678	1662	2309	996	1137	482	1562	2666
Locus_35833	0	0	0	0	0	5	22	0	0	0	0	2	1	0	0	0	0	0	0
ENSMODG00000003762	4	4	4	165	253	2	2	11	9	4	3	13	58	5	60	4	17	19	20
ENSMODG00000001155	3	0	3	3	2	0	0	0	1	0	0	0	1	0	0	0	1860	3967	3909
ENSMODG00000008620	133	47	43	87	53	590	950	341	241	237	185	459	772	1601	595	2100	255	416	691
ENSMODG00000010326	1108	142	318	187	150	577	1607	247	210	1025	546	1174	658	223	28	275	582	1235	1780
ENSMODG00000024485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMODG00000004849	82	17	23	77	74	48	49	47	32	24	10	112	82	46	10	22	7	15	30
ENSMODG00000010337	38	11	188	4	9	1	14	8	2	3	0	204	2	179	0	0	13	45	914
Locus_190184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	264	1176
ENSMODG00000011374	571	175	144	244	222	948	1517	779	374	241	135	412	670	277	384	177	124	392	368
Locus_372862	294	157	53	39	55	0	0	0	0	0	0	1	1	0	0	0	10	23	10
ENSMODG00000007988	1089	488	648	435	423	471	1022	1219	771	652	516	3359	3390	1556	1472	882	289	524	1282
ENSMODG00000009861	1	0	10	1	1	1	1	0	0	0	0	33	35	3	0	0	0	1	1
ENSMODG00000009295	2	0	0	0	0	0	0	2	1	0	0	0	11	11	52	10	0	0	0
ENSMODG00000019998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
blastnPan.Locus_8292	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMODG00000005356	295	104	732	191	209	139	370	201	124	109	80	1295	495	448	141	185	387	1450	5741
ENSMODG00000003286	270	56	71	168	159	122	285	188	95	95	92	167	584	223	471	303	213	474	434
ENSMODG00000007743	89	23	62	65	76	106	326	212	75	19	27	490	609	68	58	40	69	158	229
CUFF.200577	20	3	80	0	0	1	8	1	0	0	0	2	5	10	2	0	0	0	4
ENSMODG00000007156	431	135	736	153	255	24	54	104	83	391	428	635	245	1203	495	594	123	288	997
ENSMODG00000008691	126	27	132	21	28	2	11	14	10	0	0	395	251	22	12	5	14	27	121
ENSMODG00000014853	769	118	346	370	293	383	1087	496	277	524	381	1628	1910	1419	684	624	250	487	784
ENSMODG00000017216	71	23	21	39	37	24	152	23	19	9	14	30	143	71	178	110	65	84	114
ENSMODG00000007185	6	3	1	2	3	23	22	16	5	0	0	9	13	0	1	5	8	6	6
Locus_192209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	22	141
Locus_373224	9	3	4	6	10	2	11	7	7	3	4	26	56	10	39	21	0	1	4
ENSMODG00000005766	1304	393	565	935	1107	709	1453	776	448	392	306	756	1254	555	638	421	777	1751	2119
ENSMODG00000014658	506	108	167	248	263	129	210	151	42	68	28	177	371	75	161	121	127	161	238
ENSMODG00000024599	61	18	13	6	5	7	18	6	0	60	13	16	15	3	0	4	8	37	10
ENSMODG00000004207	93	27	27	36	22	18	23	7	1	11	6	66	232	29	24	28	1	11	2
ENSMODG00000019511	7	0	3	3	0	1	3	0	0	0	0	158	296	8	13	3	1181	4020	6574
ENSMODG00000018285	9	6	11	5	7	3	21	7	4	2	1	24	28	6	13	8	4035	9535	14828
ENSMODG00000021307	0	0	0	0	0	1	2	1	0	1	0	2	0	1	0	0	1	6	17
Locus_87308	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	35	113	397
ENSMODG00000023308	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2
CUFF.85927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	12	18
ENSMODG00000005602	972	151	180	366	158	4	1	94	29	478	335	10	26	0	1	0	13	15	16
Locus_122292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	4
ENSMODG00000010300	307	37	89	129	120	53	148	258	123	137	77	305	446	1271	227	217	152	359	559
Locus_372826	159	36	55	59	59	6	38	36	34	14	17	144	545	54	403	98	8	19	39
ENSMODG00000008976	621	87	995	171	111	39	246	57	49	46	27	885	465	644	144	142	356	633	3191
Locus_377359	1	0	1	0	0	2	2	0	0	2	2	9	1	1	4	0	0	0	0
ENSMODG00000000485	2106	555	1249	1461	1530	433	802	489	291	236	165	1237	1436	833	563	414	321	759	1117
ENSMODG00000016301	388	74	196	74	72	32	95	71	43	21	26	337	368	243	60	87	74	153	225
Locus_191519	0	0	1	0	0	0	0	0	0	0	0	393	181	3	3	18	0	1	5
Locus_121907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	25
ENSMODG00000012413	557	160	513	145	164	12	92	121	99	277	131	1462	1191	922	553	363	86	256	615
ENSMODG00000014960	854	136	724	371	326	241	488	165	95	84	40	849	515	445	117	113	81	113	530
ENSMODG00000009742	839	148	450	377	315	112	298	139	131	47	47	826	1329	347	652	325	63	141	369
ENSMODG00000006205	900	275	360	689	775	2037	4322	946	713	615	447	547	1465	333	1017	564	217	364	509
ENSMODG00000025321	0	0	0	0	0	0	0	0	0	0	0	15	48	0	0	0	272	582	822
ENSMODG00000016717	170	39	295	35	49	10	81	23	37	41	8	908	407	480	225	170	47	118	845
Locus_228345	0	0	0	0	0	0	0	0	0	2	0	0	1	1	4	2	0	0	1
ENSMODG00000005378	1484	407	2646	468	497	933	2249	601	433	483	293	3279	1129	4614	1114	1536	891	2215	11462
ENSMODG00000008445	13941	3165	7893	5120	4629	1	0	1	1	0	0	131	86	10	6	5	236	618	1061
ENSMODG00000019413	488	84	352	258	207	135	325	141	87	101	81	533	321	350	38	110	77	164	507
ENSMODG00000014491	149	41	228	45	71	51	229	37	42	34	34	366	370	361	303	177	87	169	917
Locus_35976	0	1	1	0	0	0	0	3	0	0	0	1	0	2	0	0	7	6	64
Locus_316674	2	1	2	0	2	0	0	0	0	1	3	3	6	1	0	0	0	0	1
ENSMODG00000023064	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	44	112	201
Locus_392314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	13	22	33
blastnXenopus.Locus_5188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000019639	1	0	2	1	1	1	9	0	4	3	2	25	32	0	2	1	6	24	79
ENSMODG00000024645	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	2236	4959	6857
ENSMODG00000014252	86	10	50	31	17	4	27	157	101	197	133	584	517	2888	4435	1158	12	18	33
ENSMODG00000003433	41	8	37	15	13	4	25	3	4	0	3	176	161	10	18	19	92	243	728
ENSMODG00000013760	687	137	338	697	711	302	500	452	171	319	174	745	972	709	775	659	106	150	292
ENSMODG00000025558	345	113	911	73	86	9	20	128	56	8	15	1425	638	218	183	71	521	1570	5506
ENSMODG00000002156	1	0	1	1	1	0	1	5	2	0	1	12	0	3	0	0	0	1	3
ENSMODG00000014727	48	10	45	7	3	1	3	0	0	0	0	10	3	0	0	0	0	0	1
ENSMODG00000001296	0	0	1	1	0	2	0	0	0	0	0	1	1	0	0	0	130	290	319
ENSMODG00000001923	51	19	88	19	34	11	64	32	27	9	12	163	193	47	81	46	183	502	1508
ENSMODG00000006664	58	15	19	35	14	7167	12322	11	7	7	12	15	26	80	172	26	14	31	50
ENSMODG00000015573	48	16	11	54	45	299	377	263	152	189	92	253	593	134	325	210	11	49	23
ENSMODG00000005818	62	19	16	18	17	91	199	45	30	1	3	199	996	35	16	18	35	49	70
ENSMODG00000024780	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMODG00000014749	137	38	109	132	103	42	141	28	17	2	7	424	452	24	53	32	216	1396	1633
ENSMODG00000007434	502	213	171	311	353	652	1683	421	330	282	125	250	795	364	1122	611	923	1470	1602
Locus_91933	3	1	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2
Locus_89995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3
ENSMODG00000013428	4642	1605	1371	2902	3475	3556	4604	2643	1489	640	556	1714	4630	1033	3104	1306	1775	2706	2724
ENSMODG00000001551	1358	343	663	452	512	210	771	252	317	582	640	588	1966	668	1288	4352	34	106	130
ENSMODG00000006506	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	12	37	19
ENSMODG00000008587	103	68	41	80	108	197	943	110	67	140	49	149	657	298	525	270	366	834	870
blastnPlatypus.Locus_75309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000016910	3701	1386	1100	2713	2629	61	208	81	49	4	3	59	262	233	298	173	20	26	32
ENSMODG00000022914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_230878	0	0	0	2	0	0	0	1	0	0	0	2	1	1	0	0	0	1	3
ENSMODG00000019921	890	226	913	755	756	267	497	458	278	282	165	2890	2009	1068	790	583	577	1603	3882
ENSMODG00000015685	25	6	12	5	8	2908	5994	8	7	1	1	79	86	25	53	85	27	49	79
ENSMODG00000001275	932	515	584	499	536	794	2760	1429	1125	1265	781	3272	7755	1356	3493	2003	394	515	935
Locus_35508	1	0	0	1	1	0	1	1	0	0	1	9	11	6	3	3	1	3	3
ENSMODG00000005335	1	0	3	1	0	11	11	12	5	2	0	51	69	24	37	44	17	31	53
ENSMODG00000000736	1168	294	923	596	633	224	428	334	161	54	46	1259	1056	318	57	89	331	778	1859
ENSMODG00000015982	94	10	12	32	22	8	64	21	12	6	3	36	42	33	9	41	1	2	1
