Gene	Brain_Female1	Brain_Male1	Cerebellum_Female1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1
ENSPPYG00000013434	2.94	2.09	0.6	3.52	6.8	11.8	12.1	1.17	0.72
blastnPlatypus.Locus_100731	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000249816	0	0	0	0	0	0	0	0	0
ENSPPYG00000010263	21.21	43.37	10.88	9.65	10.43	22.92	28.44	9.73	10.3
ENSPPYG00000001904	1.02	1.75	0.63	13.29	5.62	1.8	1.87	0	0.46
Locus_218334	0.17	0	0	0	0	0.26	0.29	1.89	3.55
ENSPPYG00000007608	8.27	14.96	5.45	7.25	11.02	25.14	19.46	23.43	20.72
ENSPPYG00000019728	12.73	13.66	8.6	7.14	17	8.81	7.63	14.42	5.97
blastnMacaque.Locus_61151	0	0	0	0	0	0	0	0	0
ENSPPYG00000014264	17.22	3.68	27.42	0	1.09	2.71	0	1.44	0.41
blastnHuman.ENSG00000228058	0.37	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000256757	0	0.31	0	0	0	0	0.33	0	0
blastnPan.CUFF.49303	0	0	0	0	0	0	0	0	0
ENSPPYG00000004490	21.34	41.13	13.49	28.37	29.48	25.68	31.28	27.79	26.68
blastnMacaque.Locus_115008	0.1	0.41	0	0	0	0	0	0	0
blastnHuman.CUFF.186867	0	0	0	0	0	0	0	0	0
blastnPan.Locus_94166	0	0	0	0	0	0.32	6.97	0	0
ENSPPYG00000020030	2.5	1.94	4.3	5.34	4.62	0	4.16	0.76	2.57
blastnMacaque.Locus_474184	0	0	0	0	0	0	0	0	0
blastnPan.Locus_160146	0	0	0.45	0	0	0	0	0	0
blastnHuman.Locus_147183	0	0	0	0	0	0	0	0	0
ENSPPYG00000009111	19.77	22.06	14.92	11.42	8.79	5.53	6.02	5.9	5.68
ENSPPYG00000008539	0.53	0.26	1.84	2.16	1.12	5.24	1.32	5.23	4.92
ENSPPYG00000020126	0.11	0	0.03	0.49	0.16	0.03	0.02	0.48	1.62
ENSPPYG00000016714	0	0	0	0	0	0	0	0	1.96
ENSPPYG00000006702	0.82	0.11	0.07	0	0	1.42	0.55	0	0
blastnHuman.ENSG00000249417	0.8	0	2.99	0	0	0.61	0.44	0	0
ENSPPYG00000004904	1.71	1.98	5.41	30.75	12.58	2.97	1.26	2.5	1.75
blastnOpossum.Locus_377146	0	0	0	0	0	0	0	0	0
ENSPPYG00000017658	0	0	0	0	0	0	0	0	0
ENSPPYG00000010568	45.15	127.59	40.43	33.03	34.66	29.63	33.54	38.14	14.75
ENSPPYG00000004590	0	0	0	0	0	1.48	1.08	0	0
ENSPPYG00000010284	10.44	22	5.66	2.19	5.09	7.19	7.53	7.66	5.25
ENSPPYG00000007102	0.22	0	0	0	0	0	0	0	0
ENSPPYG00000017256	8.9	0	2.78	25.46	23.17	50.92	14.93	144.27	28.97
blastnHuman.Locus_24871	0	0	0	0	0	0	0	0	0
blastnHuman.XLOC_012150	0	0	0	0	0	0	0	0	0
ENSPPYG00000018707	1.62	1.11	3.89	9.51	6.19	2.82	2.52	8.44	6.3
ENSPPYG00000014410	3.47	1.59	2.88	14	6.99	10.17	16.43	22.87	9.43
ENSPPYG00000003387	3.92	2.64	5.82	6.55	3.8	3.51	6.44	4.61	5.8
ENSPPYG00000019062	1.45	2.02	3.51	1.94	2.44	4.75	3.81	2.68	3.41
ENSPPYG00000011774	38.48	33.03	23.66	52.6	46.42	66.34	48.51	115.78	52.8
blastnPan.Locus_137625	0	0	0	0	0	0	0	0	0
ENSPPYG00000009313	39.73	42.01	45.25	24.99	56.58	48.67	106.04	24.43	64.85
ENSPPYG00000003809	4.54	4.19	4.07	24.59	9.51	20.54	32.17	83.91	111.88
blastnHuman.ENSG00000254622	0	0	0	0.3	0	0	0.1	0	0
ENSPPYG00000015515	8.93	5.07	7.91	13.74	14.16	16.77	13	24.34	14.07
blastnHuman.Locus_159237	0	0	0	0	0	0	0	0	0
blastnMouse.ENSMUSG00000090664	0	0	0.74	0	2.2	0	0	0	0
ENSPPYG00000009014	7.06	7.3	36.9	1.17	1.6	1.7	1.51	0.32	0.21
ENSPPYG00000000314	19.18	25.43	6.82	0.12	0.44	12.9	10.86	1.51	3.7
ENSPPYG00000020002	0.31	1.02	0.54	0	0.45	0.47	0.55	0.3	0.25
ENSPPYG00000002240	0.04	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000253508	0	0	0	0	0	0	0.37	0	0
ENSPPYG00000006425	1.97	3.76	11.15	2.58	3.35	2.07	2.01	1.47	1.24
blastnGorilla.Locus_135170	0.13	0	0.16	0	0	0	0	0	0
blastnHuman.ENSG00000236376	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_395505	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_246242	0	0	0	0	0	0	0	0	0
blastnHuman.CUFF.121101	0	0	0.34	0	0	0	0.15	0	0
blastnHuman.ENSG00000228351	0	0	0	0	0	0	0	0	0
ENSPPYG00000003741	0.33	0	0.82	0	1.21	0.5	1.09	3.98	0
ENSPPYG00000001033	12.26	15.79	7.92	19.06	20.6	11.8	21.85	21.03	11.88
blastnMacaque.Locus_60601	0	0	0.21	0	0	0.26	0.38	0.41	0.46
ENSPPYG00000004759	3.07	2.95	6.21	5.42	3.9	1.69	1.99	3.21	3.4
ENSPPYG00000019618	2.41	2.62	8.35	29.06	15.01	2.3	2.02	2.32	4.4
ENSPPYG00000016290	0.64	0.76	4.57	0	0	0	0.2	0.22	0.25
ENSPPYG00000020925	0	0	0	0	0	0	0	0	0
ENSPPYG00000015500	10.48	10.28	0	0	0	0	0	0.13	0
ENSPPYG00000003663	56.78	62.34	29.6	27.94	19.48	15.36	16.42	22.32	12.56
blastnHuman.Locus_17540	0	0	0	0	0	0	0	0	0
ENSPPYG00000012412	4.44	5.92	10.41	28.5	16.13	9.32	7.52	28.13	12.28
blastnMacaque.Locus_474330	0	0	0	0	0	0	0	0	0
ENSPPYG00000020422	1.53	0.27	0.7	1.03	1.19	0.95	0.64	1.46	1.38
blastnHuman.XLOC_008611	0	0	0	0	0	0	0	0	0
Locus_119626	0	0	0	0	0	0	1.42	0	0
ENSPPYG00000010021	0.35	0.18	0.11	0.3	0.32	0.13	0.1	7.14	1.54
ENSPPYG00000011878	0	0	0.17	0.04	0	0.11	0.03	0.11	0
ENSPPYG00000018717	0.07	0	0	0.94	0	0.52	0.38	0	0.09
blastnGorilla.Locus_391441	0	0	0	0	0	0	0	0	0
ENSPPYG00000012854	5.31	3.35	6.14	14.36	12.68	9.19	10.02	19.16	10.93
ENSPPYG00000019644	176.76	333.58	12.86	10.15	16.08	37.35	28.09	53.9	19.5
ENSPPYG00000001950	4.39	8.84	11.22	45.27	68.55	7.9	4.95	0.39	0.55
blastnGorilla.Locus_57717	0.22	0	0	0.77	1.66	1.71	0.5	0	0.31
ENSPPYG00000009134	0.75	0.66	0.05	0.07	0	0.26	0.19	0.07	0.22
blastnOpossum.Locus_92598	0	0	0.35	0	0	0	0	0	0
ENSPPYG00000007403	39.3	46.03	19.38	30.02	33.96	13.16	16.89	19.02	25.91
blastnHuman.ENSG00000225882	0	0	0	0	0	0	0	0	0
ENSPPYG00000013805	48.98	57.94	76.64	13.1	10.79	16.94	13.23	11.05	16.85
blastnHuman.ENSG00000232586	1.59	3.1	9.81	2.4	1.73	3.55	7.56	0.45	0
blastnHuman.ENSG00000238115	0.08	0.16	0	0.39	0	0.82	0.51	0	0
ENSPPYG00000013553	0	0	0	0.07	0	0.12	0	0	0
blastnPan.Locus_65590	0	0	0	0	0	0	0	0	0
ENSPPYG00000011716	16.02	17.76	12.67	11.86	19.46	28.24	29.51	40.47	18.69
blastnHuman.Locus_17161	0	0	0	0	0	0	0	0	0
