baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000189403	334.628479532003	8.46836099652356	0.561652807285872	15.0775726332537	2.27479577125686e-51	3.6656326681065e-49
ENSG00000133112	799.732849028358	3.38102312352423	0.226213678941475	14.9461479931059	1.65022603651569e-50	2.62827279327388e-48
ENSG00000139675	126.355691448012	-4.42318174999197	0.296280010399845	-14.9290589804647	2.13254299059617e-50	3.3574070508271e-48
ENSG00000205269	170.970046366294	4.23431789084001	0.283802366083278	14.9199527448531	2.44446435299634e-50	3.80475320943078e-48
ENSG00000152348	151.43990304985	4.95922763911324	0.333334641989673	14.8776245082468	4.60563928721874e-50	7.0880271142736e-48
ENSG00000172667	215.262666939863	3.32932888492126	0.223810873359457	14.8756351063163	4.74461184288048e-50	7.22077204577043e-48
ENSG00000164970	311.540679266896	2.67912713768128	0.182123367982444	14.7105073190802	5.51920873298694e-49	8.3073189028266e-47
ENSG00000187664	219.795445552824	-7.97668946538957	0.54227679166604	-14.7096272383016	5.59145667927428e-49	8.32458501478476e-47
ENSG00000142937	243.599751324005	7.61441787034183	0.518581955837729	14.6831523631425	8.26566404304872e-49	1.2173634451359e-46
ENSG00000177432	296.528960668754	2.58039310287265	0.176031124728408	14.6587321239573	1.18464400248513e-48	1.71378891462295e-46
ENSG00000183775	216.847221494641	3.79704577769884	0.259033672740035	14.6585026476829	1.18865406212441e-48	1.71378891462295e-46
ENSG00000272391	249.657059205341	-8.34087609717886	0.569216188488496	-14.6532657817188	1.28393116951735e-48	1.83187554467491e-46
ENSG00000183715	451.628153678188	2.67212221268537	0.18438443351663	14.4921247511079	1.35873852278466e-47	1.91862283985376e-45
ENSG00000232995	171.971033917281	-6.73045229456795	0.464460684939651	-14.4908977504575	1.38323047687087e-47	1.93327631037759e-45
ENSG00000170500	550.437233241874	3.03837658572548	0.210145090031058	14.4584705037669	2.21669029134979e-47	3.06686938592101e-45
ENSG00000070808	3249.94956457635	2.121543434453	0.147014699450762	14.4308252329798	3.31095736462889e-47	4.53501830233219e-45
ENSG00000143420	508.354054989932	2.07857972123937	0.144531795396299	14.3814702885272	6.76421167011607e-47	9.17320863817622e-45
