ENSEMBL ID	hK1	hK2	hK3	hK4	hK5	hK6
ENSG00000160593	16.6636	53.2277	0.0	12.3258	4.485530000000001	5.45896
ENSG00000160602	35.0627	16.279	48.1057	18.2727	14.1574	20.1013
ENSG00000160606	42.9242	12.7545	155.08100000000002	36.0801	4.33291	24.6083
ENSG00000160613	20.7319	51.4063	97.1015	36.4869	18.5219	46.371
ENSG00000160633	232.34099999999998	158.825	159.944	135.679	246.79	177.425
ENSG00000160654	5.5136400000000005	6.75807	0.0	2.03918	0.0	0.0
ENSG00000160678	544.747	164.505	35.7446	315.346	8.76629	85.3496
ENSG00000160679	255.731	187.40599999999998	167.447	144.123	220.856	146.27700000000002
ENSG00000160683	0.0	0.0	1.41405	1.03958	2.08075	0.0
ENSG00000160685	132.363	182.667	124.295	265.437	28.3058	238.49
ENSG00000160688	106.865	88.0449	87.9707	116.28399999999999	113.103	71.609
ENSG00000160691	106.245	205.92	67.1412	91.5779	100.74700000000001	75.9397
ENSG00000160703	13.9605	56.2512	87.182	43.0859	14.9668	44.2361
ENSG00000160710	113.11	230.24099999999999	138.189	223.359	128.959	136.474
ENSG00000160712	12.0921	24.7021	0.0	69.3187	0.0	16.3405
ENSG00000160714	134.08700000000002	108.24700000000001	74.7683	82.4527	57.402	75.6807
ENSG00000160716	0.965864	0.0	0.0	0.0	0.7149810000000001	0.0
ENSG00000160741	121.446	151.50799999999998	80.2165	87.0894	83.7243	95.2121
ENSG00000160746	62.166000000000004	60.2487	98.1838	120.84	7.49136	62.5172
ENSG00000160752	152.49200000000002	271.258	153.42600000000002	339.256	154.561	243.055
ENSG00000160753	68.4738	81.7081	71.0803	86.8272	83.675	88.1253
ENSG00000160767	41.4147	51.1555	47.4825	56.2809	66.3051	52.0608
ENSG00000160781	142.589	16.6449	2.9278	13.9911	35.5428	18.3511
ENSG00000160783	234.071	295.595	201.861	240.59599999999998	243.03	295.77099999999996
ENSG00000160785	86.9278	46.038999999999994	45.3497	241.718	44.0905	118.919
ENSG00000160789	356.50199999999995	536.303	230.36900000000003	329.349	424.56	463.615
ENSG00000160791	14.1861	30.1391	2.8546	1.0493299999999999	1.05013	0.0
ENSG00000160796	70.8157	57.7156	100.48899999999999	49.9324	39.35	128.589
ENSG00000160799	86.4678	42.8982	105.64	38.8323	36.5759	38.9492
ENSG00000160801	112.311	45.5657	3.9510099999999997	3475.79	2.32554	2022.19
ENSG00000160803	73.7232	73.3854	33.7158	92.2088	43.6589	67.6244
ENSG00000160808	37.0296	23.5342	4.13961	161.299	0.0	200.15900000000002
ENSG00000160813	76.3379	177.15400000000002	156.683	76.794	117.539	115.538
ENSG00000160818	6.67582	2.72752	16.7918	9.87604	7.412669999999999	6.01422
ENSG00000160838	0.0	3.50682	0.0	0.0	1.05895	0.0
ENSG00000160856	0.0	0.0	0.0	0.0	5.42002	0.0
ENSG00000160867	422.718	82.5525	0.668721	238.442	2.95204	137.719
ENSG00000160882	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000160883	9.17083	9.57541	1.02522	0.0	4.90295	0.0
ENSG00000160888	515.751	1493.48	274.998	509.83099999999996	622.819	762.263
ENSG00000160908	89.3028	91.2155	112.31200000000001	33.0281	49.5798	80.4525
ENSG00000160917	20.9518	29.5717	30.662	45.0845	45.1188	34.3189
ENSG00000160932	210.929	1311.42	64.589	854.727	386.95599999999996	454.407
ENSG00000160948	226.481	258.118	380.78	335.051	341.92400000000004	316.793
ENSG00000160949	20.0779	16.0062	14.2884	5.0711900000000005	13.4126	0.882345
ENSG00000160951	0.0	0.0	8.15601	71.954	6.00073	277.513
ENSG00000160953	54.4252	47.505	49.7806	53.9819	43.9509	55.7175
ENSG00000160959	37.4194	57.1301	104.029	39.3328	34.9891	47.905
ENSG00000160963	0.0	0.0	1.53611	1.12932	1.13018	2.7509
ENSG00000160972	292.08	272.217	297.41	458.126	88.5689	342.39099999999996
ENSG00000160973	0.0	1.6709200000000002	0.0	0.0	0.0	3.6843800000000004
ENSG00000160991	28.2252	51.8936	14.1991	15.6584	10.4469	76.2839
ENSG00000160993	59.4702	50.215	61.82899999999999	38.1241	51.36	25.0023
ENSG00000160994	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000160999	57.8493	37.4226	12.1257	39.2245	35.6858	39.0871
ENSG00000161010	6.13454	5.01275	6.17212	36.3011	81.7397	11.0532
ENSG00000161011	4339.1	883.2689999999999	598.432	634.773	229.082	480.478
ENSG00000161013	303.517	227.167	535.515	271.362	149.786	252.03799999999998
ENSG00000161016	6913.04	9905.31	9574.08	7956.58	10969.1	6620.28
ENSG00000161021	50.2497	85.4733	23.730999999999998	48.5473	153.344	75.7574
ENSG00000161031	2.4275700000000002	0.0	0.0	1.7956400000000001	203.062	0.0
