ENSEMBL ID	hM1	hM2	hM3	hM4	hM5	hM6
ENSG00000101138	37.7529	70.92	63.4664	107.773	21.1136	21.2857
ENSG00000101144	0.0	1.9827	0.856567	1.05454	0.0	0.0
ENSG00000101146	19.0091	18.8356	39.6698	37.5681	21.5891	21.5852
ENSG00000101150	93.6824	30.1689	104.26899999999999	85.5789	41.9141	46.0971
ENSG00000101152	55.0193	51.2891	76.5458	79.358	34.9805	39.1841
ENSG00000101158	87.221	105.725	128.164	141.0	84.1849	86.7999
ENSG00000101160	270.723	188.894	535.673	231.84900000000002	145.34799999999998	225.71900000000002
ENSG00000101161	212.888	158.813	205.153	224.692	136.317	185.8
ENSG00000101162	0.0	0.0	0.815681	1.00421	0.0	0.0
ENSG00000101166	77.9174	115.005	83.5606	244.673	47.9335	55.9122
ENSG00000101180	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000101181	47.2921	90.9549	107.831	139.504	81.1086	77.5681
ENSG00000101182	1369.8	954.475	904.577	2039.78	777.7189999999999	903.2919999999999
ENSG00000101187	0.0	1.0185799999999998	23.7626	107.26700000000001	93.3982	85.5995
ENSG00000101188	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000101189	40.0526	35.4703	36.2202	144.065	37.6316	59.1246
ENSG00000101190	20.1122	23.1315	49.9664	19.6848	19.2821	10.6032
ENSG00000101191	29.041	39.984	57.0918	52.6254	39.5443	35.7246
ENSG00000101193	65.1741	98.887	122.061	150.27200000000002	90.8423	107.926
ENSG00000101194	0.0	0.0	5.7764	13.0377	0.0	10.215
ENSG00000101197	0.0	0.0	0.0	0.0	0.0	4.0382
ENSG00000101198	0.0	0.0	0.0	2.37272	3.71869	0.0
ENSG00000101199	8.61952	24.288	46.9684	34.4484	17.3539	35.3441
ENSG00000101200	0.0	0.0	0.0	0.0	4.99582	0.0
ENSG00000101203	0.0	0.0	0.370015	0.0	0.0	0.654332
ENSG00000101204	0.0	0.0	3.08086	0.0	0.0	2.1792700000000003
ENSG00000101210	28947.9	17038.1	7984.46	12419.8	9164.06	12580.9
ENSG00000101213	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000101216	13.2107	18.2327	22.3179	30.7087	17.7316	16.2511
ENSG00000101220	107.258	52.9254	101.087	59.2624	13.932	59.5872
ENSG00000101222	0.0	0.0	1.8608200000000001	0.0	0.0	0.0
ENSG00000101224	17.4856	13.2493	44.361000000000004	18.4983	9.66393	17.714000000000002
ENSG00000101230	2.54566	2.04947	24.7916	2.18012	1.7084099999999998	1.56576
ENSG00000101236	0.0	0.0	19.6545	0.0	0.0	0.0
ENSG00000101246	40.3818	65.0216	56.1814	79.0474	50.3297	49.6754
ENSG00000101247	59.8553	53.0075	36.4324	41.0083	54.2287	36.8153
ENSG00000101251	3.11944	0.0	0.542493	0.0	0.0	0.959341
ENSG00000101255	3.46809	0.0	14.475	231.667	0.0	0.0
ENSG00000101265	4.18732	3.37115	29.1282	0.0	0.0	2.5755
ENSG00000101266	131.674	139.542	111.223	153.039	46.8887	89.2528
ENSG00000101276	1.8309799999999998	0.0	22.9262	3.13612	7.3727100000000005	2.25236
ENSG00000101280	0.0	1.6952099999999999	10.2531	0.0	0.0	0.0
ENSG00000101282	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000101290	21.4811	34.5883	72.4155	65.0956	31.0502	22.3595
ENSG00000101292	0.0	1.12372	0.0	0.0	0.0	0.0
ENSG00000101294	55.9251	40.0217	83.8576	78.76	31.6935	48.9215
ENSG00000101298	17.4775	11.7257	13.5087	7.4839199999999995	31.2782	22.6943
ENSG00000101306	2738.14	2452.48	1420.74	1104.97	2040.47	2250.87
