TNMD	27
SFXN3	142	
KAZALD1	43	
FGF8	1	
NPM3	22	
TNKS2	526	
PITX3	16	
GBF1	473	
ARHGAP21	460	
CPEB3	131	
FBXL15	34	
CUEDC2	149	
SUFU	78	
ANKRD26	67	
ACBD5	154	
LHPP	38	
LARP4B	342	
GTPBP4	512	
BCCIP	150	
MTPAP	69	
NEURL1	384	
PITRM1	443	
OBFC1	55	
MAP3K8	139	
DKK1	0	
EBF3	125	
GLRX3	111	
SORCS1	27	
FAM208B	134	
XPNPEP1	114	
SMC3	163	
SHOC2	236	
TFAM	97	
CCDC6	224	
CUL2	228	
CCNY	187	
UBE2S	50	
RPL28	671	
ZMIZ1	534	
DNAJC12	13	
PPIF	287	
PBLD	24	
TSPAN14	344	
LGI1	22	
TBC1D12	62	
CRYBA1	1	
NUFIP2	317	
GIT1	232	
RPL19	1759	
FBXL20	33	
RUNDC3A	6	
UBTF	377	
CSF3	167	
PSMD3	528	
CASC3	588	
RAPGEFL1	29	
RGS9	7	
RNF43	11	
WNT3	1	
ASPA	85	
RAD51C	41	
SEPT4	74	
MTMR4	116	
TRIM37	111	
P2RX1	168	
DHX40	110	
TUBD1	37	
KPNB1	742	
PNPO	90	
RPS6KB1	163	
TRIM16L	56	
CDK5RAP3	273	
CBX1	232	
RECQL5	97	
PIGL	55	
GALK1	23	
INTS2	38	
CAMTA2	334	
MED13	290	
HOXB6	33	
ENO3	10420	
PFN1	813	
RNF167	337	
SLC25A11	399	
RASD1	184	
CHRNE	10	
RAI1	117	
NUP88	149	
C1QBP	234	
SLC6A4	4	
BLMH	82	
CPD	216	
GOSR1	184	
CCDC47	333	
MED31	35	
DRG2	97	
FTSJ3	216	
AKAP10	67	
ALDH3A1	3	
SMARCD2	156	
ICAM2	86	
SYNGR2	457	
B9D1	5	
UTP6	129	
DDX5	3661	
C17orf75	36	
CYTH1	398	
PSMD11	298	
LGALS3BP	580	
ASIC2	0	
CCL7	1	
CCL2	551	
CCL8	40	
CCL1	0	
PEX12	44	
KRT32	0	
DHX58	67	
KAT2A	311	
RAB5C	103	
NAGLU	82	
HSD17B1	53	
MLX	256	
CNTNAP1	100	
ABI3	28	
EZH1	390	
DLX4	1	
COL1A1	1191	
SGCA	569	
PTGES3L-AARSD1	0	
MRPL27	114	
VAT1	492	
LRRC59	171	
RND2	5	
ALOX12	15	
HDAC5	649	
ABCC3	9	
LUC7L3	618	
PPY	0	
MPP2	10	
SMURF2	81	
DUSP3	1199	
CACNG1	261	
EFTUD2	246	
HLF	123	
SLC16A6	17	
PRKAR1A	861	
EFNB3	1	
FAM20A	27	
YWHAE	1781	
MMD	222	
RANGRF	34	
DPH1	134	
MAP2K6	47	
DHRS7B	110	
WSB1	930	
RCVRN	1	
MYH1	19605	
SLC9A3R1	79	
MYH3	167	
NAT9	77	
TMEM104	53	
VTN	3	
TNFAIP1	244	
IFT20	56	
CDR2L	42	
PMP22	527	
FOXN1	0	
UNC119	59	
ALDOC	121	
SUPT6H	505	
RAB34	92	
PHF12	182	
PHOX2B	0	
TMEM33	165	
GABRA4	1	
GNRHR	0	
SLAIN2	445	
OCIAD1	382	
CWH43	19	
DCUN1D4	131	
USP46	92	
SULT1E1	0	
ODAM	5	
SMR3A	0	
CHIC2	31	
NMU	0	
KIAA1211	1	
LAMTOR3	145	
PF4V1	0	
NFKB1	187	
AREG	1	
MANBA	99	
UBE2D3	1215	
MAPK10	42	
ELF2	183	
UCP1	1	
TBC1D9	134	
ZNF330	230	
INPP4B	119	
GAB1	175	
KLHL2	41	
IL2	0	
CPE	808	
RPL34	867	
ANXA10	1	
GRPEL1	152	
GAR1	39	
FRG1	51	
CLCN3	229	
AADAT	24	
GALNT7	46	
DHX15	314	
SOD3	611	
SEPSECS	33	
CPZ	0	
TRIM2	184	
SLC2A9	6	
FBXW7	172	
NEIL3	0	
TBC1D19	17	
CLNK	194	
WHSC1	187	
SH3D19	1276	
STIM2	98	
NKX3-2	1	
MFSD10	145	
GLRB	26	
BST1	33	
RAPGEF2	222	
HGFAC	2	
SNX25	69	
LRP2BP	31	
UFSP2	248	
KLF3	213	
KLHL5	82	
NCAPG	9	
UGDH	75	
PPARGC1A	251	
DDX25	2	
CRYAB	9393	
DBX1	0	
HTATIP2	72	
CTSC	212	
CCDC34	21	
ZBTB16	274	
ELP4	36	
MTCH2	248	
FNBP4	446	
TECTA	6	
SC5D	120	
CRTAM	1	
C11orf63	18	
B3GAT1	12	
HSPA8	8955	
P2RX3	0	
VWA5A	70	
DNAJC4	90	
SIAE	277	
SNX15	8	
LPXN	32	
DTX4	57	
ATG2A	200	
EHD1	374	
OSBP	504	
PUS3	32	
DCPS	73	
SUV420H1	184	
FOXRED1	117	
PPP6R3	410	
NRXN2	11	
MS4A6A	51	
MS4A4A	23	
ST3GAL4	50	
CPT1A	422	
CCND1	304	
CCDC86	59	
PRPF19	208	
TMEM109	487	
CCKBR	0	
HPX	1	
TRIM3	115	
CHORDC1	363	
FOLR1	0	
PANX1	64	
APOA5	0	
APOA4	0	
APOC3	0	
CEP164	94	
RNF141	298	
KIAA1377	48	
EIF4G2	3584	
IL10RA	65	
GALNT18	23	
BIRC2	248	
UBE4A	251	
DDX6	314	
UPK2	6	
CBL	101	
HIPK3	846	
KIAA1549L	13	
FBXO3	386	
PDHX	285	
SLC1A2	13	
COMMD9	128	
SLC15A3	76	
CD5	10	
ACCS	107	
SCGB2A2	0	
AMBRA1	126	
MADD	205	
PTPMT1	94	
NAA40	96	
CARS	141	
SLC22A18	39	
CD81	1434	
SLC35F2	7	
C11orf21	27	
ELMOD1	1	
CALCA	14	
SOX6	139	
PITPNM1	87	
AIP	133	
NUP98	389	
NDUFS8	349	
TCIRG1	276	
CHKA	95	
EXPH5	53	
HPS5	88	
GTF2H1	136	
POU2AF1	1	
PTPN5	9	
VWF	2215	
P3H3	33	
PPFIBP1	214	
PRPF40B	185	
CD69	26	
PRDM4	145	
CLEC2B	66	
COQ5	164	
SELPLG	87	
CORO1C	405	
ASIC1	16	
DAO	0	
CAPRIN2	111	
TSPAN11	25	
SLC11A2	174	
MLEC	687	
MVK	47	
CSRNP2	199	
CAMKK2	201	
BIN2	115	
IL23A	3	
ATP5B	4220	
PTGES3	1074	
SYT10	0	
BCL7A	80	
RSRC2	330	
CYP27B1	6	
MYF6	456	
MYF5	9	
LIN7A	129	
KRT18	125	
ACSS3	161	
TNS2	1005	
GLI1	24	
PPM1H	45	
METAP2	353	
LTA4H	216	
ELK3	157	
SLC6A12	3	
WNT5B	10	
MAGOHB	27	
TRPV4	17	
ITFG2	139	
PRMT8	1	
PARP11	29	
ARPC3	239	
GPN3	87	
VPS29	222	
FGF6	26	
RAD51AP1	1	
CUX2	3	
SH2B3	178	
AKAP3	4	
MANSC1	56	
KCNA1	3	
DUSP16	110	
CREBL2	219	
ACAD10	128	
ALDH2	874	
CDKN1B	282	
GPRC5D	1	
NAA25	113	
GSG1	3	
SCNN1A	653	
LTBR	200	
OGFOD2	2	
CDK2AP1	85	
OAS3	285	
OAS2	190	
ART4	7	
MGP	1541	
RASAL1	1	
ARHGDIB	307	
GTF2H3	70	
EIF2B1	171	
DDX55	57	
SLC38A1	291	
RERGL	131	
ENDOU	25	
FZD10	3	
RFC5	64	
STX2	79	
COPZ1	330	
TBC1D30	8	
CAND1	224	
IL26	1	
IFNG	3	
RAB5B	137	
MDM1	22	
NUP107	118	
CNOT2	176	
TIMELESS	27	
CPSF6	182	
KRR1	155	
MRPL51	231	
GAPDH	30345	
NOP2	114	
CHD4	636	
ACRBP	4	
UHRF1BP1L	87	
COPS7A	291	
ING4	74	
GNB3	12	
CDCA3	3	
CHPT1	121	
USP5	262	
TPI1	2084	
GNPTAB	161	
ATN1	907	
PTPN6	119	
LPCAT3	239	
NT5DC3	98	
APOBEC1	0	
NANOG	1	
SUDS3	178	
GOLT1B	140	
GYS2	7	
LDHB	1132	
PRKAB1	121	
CMAS	117	
HCFC2	56	
ST8SIA1	6	
CLEC4A	11	
C2CD5	143	
AICDA	1	
RAB35	169	
PHC1	285	
COX6A1	60	
RFX4	0	
RIC8B	109	
SRSF9	198	
FGFR1OP2	152	
KLRB1	4	
COL12A1	385	
TDP2	102	
FRK	76	
DSE	195	
RWDD1	243	
RSPH4A	4	
MAK	16	
TMEM14C	210	
PAK1IP1	47	
GCNT2	29	
SMIM8	9	
NEDD9	169	
CEP85L	81	
ADTRP	0	
ASF1A	76	
MCM9	41	
FAM184A	17	
RNGTT	50	
MAN1A1	225	
GABRR2	6	
SERINC1	1143	
HDDC2	198	
TPD52L1	177	
HINT3	442	
NCOA7	167	
FAM65B	169	
SASH1	254	
UST	60	
ULBP1	1	
FBXO5	23	
MTRF1L	218	
PPARD	162	
OPRM1	0	
FANCE	65	
TULP1	1	
SLC26A8	4	
MAPK14	267	
RHAG	1	
KCTD20	339	
STK38	153	
SRSF3	807	
SOD2	2569	
MRPL18	195	
IL17A	0	
IL17F	0	
MCM3	115	
RNF8	59	
MDGA1	51	
ICK	89	
FBXO9	265	
CD83	106	
MDN1	240	
GLP1R	1	
SAYSD1	32	
BMP5	34	
BACH2	30	
RBM24	907	
CAP2	1901	
TREML2	22	
ZNF451	118	
BAG2	167	
RAB23	63	
TSPO2	1	
FHL5	207	
GPR63	7	
KHDRBS2	1	
FBXL4	96	
CCNC	100	
PRDM13	0	
E2F3	59	
PTP4A1	1646	
SIM1	108	
ASCC3	65	
HDGFL1	0	
BVES	326	
COL9A1	0	
MED23	98	
WASF1	33	
GPLD1	53	
ALDH5A1	323	
AIM1	75	
VNN1	3	
VNN2	117	
ACOT13	110	
SMAP1	144	
RPS12	1241	
B3GAT2	107	
GMNN	18	
EYA4	121	
SOBP	137	
NR2E1	0	
SNX3	691	
SLC17A2	0	
HBS1L	338	
TRIM38	139	
PEX7	32	
ZBTB24	28	
FIG4	75	
PERP	87	
KIAA1244	44	
SLC16A10	90	
HECA	244	
GPR126	18	
PHACTR2	112	
EPM2A	321	
CCR6	1	
UNC93A	0	
SLC22A2	2	
QKI	1318	
C6orf118	0	
PDE10A	13	
MDFI	37	
TFEB	207	
SMOC2	372	
CCND3	108	
BYSL	37	
FAM120B	156	
TBP	40	
GUCA1B	6	
PRPH2	61	
GLTSCR1L	171	
PPP2R5D	237	
MRPL2	109	
PTK7	19	
SRF	579	
CUL9	133	
DUSP22	219	
EXOC2	97	
COX7A2	218	
TMEM30A	456	
GMDS	24	
SENP6	337	
IMPG1	0	
PRPF4B	261	
TTK	0	
SLC29A1	511	
WISP3	4	
BTN2A1	158	
LAMA4	623	
FAM46A	52	
CLIC5	667	
FBRSL1	313	
ENPP5	26	
LY86	3	
PRSS16	14	
MEP1A	0	
TBX18	71	
ERBB2IP	264	
PCDHB2	7	
HARS2	107	
NUDT12	76	
CEP72	22	
MAN2A1	187	
SEMA5A	39	
C7	290	
PAPD7	156	
GHR	443	
HMGCS1	143	
NME5	3	
BRD8	184	
KIF20A	2	
NNT	1174	
MRPS30	163	
HSPA9	1338	
MRPS27	250	
PFDN1	248	
HBEGF	344	
SLC4A9	14	
LOX	63	
GZMK	5	
CDH9	0	
APBB3	120	
TMCO6	38	
SPARC	2683	
HMGCR	78	
COL4A3BP	266	
FAF2	155	
HAND1	0	
PCDHB3	4	
PCDHB5	8	
PCDHB6	1	
PCDHB7	9	
PDE8B	14	
CLK4	144	
PCDHB15	14	
HAVCR1	1	
GRM6	3	
ITK	10	
RNF130	314	
THG1L	18	
ARSB	28	
THBS4	443	
CNOT6	70	
IL12B	2	
BTNL8	15	
TTC1	182	
MSH3	66	
RASGRF2	75	
CCNG1	406	
POLR3G	20	
DROSHA	167	
CDH6	58	
LMNB1	26	
ARRDC3	330	
GOLPH3	246	
SUB1	407	
NPR3	43	
FAM172A	61	
SLC27A6	9	
TARS	183	
IRX4	0	
LNPEP	184	
PDE4D	297	
RAD1	66	
BRIX1	33	
AGXT2	0	
PRLR	49	
SLC12A7	151	
IL4	0	
RAD50	159	
IL5	1	
ST8SIA4	34	
GNPDA1	94	
PCDH12	57	
NUP155	71	
PPP2CA	384	
FGF1	66	
NR3C1	589	
PPWD1	118	
LIFR	377	
TRIM23	88	
C9	3	
SEC24A	53	
TXNDC15	157	
TTC33	74	
RARS	154	
WWC1	23	
H2AFY	317	
TCERG1	175	
DPYSL3	1043	
CSNK1A1	201	
HMGXB3	130	
ERGIC1	643	
CDX1	0	
ATP6V0E1	362	
BNIP1	29	
STC2	20	
CPEB4	354	
HRH2	12	
DBN1	306	
ZNF346	47	
UNC5A	3	
EHHADH	32	
CNTN3	2	
SMC4	69	
SELK	176	
ACTR8	53	
TBCCD1	37	
TIMMDC1	267	
CRBN	248	
KNG1	95	
HRG	0	
BCL6	1130	
HGD	22	
CLDN16	0	
ARL6	41	
NPHP3	94	
CD86	10	
AMOTL2	387	
NIT2	152	
FAM162A	203	
OGG1	162	
KPNA1	475	
PCCB	254	
UBE3A	580	
ARMC8	203	
CEP70	72	
RBP2	1	
RBP1	13	
SLC25A36	334	
GRK7	1	
RNF7	225	
TFDP2	163	
XRN1	150	
KAT2B	327	
BCHE	21	
SERPINI2	1	
PDCD10	75	
LRRC31	1	
WNT5A	40	
PFKFB4	50	
COL7A1	91	
FGF12	19	
PRKAR2A	465	
HES1	229	
USP4	273	
ACAP2	123	
ECT2	31	
GNAT1	1	
GNAI2	933	
TFG	275	
USP9Y	0	
HYAL1	145	
TUSC2	126	
NPRL2	110	
RPL24	980	
FXR1	2082	
CBLB	115	
BBX	165	
IFT57	65	
GNB4	37	
HHLA2	2	
IQCG	18	
GBE1	316	
MORC1	0	
UMPS	35	
NCBP2	234	
SNX4	125	
C3orf52	3	
FRMD4B	54	
SLC41A3	227	
ROPN1B	0	
PLXNA1	324	
ATP6V1A	721	
ABTB1	363	
PODXL2	17	
CSPG5	7	
KLHL18	90	
SCAP	254	
EFCC1	7	
KIAA1257	2	
NEK11	17	
MRPL3	238	
PLSCR4	192	
HEMK1	115	
CISH	67	
MAPKAPK3	247	
ACVR2B	58	
WDR48	144	
COMMD2	80	
GORASP1	205	
PEX5L	12	
RRP9	55	
AADAC	0	
ABHD14B	151	
EIF1B	216	
ABHD14A-ACY1	1	
ARHGEF26	30	
KLHL24	409	
PLCH1	6	
DNAH1	80	
SSR3	295	
ZBTB47	748	
TNNC1	9616	
NKTR	445	
CLCN2	22	
FOXP1	288	
EIF4G1	2290	
SPCS1	193	
SLC4A3	46	
INO80D	108	
EEF1B2	1111	
ADAM23	41	
DGUOK	59	
KANSL3	439	
LMAN2L	69	
RTKN	56	
TTL	207	
IL1A	0	
CCL20	0	
PIKFYVE	128	
KCNIP3	24	
FAHD2A	73	
NCL	1219	
ACTR1B	292	
SLC35F5	154	
ZAP70	17	
ACTR3	401	
STEAP3	181	
EPB41L5	95	
TFCP2L1	582	
TP53I3	44	
DNAJC27	126	
POMC	9	
STAM2	90	
GPD2	204	
CENPA	1	
CYTIP	78	
ACVR1	129	
TANC1	119	
SLC30A3	1	
MPV17	81	
GTF3C2	131	
EIF2B4	148	
NRBP1	396	
ITGB6	284	
FNDC4	52	
ITGA4	14	
PSMD14	216	
SNX17	218	
PPM1G	245	
PDE1A	77	
PCSK4	15	
GCG	0	
APC2	17	
IFIH1	88	
RPS15	962	
GCA	127	
INO80B	26	
MOGS	130	
TTC31	88	
NDUFS7	546	
PCGF1	40	
GRB14	69	
CLIP4	311	
TLX2	4	
SPTBN1	2765	
AUP1	296	
RTN4	2561	
HTRA2	108	
LOXL3	61	
DOK1	49	
GALNT3	3	
POLE4	71	
TACR1	26	
CCDC88A	88	
ACADL	80	
MRPL19	120	
LANCL1	259	
WDR75	84	
EFEMP1	788	
REG1A	0	
FANCL	60	
FN1	1939	
STAT1	411	
GLS	385	
PAPOLG	71	
DNAH6	5	
PECR	55	
UNC50	93	
IGFBP2	56	
ELMOD3	154	
IGFBP5	6049	
USP34	466	
EFHD1	378	
KCNJ13	7	
CCT4	408	
GGCX	468	
NEU2	0	
EHBP1	183	
OTX1	0	
TXNDC9	63	
COQ10B	131	
GNLY	15	
SF3B1	1123	
ST3GAL5	67	
CHST10	27	
HSPE1	198	
KDM3A	242	
PLCD4	693	
ZNF142	134	
IL1R2	25	
PRKAG3	193	
SMYD1	1986	
IL1R1	322	
IL1RL2	4	
IL18R1	9	
IL18RAP	9	
SLC9A2	60	
FHL2	199	
MLPH	58	
CNPPD1	256	
UXS1	113	
ABCB6	14	
STK16	116	
SLC5A7	5	
HDLBP	2570	
PPP1R7	163	
PASK	33	
STK25	698	
PROC	0	
ID2	147	
TAF1B	23	
HPCAL1	119	
ODC1	330	
BIRC6	276	
NOL10	75	
PLEKHB2	383	
GORASP2	220	
STRN	132	
CEBPZ	222	
PRKD3	169	
DCAF17	39	
QPCT	25	
RAB3GAP1	323	
SLC25A12	493	
RMDN2	12	
DLX2	0	
LCT	0	
DARS	260	
SRSF7	380	
PLCL1	168	
SLC1A4	211	
SOS1	219	
KYNU	9	
WIPF1	220	
ORC2	73	
COX7A2L	177	
PNO1	52	
ORC4	171	
PLEK	130	
RND3	178	
ATF2	151	
THADA	79	
AAK1	51	
TRAK2	242	
TIA1	189	
PCYOX1	781	
KISS1R	1	
EPAS1	2291	
ARID3A	49	
SUMO1	276	
CD207	2	
GRIN3B	27	
VAX2	1	
ATP6V1B1	276	
NFE2L2	569	
MSH6	221	
PLEKHA3	74	
SPR	130	
EPHA4	47	
PARD3B	101	
FARSB	143	
ALMS1	48	
BCL9	81	
PRRX1	525	
DHCR24	680	
DNAJC16	96	
MARK1	68	
TNR	1	
MORN1	18	
GPX7	19	
CACYBP	370	
SCP2	478	
PAPPA2	36	
RALGPS2	28	
ANGPTL1	225	
CEP104	135	
FAM20B	331	
TCEANC2	34	
TMEM59	529	
LRRC42	53	
WRAP73	60	
NPHS2	0	
MRPL37	264	
ICMT	507	
RPL22	1325	
CHD5	3	
QSOX1	288	
STXBP3	124	
PHF13	102	
ERRFI1	176	
PARK7	642	
KIAA1324	9	
OPRD1	0	
AMPD2	136	
SRSF4	399	
MECR	80	
KCNC4	51	
EDEM3	130	
WDR77	80	
ATP5F1	475	
RAP1A	344	
HDAC1	145	
CAPZA1	252	
S100PBP	78	
RNF19B	123	
TRIM62	23	
ASH1L	371	
DLGAP3	3	
SFPQ	937	
RHOU	152	
GON4L	186	
ARHGEF2	293	
LAMTOR2	66	
MEF2D	1084	
DOCK7	71	
SRM	163	
FBXO2	42	
FBXO6	57	
SWT1	29	
MAD2L2	62	
DNAJC6	21	
LEPR	143	
IVNS1ABP	374	
KIAA2013	205	
MFN2	1576	
SMG7	318	
NCF2	213	
PDC	1	
SLC35D1	78	
PLA2G4A	21	
GADD45A	115	
PRAMEF1	0	
PRAMEF12	0	
WLS	246	
PRDM2	226	
RGS2	788	
RPE65	0	
TROVE2	144	
AMPD1	1420	
UCHL5	159	
BCAS2	177	
SRSF11	558	
CTH	34	
AGMAT	44	
OLFML3	110	
TNNI3K	0	
CFHR3	0	
PLEKHM2	691	
CRYZ	113	
PHTF1	33	
ZBTB17	100	
CD58	45	
TFAP2E	3	
CD2	6	
TTF2	51	
NR5A2	14	
KIF21B	49	
TMEM9	123	
ADPRHL2	89	
MAP7D1	1054	
WARS2	45	
HAO2	0	
OSCP1	5	
MRPS15	285	
EXOC8	61	
GNPAT	321	
TSNAX	139	
RRAGC	145	
TBCE	132	
NID1	322	
LGALS8	169	
NT5C1A	65	
HPCAL4	6	
MTR	293	
BMP8B	35	
MYCL	6	
SIPA1L2	107	
ZP4	0	
RLF	131	
KMO	16	
ZNF684	20	
KCNQ4	60	
RIMS3	36	
AKT3	126	
ETV3	206	
ACADM	646	
SLAMF1	3	
CD48	17	
LPHN2	133	
PADI2	1028	
SDHB	483	
MFAP2	22	
RPF1	86	
KDM5B	84	
UAP1	225	
ACTL8	0	
CTBS	56	
RGS4	17	
KLHL12	98	
IGSF21	4	
SSX2IP	26	
ZNHIT6	66	
PLA2G2D	1	
RBBP5	78	
GBP3	27	
GBP1	263	
KIF17	8	
CD160	15	
ECE1	602	
HMGCL	151	
GALE	27	
ID3	194	
CR2	0	
CD46	740	
PRPF3	185	
APH1A	230	
SLC2A1	84	
EBNA1BP2	101	
CDC20	1	
ARTN	16	
IPO13	569	
ATP6V0B	314	
B4GALT2	202	
ERI3	167	
PTCH2	70	
AKR1A1	117	
PRDX1	700	
PIK3R3	146	
TSPAN1	23	
BLZF1	84	
SLC19A2	287	
FAAH	59	
NSUN4	64	
TMED5	412	
MROH9	0	
DR1	206	
FMO6P	3	
CNN3	501	
PRRC2C	432	
F3	131	
ABCD3	180	
VAMP4	94	
DPH5	51	
FASLG	3	
PTBP2	113	
TNFSF4	4	
DARS2	49	
HSD11B1	13	
IRF6	49	
DIEXF	52	
SERPINC1	2	
RCAN3	36	
SYF2	172	
SLC35A3	70	
RCOR3	380	
STMN1	91	
MAN1C1	91	
NEK2	0	
RPS6KA1	79	
DHDDS	114	
NENF	174	
NSL1	70	
PROX1	67	
ARID1A	367	
CENPF	5	
RPA2	153	
PPP1R8	109	
STX12	186	
SLC5A9	7	
OSBPL9	430	
TXNDC12	101	
CD3EAP	60	
MESDC2	98	
RCN2	179	
CHRNB4	0	
MUC5B	0	
COLEC11	4	
STAG1	205	
A4GNT	0	
STK11	416	
TREH	135	
IFT46	67	
MMP8	0	
APOA1	1	
ZNF541	11	
SLC8A2	1	
KPTN	19	
RPS25	1365	
KIF14	0	
TNNT2	15	
DDX59	130	
ATF6	154	
CRYGD	0	
MREG	11	
TNP1	0	
FASTKD2	118	
NRP2	92	
CREB1	119	
KLF7	172	
TTR	1	
B4GALT6	35	
CA14	11	
CASC1	2	
LRMP	34	
ATP10B	3	
SPCS2	84	
ELOVL4	11	
FILIP1	418	
HMGN3	180	
CNR1	23	
SPACA1	0	
ANKRD13C	67	
SGIP1	35	
PHF3	252	
ZC2HC1B	2	
ADGB	0	
PLAGL1	159	
FBXO30	124	
TNFAIP3	203	
AKAP7	88	
RAB32	51	
MYB	1	
ALDH8A1	9	
SGK1	239	
RNF146	341	
ARG1	0	
CTGF	678	
TCF21	2	
PMFBP1	36	
FBXL5	584	
MED28	214	
SLC16A7	33	
TMEM5	46	
ZNF430	20	
VAMP8	51	
DCLRE1B	15	
MYL12B	747	
FOXO3	493	
ARMC2	15	
GHRH	0	
RPN2	468	
TGIF2	44	
CASQ2	926	
OLFM3	0	
PKD2	208	
ABCG2	9	
SPP1	28	
CCNI	1687	
RARRES1	5	
MFSD1	154	
RAB3GAP2	126	
PPL	286	
UBN1	293	
KLF12	84	
UCHL3	10	
PCDH17	14	
HS1BP3	83	
WDR35	51	
CCND2	192	
FGF23	0	
ELL2	172	
DNAH7	1	
CYP20A1	34	
NDUFB3	261	
GTF3C3	128	
SATB2	16	
UBE2B	504	
TRPM6	9	
GDA	18	
KLF9	676	
TJP2	266	
ITGB1BP1	331	
CPSF3	78	
SENP5	139	
CCDC92	203	
C1orf198	344	
TRIM67	0	
HEATR1	114	
PTBP3	179	
RAD23B	1148	
FKBP15	207	
CTNNAL1	110	
FAM206A	62	
WDR34	51	
SET	755	
PPP2R4	522	
GLE1	88	
RAB14	349	
TRIM32	109	
FBXW2	291	
NEK6	83	
BSPRY	14	
PPP6C	475	
NDUFA8	242	
HDHD3	41	
RBM18	194	
SLC46A2	3	
HSDL2	755	
MAPKAP1	378	
NR4A3	807	
INVS	40	
GALNT12	8	
DENND1A	123	
ALG2	78	
CSF3R	1168	
KDSR	195	
VPS4B	130	
ONECUT2	59	
C19orf25	59	
ZBTB45	50	
YLPM1	287	
DCAF4	34	
PROX2	6	
VSX2	1	
FCF1	120	
PGF	42	
IFI27L2	21	
CCDC176	35	
NEK9	475	
ACYP1	25	
IFT43	31	
NPC2	192	
DNAL1	48	
IRF2BPL	247	
ACOT2	146	
LTBP2	756	
AREL1	137	
MLH3	75	
TTLL5	53	
FLVCR2	13	
ABCD4	130	
DLST	643	
PPP4R4	0	
TGFB3	170	
ZC2HC1C	10	
SLIRP	128	
RBM25	328	
ALDH6A1	307	
GPR68	21	
ESRRB	18	
EIF2B2	108	
NRDE2	47	
COQ6	151	
ZNF410	4	
GPR75	5	
SUPT7L	196	
KLHL29	60	
DNMT3A	134	
TMEM214	203	
ATAD2B	43	
FKBP1B	2	
ATL2	229	
YPEL5	419	
FAM98A	248	
YIPF4	216	
AFTPH	119	
LGALSL	363	
CNRIP1	95	
BCL11A	4	
CRIPT	49	
EPCAM	49	
SLC17A5	53	
OGFRL1	157	
FAM178A	178	
IDE	255	
TECTB	0	
ELOVL3	3	
IFIT3	342	
NKX2-3	0	
IFIT2	352	
GPAM	642	
CUTC	766	
PPP1R3C	2658	
PYROXD2	51	
CNNM1	0	
MXI1	231	
SMNDC1	141	
HELLS	7	
PRLHR	0	
TCTN3	83	
FAM45A	75	
AVPI1	49	
WDR11	141	
KCNIP2	236	
CFAP58	11	
GOT1	739	
GNA13	246	
KANSL1	235	
HOXB5	9	
CRHR1	4	
HOXB3	125	
HOXB1	0	
DUSP1	2944	
PANK3	158	
MSX2	6	
TEK	191	
CAAP1	63	
EQTN	0	
MOB3B	45	
INSL6	0	
INSL4	0	
MLANA	2	
CD274	30	
IFNA6	0	
IFNA8	0	
GRIA2	8	
NUP43	113	
MTHFD1L	21	
LRP11	133	
CCDC170	7	
PCMT1	452	
PLEKHG1	67	
MYCT1	94	
CXorf21	8	
CYSTM1	379	
WDR55	136	
ARAP3	188	
PCDHB8	0	
PCDHB10	5	
PCDHB14	16	
PCDHB12	5	
TNN	16	
MRPS14	70	
CENPL	16	
TNFSF18	0	
GORAB	32	
GPR31	0	
ACAT2	109	
TCP1	986	
TTLL2	0	
SNX19	434	
KCNJ5	3	
MSANTD2	56	
TP53AIP1	0	
TEX11	0	
ARR3	2	
PDZD11	50	
SLC10A7	14	
NUDCD1	45	
ENY2	180	
MASTL	17	
KIAA1217	427	
LYZL1	0	
PLXDC2	198	
EPC1	155	
CCDC77	23	
TAF12	63	
ENOX1	14	
TNFSF11	0	
MTRF1	24	
DNAJC15	112	
PROSER1	131	
UFM1	206	
WBP4	179	
ELF1	193	
SMAD9	121	
HSPH1	1908	
KBTBD7	35	
ALG5	51	
EXOSC8	82	
ETF1	549	
TGFBI	487	
FAM53C	655	
SIL1	100	
PAIP2	460	
MYOT	6094	
KDM3B	419	
SERP1	368	
PLS1	5	
ZFP30	38	
NR2C1	156	
UTP20	68	
TMPO	126	
ARL1	360	
GLT8D2	47	
SOCS2	80	
CCDC53	63	
APAF1	71	
DUSP4	22	
CLU	2482	
TNFRSF10B	247	
SORBS3	669	
PTK2B	155	
CHRNA2	0	
ADRA1A	8	
PPP3CC	182	
PDLIM2	110	
EPHX2	100	
RNF170	99	
NPPB	0	
UBIAD1	78	
TARDBP	561	
TNFRSF8	13	
PRAMEF2	0	
ZNF706	237	
CRISPLD1	20	
COPS5	161	
RDH10	122	
EPX	0	
AKAP1	881	
COIL	51	
TRIM25	285	
SCPEP1	179	
SPOP	217	
TBX2	167	
SLC35B1	107	
TBX4	1	
TEX14	5	
FAM117A	72	
NCAPH	2	
LRAT	0	
KIAA0922	248	
MND1	2	
TRIM6	5	
ABCC11	9	
PAPD5	61	
ADCY7	103	
CEP89	55	
TSHZ3	40	
ECHDC2	533	
PLBD1	117	
PYROXD1	120	
IAPP	0	
KCNJ8	64	
BCL2L14	1	
PSPC1	120	
ZNF549	49	
A1BG	1	
ZSCAN18	216	
ZNF211	42	
PDZRN3	314	
LHX4	8	
RNF2	49	
TRMT1L	148	
SEC22A	27	
CSTA	21	
DPPA4	0	
POPDC2	159	
B4GALT4	45	
NAA50	893	
CD80	2	
KIF18A	4	
GJA8	0	
DESI2	169	
MAPK8IP1	95	
