TNMD	27
OTC	3	
CYP46A1	6	
ZZZ3	138	
SLC18A1	0	
USP2	655	
CASR	1	
TUBG2	83	
FLT4	84	
NSUN2	200	
FBXO42	162	
MFAP3	90	
MRI1	73	
METTL1	24	
HOXC8	63	
AGA	34	
BOD1L1	210	
MAT2B	212	
TLL1	13	
EDC4	132	
TRIO	317	
VCAN	216	
CLEC16A	129	
MSR1	23	
CDH1	191	
SKIV2L2	348	
DNAH5	1	
ZFYVE16	142	
FAM65A	456	
C6	51	
RAI14	73	
SOX30	0	
PNKP	87	
BEST2	1	
PHLPP2	58	
SPDL1	18	
PQLC2	42	
CTNS	88	
RTN4R	8	
PHF23	84	
CDH10	0	
INPP4A	131	
RAB27B	2	
PSMA4	272	
MYO16	7	
LSG1	158	
PARP3	119	
TNC	744	
THAP3	137	
FAM65C	52	
TDP1	17	
AIFM2	138	
C2orf83	0	
SPATA7	48	
MED17	51	
RETSAT	390	
CAPG	73	
AP2S1	107	
USH2A	2	
ZPBP	0	
TG	4	
ADAM28	15	
BARX2	1	
DCUN1D1	157	
JADE2	158	
ZIC2	1	
LCP2	119	
TRIT1	47	
ADRB1	13	
GUCA2B	0	
CUL7	178	
CTNNA1	909	
PHKA2	173	
CNTLN	44	
EPHA3	57	
HSPA5	833	
DSG2	289	
GEMIN8	31	
OFD1	117	
GPM6B	96	
MAGEC2	0	
PREX2	76	
WDR37	128	
YTHDC2	160	
CTPS2	59	
ATP6V1H	176	
POLR2B	563	
FAM214A	226	
ARAP2	11	
TPR	382	
CP	39	
KIAA0556	62	
XK	35	
ANO2	24	
SCML1	124	
WWC3	166	
ARHGAP6	132	
FAM184B	75	
MAP4	5112	
GOPC	136	
ROS1	23	
USP28	346	
HDAC9	108	
TSPAN17	156	
NOP16	239	
CC2D2A	59	
RRM2B	233	
ZNF800	62	
TNFRSF17	1	
SNX29	112	
LMO3	54	
MRPS10	228	
GUCA1A	0	
RSF1	135	
VPS13D	390	
CELF2	316	
FAM120A	706	
R3HDM1	120	
KITLG	112	
ERCC8	23	
ADAMTS6	11	
H6PD	502	
VAMP3	476	
PER3	332	
UTS2	79	
TNFRSF9	1	
LTBP1	424	
RCN1	209	
ELN	686	
RFC2	46	
ARID1B	318	
CLPTM1L	169	
NEDD4L	406	
HEXB	242	
PTCD2	47	
JKAMP	101	
DKK3	236	
ARHGEF5	9	
NFE2L3	56	
MCUR1	121	
LIMA1	618	
LETMD1	149	
SLC4A8	3	
LAMC3	1	
PTGER3	367	
TNIP3	0	
MAPK9	252	
COL23A1	18	
BCAR1	357	
FAM160A2	140	
HERPUD1	496	
HOMER3	148	
RAD51	7	
POLQ	1	
PIK3CB	129	
CYBA	163	
THOC3	19	
HEBP2	418	
MPHOSPH9	47	
PRSS8	61	
SIKE1	108	
RRP12	163	
FNIP2	186	
MSMO1	79	
TTC17	272	
ALX4	5	
FSTL4	2	
FOXN3	755	
METTL24	2	
AKR7A2	136	
MRTO4	81	
NNAT	31	
USE1	50	
MCF2L2	77	
NRIP2	96	
LAMA3	134	
AP5M1	126	
ANAPC4	117	
TRAPPC3	96	
THRAP3	676	
PHPT1	271	
ENTPD2	40	
ARID4B	134	
OPN3	19	
SDCCAG8	79	
PTPRN	3	
HHAT	10	
KIF1B	1774	
TBC1D22A	96	
SYNE2	1072	
PLEKHH1	69	
ATP9A	438	
SPO11	0	
CBLN4	7	
CHRDL2	22	
FAM168A	321	
RELT	117	
GALC	96	
NOP58	226	
KCNH2	15	
CUL1	379	
FAM114A2	93	
CYFIP2	181	
TAB2	543	
GINM1	205	
EIF2AK2	244	
USP36	193	
KMT2C	472	
MCOLN3	17	
CCDC85A	25	
PUM2	306	
MRPL43	140	
ITIH4	7	
ITIH1	4	
ZFR	350	
NPFFR2	2	
PHF21B	0	
TRAF1	60	
RC3H2	165	
IL17RB	17	
TRAF3IP2	43	
GYG2	320	
DCBLD2	108	
SERPINB3	1	
SOAT1	100	
PKP2	25	
MSH4	6	
F7	4	
GDI2	535	
PRDM1	15	
ATG5	105	
TMCC3	153	
PITHD1	200	
MTA3	91	
USP13	1577	
ATP11B	145	
LAMC2	13	
CDK14	88	
SEC61A1	576	
PPP1R12A	371	
RASGRF1	2	
CROCC	122	
POLR3E	221	
ATP2B4	746	
ZC3H11A	640	
RIOK2	82	
YIPF1	81	
DGKG	43	
FLYWCH1	420	
UNKL	142	
TBXAS1	40	
PARP12	110	
ALDH18A1	73	
TARBP1	163	
MXD1	445	
CDK17	115	
DNAJC25	45	
SLC2A3	896	
PSD	18	
CTDP1	63	
YBX3	8175	
STYK1	3	
WNK1	1427	
CCAR1	155	
OGFR	114	
CREB3L3	0	
PTPRU	147	
SNRNP40	80	
COL11A1	1	
QSER1	95	
ACAA1	171	
BCAT1	19	
HDAC7	384	
LZTS1	20	
PRDM6	23	
WNT8A	0	
SPAG4	15	
NCKAP1	743	
MRPS35	238	
GUCY1B3	105	
SFSWAP	179	
MON2	217	
CDH3	14	
ARSF	0	
GPBP1	404	
DGAT2	493	
ZNF112	13	
CS	1625	
LTK	11	
MRPS24	2	
ELMO2	218	
WAPAL	203	
VMP1	399	
APPBP2	153	
POLD1	49	
SEZ6	0	
SLC6A16	39	
GLTSCR1	72	
SPHK2	66	
RPL18	956	
CA11	32	
ISOC2	145	
U2AF2	299	
EPN1	480	
MED29	212	
MTMR1	119	
ADCK1	60	
HAGH	237	
RNF4	179	
CASP8	89	
LIMCH1	1560	
ASUN	70	
TM7SF3	125	
DLX3	0	
SPA17	8	
WISP2	173	
DMRT3	11	
ST3GAL6	124	
ATP2C2	43	
NGFR	68	
CDON	67	
TAF2	84	
HIPK2	549	
TNPO3	197	
RFXANK	68	
TMEM161A	82	
LPAR2	66	
SUGP2	510	
SLC12A2	91	
SNX24	75	
EYA2	21	
SNCAIP	24	
DDX20	53	
BTBD1	1086	
FAR2	40	
BCAS1	13	
POU1F1	1	
CHI3L2	3	
SBNO2	309	
PMS1	67	
HMG20B	176	
CALCRL	116	
TAF11	74	
ANKS1A	159	
AP3D1	520	
ZNF76	223	
SLC9A3R2	334	
NTHL1	27	
UHRF1BP1	205	
GNAI3	173	
IPO5	854	
OAT	261	
WDR3	82	
PKN2	167	
WDR18	68	
TRAM2	176	
NTN1	84	
GLP2R	5	
MCM10	5	
DGKA	40	
ROPN1	2	
ANKRD44	30	
KARS	625	
ADAT1	41	
PDIA5	53	
TBC1D22B	55	
NDUFB4	428	
SPEN	468	
MYLK	896	
ZC3H15	230	
MAP2K4	128	
TMEM206	5	
SLK	288	
CYB5R4	65	
COL17A1	1	
GSTO2	24	
SEC61A2	50	
PRKCQ	381	
TLE2	296	
ASB1	219	
FAM107B	256	
ME1	197	
TBC1D1	579	
CDK13	209	
MTHFD2	180	
SLC9A7	18	
FOXJ2	310	
YBX1	2336	
PDE4A	215	
PPP2R5A	499	
ELAVL1	187	
TIE1	180	
DIP2B	104	
SMARCD1	146	
KDM4A	124	
NFYC	256	
ZMYND12	4	
SLC9A3	14	
NGEF	6	
ASPM	3	
CD84	17	
ELOVL1	143	
SPI1	155	
MPPED2	50	
CLDN18	1	
ZBTB11	123	
ATXN3	42	
GOLGA5	111	
FGFR2	43	
LRRC40	53	
ISOC1	56	
EML1	206	
TRMT11	36	
THUMPD1	173	
KIF26A	80	
ATG2B	163	
ARFGEF1	185	
ACSM2B	1	
ZFAT	32	
MTFR1	102	
STAG3	208	
FECH	182	
MYO9A	153	
DDX3Y	0	
PFKP	168	
IDI1	461	
SP100	183	
KLF6	908	
PPAP2A	372	
NEO1	316	
TRAM1	472	
PHKA1	399	
TNFRSF1A	439	
CACNB1	655	
EVI5	72	
STOML1	59	
PKM	5608	
DHX29	162	
DNTTIP2	242	
METTL22	100	
TP53BP1	149	
RRP15	114	
RHOA	1713	
DHX8	124	
ZFY	0	
IARS2	448	
SYT1	18	
NAV3	32	
IDH3G	221	
ROGDI	116	
PDZD4	83	
ATP2B3	1	
ROCK1	298	
CBFB	112	
PDK3	28	
HYAL2	90	
HDAC4	309	
RASSF1	150	
FGFR3	16	
IFI35	76	
HEATR6	61	
COASY	124	
PLEKHH3	172	
MEF2A	640	
OTUD5	256	
TFE3	349	
ACSL4	135	
INPP5A	329	
PRR11	3	
REEP1	102	
ATP11A	203	
POLR1A	172	
LAPTM4A	759	
TTC7A	122	
IP6K2	241	
SRBD1	33	
KIF2A	33	
RASGRP2	165	
PSME4	313	
IFT80	42	
SIRT2	894	
ERLEC1	206	
PPP2R5B	113	
PYGM	14749	
PAGE1	0	
PITX1	179	
TRPC7	0	
MAST4	153	
GPR116	571	
SDK2	7	
ADAM7	1	
NUP133	155	
NUCKS1	1197	
VPS35	301	
DNAJA2	406	
BCL3	335	
ABCC9	387	
GAL	0	
CLEC2D	27	
FUNDC1	26	
MAOB	621	
RORA	289	
DRD4	12	
TGFBR3	268	
KIAA1107	14	
PLA2G10	1	
HES2	0	
ATP1B3	396	
NEDD4	350	
PIGB	64	
MAPK6	174	
GNB5	41	
RAB27A	100	
CECR5	105	
UFD1L	149	
LRP6	124	
GUCY2C	6	
SCT	7	
PHRF1	221	
IKBKAP	240	
NUCB2	115	
PFN2	701	
PTPN3	477	
SPTB	1796	
DAPP1	50	
FGF10	6	
SLC44A1	181	
TMEM260	77	
SMG6	199	
EXOC5	179	
CLTCL1	492	
FGF22	1	
FSTL3	212	
DGCR2	356	
RNF126	149	
MNT	128	
ZXDC	185	
JMJD6	294	
POLB	122	
ST6GALNAC1	7	
WIPI1	218	
FRMPD1	23	
GBA2	539	
NDST1	497	
ASNS	53	
AP3M2	68	
CNGB1	0	
ST6GALNAC2	202	
CHAT	0	
TESK2	39	
CSNK2A2	187	
PTPN21	209	
EIF2B3	179	
CAMK2A	839	
TCOF1	150	
CDC42	715	
OSBPL3	95	
EPHA8	0	
SLC12A3	0	
RAD18	22	
ATP2B1	196	
TRPM5	1	
NCK2	190	
MAP4K4	331	
MGAT4A	50	
RPL31	1154	
WDR1	964	
SNX13	237	
MS4A12	0	
ARHGAP10	217	
RPS6KA2	262	
ING3	54	
VASH1	126	
LMCD1	1409	
WBSCR22	221	
SEL1L	251	
TRIP13	3	
ATP6AP1	401	
TCF3	121	
TRIB2	110	
DAZAP1	344	
MBD3	218	
HLTF	149	
FAM50A	190	
FAM3A	136	
MYO3B	10	
CYBRD1	1023	
CDH19	37	
PDCD2	107	
SLC6A15	2	
RDH11	127	
PRKACA	751	
LPHN1	116	
SPP2	2	
ACTN1	892	
ZFYVE26	178	
RPS6KA6	2	
EPN2	228	
PTPN18	140	
LIMS2	475	
ASIC4	1	
SPEG	3061	
LNX1	50	
ALDH3A2	359	
TFRC	505	
TRPC5	0	
AFF4	319	
UBE2D1	441	
MPP5	129	
RHOBTB1	878	
SMC1A	382	
HSD17B10	115	
HMMR	3	
CHFR	75	
TRHDE	15	
P4HA2	80	
FCGR2B	28	
NFATC3	191	
TRNT1	77	
ACADVL	2905	
STK10	156	
FBXW11	249	
ACAP1	55	
CRMP1	34	
EVC	111	
DERL2	80	
SIDT1	11	
NDE1	880	
MRVI1	395	
TMEM38A	927	
AP1M1	152	
PVR	132	
XRCC1	65	
SCARB1	189	
CYP2W1	0	
MCM2	39	
PANX2	18	
TP63	175	
ALPK1	72	
LLGL2	74	
PDE8A	153	
CLCN4	325	
NLE1	34	
SDHA	1012	
