BCL2L15	3
BCL2L2	234
BCL3	335
BCL6	1130
BCL6B	101
BCL7A	80
BCL7B	252
BCL7C	110
BCL9	81
BCL9L	528
BCLAF1	658
BCO1	0
BCO2	33
BCOR	198
BCR	290
BCS1L	95
BDH1	111
BDH2	58
BDKRB1	8
BDKRB2	65
BDNF	19
BDP1	122
BEAN1	5
BECN1	312
BEGAIN	11
BEND2	1
BEND3	12
BEND4	0
BEND5	17
BEND6	6
BEND7	100
BEST1	4837
BEST2	1
BEST3	85
BEST4	0
BET1	53
BET1L	85
BEX1	4
BEX2	10
BEX4	60
BEX5	5
BFAR	183
BFSP1	6
BFSP2	0
BGLAP	1
BGN	1198
BHLHA15	0
BHLHA9	0
BHLHB9	31
BHLHE23	0
BHLHE40	1242
BHLHE41	413
BHMG1	1
BHMT	1
BHMT2	110
BICC1	53
BICD1	77
BICD2	269
BID	70
BIK	3
BIN1	3791
BIN2	115
BIN3	58
BIRC2	248
BIRC3	45
BIRC5	2
BIRC6	276
BIRC7	1
BIVM-ERCC5	0
BLACE	1
BLCAP	725
BLK	1
BLM	1
BLMH	82
BLNK	11
BLOC1S2	87
BLOC1S3	27
BLOC1S5	31
BLOC1S6	249
BLVRB	242
BLZF1	84
BMF	50
BMP1	95
BMP10	0
BMP15	0
BMP2	41
BMP2K	93
BMP3	9
BMP4	28
BMP5	34
BMP6	45
BMP7	6
BMP8A	8
BMP8B	35
BMPER	32
BMPR1A	215
BMPR1B	18
BMPR2	266
BMS1	173
BMX	42
BNC1	1
BNC2	110
BNIP1	29
BNIP2	298
BNIP3	325
BNIP3L	287
BNIPL	6
BOC	174
BOD1	167
BOD1L1	210
BOD1L2	0
BOK	256
BOLA1	34
BOLA3	68
BOLL	26
BOP1	0
BORA	24
BPGM	139
BPHL	67
BPI	2
BPIFA1	0
BPIFA2	0
BPIFA3	0
BPIFB1	1
BPIFB2	0
BPIFB3	0
BPIFB4	0
BPIFB6	0
BPIFC	0
BPNT1	54
BPTF	223
BPY2	0
BRAF	146
BRAP	118
BRAT1	146
BRCA1	26
BRCA2	3
BRD1	180
BRD2	0
BRD3	254
BRD4	406
BRD7	334
BRD8	184
BRD9	107
BRDT	0
BRF1	165
BRF2	166
BRI3	232
BRI3BP	63
