ENSG00000083799	LRG_491
ENSG00000100697	LRG_492
ENSG00000182197	LRG_493
ENSG00000151348	LRG_494
ENSG00000187741	LRG_495
ENSG00000181544	LRG_496
ENSG00000158169	LRG_497
ENSG00000112039	LRG_498
ENSG00000221829	LRG_499
ENSG00000109861	LRG_50
ENSG00000140525	LRG_500
ENSG00000115392	LRG_501
ENSG00000187790	LRG_502
ENSG00000188827	LRG_503
ENSG00000091483	LRG_504
ENSG00000147257	LRG_505
ENSG00000134371	LRG_507
ENSG00000133895	LRG_509
ENSG00000121966	LRG_51
ENSG00000186575	LRG_511
ENSG00000165671	LRG_512
ENSG00000109132	LRG_513
ENSG00000108946	LRG_514
ENSG00000139687	LRG_517
ENSG00000165731	LRG_518
ENSG00000167985	LRG_519
ENSG00000051523	LRG_52
ENSG00000275837	LRG_520
ENSG00000107882	LRG_521
ENSG00000135100	LRG_522
ENSG00000165409	LRG_523
ENSG00000165392	LRG_524
ENSG00000184937	LRG_525
ENSG00000166037	LRG_526
ENSG00000183161	LRG_527
ENSG00000135956	LRG_528
ENSG00000163930	LRG_529
ENSG00000165168	LRG_53
ENSG00000125952	LRG_530
ENSG00000106462	LRG_531
ENSG00000129667	LRG_532
ENSG00000144535	LRG_534
ENSG00000101109	LRG_535
ENSG00000170820	LRG_536
ENSG00000145020	LRG_537
ENSG00000139330	LRG_538
ENSG00000074582	LRG_539
ENSG00000152457	LRG_54
ENSG00000107611	LRG_540
ENSG00000140905	LRG_541
ENSG00000130826	LRG_55
ENSG00000101981	LRG_556
ENSG00000171560	LRG_557
ENSG00000088305	LRG_56
ENSG00000197561	LRG_57
ENSG00000117560	LRG_58
ENSG00000150337	LRG_59
ENSG00000011600	LRG_607
ENSG00000110395	LRG_608
ENSG00000139083	LRG_609
ENSG00000109101	LRG_61
ENSG00000138413	LRG_610
ENSG00000182054	LRG_611
ENSG00000096968	LRG_612
ENSG00000179295	LRG_614
ENSG00000160201	LRG_615
ENSG00000147050	LRG_616
ENSG00000168066	LRG_617
ENSG00000169249	LRG_618
ENSG00000153094	LRG_620
ENSG00000111252	LRG_621
ENSG00000099995	LRG_622
ENSG00000063244	LRG_623
ENSG00000110844	LRG_625
ENSG00000183337	LRG_627
ENSG00000156531	LRG_629
ENSG00000162676	LRG_63
ENSG00000095970	LRG_631
ENSG00000143575	LRG_64
ENSG00000161547	LRG_640
ENSG00000166126	LRG_642
ENSG00000178445	LRG_643
ENSG00000163600	LRG_65
ENSG00000001631	LRG_650
ENSG00000142168	LRG_652
ENSG00000165280	LRG_657
ENSG00000120948	LRG_659
ENSG00000027697	LRG_66
ENSG00000030582	LRG_661
ENSG00000105976	LRG_662
ENSG00000136280	LRG_664
ENSG00000188021	LRG_665
ENSG00000141385	LRG_666
ENSG00000126583	LRG_669
ENSG00000262795	LRG_67
ENSG00000089225	LRG_670
ENSG00000102393	LRG_672
ENSG00000171298	LRG_673
ENSG00000103449	LRG_674
ENSG00000101115	LRG_675
ENSG00000172062	LRG_676
ENSG00000091138	LRG_683
ENSG00000155850	LRG_684
ENSG00000065154	LRG_685
ENSG00000011143	LRG_687
ENSG00000131238	LRG_690
ENSG00000182372	LRG_691
ENSG00000102805	LRG_692
ENSG00000161270	LRG_693
ENSG00000048342	LRG_697
ENSG00000141837	LRG_7
ENSG00000269335	LRG_70
ENSG00000163646	LRG_700
ENSG00000102104	LRG_702
ENSG00000113302	LRG_71
ENSG00000101200	LRG_715
ENSG00000167580	LRG_717
ENSG00000181449	LRG_719
ENSG00000096996	LRG_72
ENSG00000007372	LRG_720
ENSG00000142208	LRG_721
ENSG00000188641	LRG_722
ENSG00000084207	LRG_723
ENSG00000169032	LRG_725
ENSG00000177000	LRG_726
ENSG00000025708	LRG_727
ENSG00000134460	LRG_73
ENSG00000198793	LRG_734
ENSG00000168685	LRG_74
ENSG00000116127	LRG_741
ENSG00000151929	LRG_742
ENSG00000175283	LRG_744
ENSG00000010704	LRG_748
ENSG00000198001	LRG_75
ENSG00000126934	LRG_750
ENSG00000175206	LRG_751
ENSG00000108061	LRG_753
ENSG00000115904	LRG_754
ENSG00000164532	LRG_755
ENSG00000158022	LRG_757
ENSG00000101752	LRG_759
ENSG00000160255	LRG_76
ENSG00000170681	LRG_760
ENSG00000118137	LRG_767
ENSG00000105639	LRG_77
ENSG00000170836	LRG_770
ENSG00000159184	LRG_771
ENSG00000187098	LRG_776
ENSG00000160200	LRG_777
ENSG00000166147	LRG_778
ENSG00000105486	LRG_78
ENSG00000198380	LRG_787
ENSG00000048392	LRG_788
ENSG00000174405	LRG_79
ENSG00000144285	LRG_8
ENSG00000136802	LRG_80
ENSG00000116586	LRG_81
ENSG00000115648	LRG_83
ENSG00000005381	LRG_84
ENSG00000020922	LRG_85
ENSG00000197535	LRG_86
ENSG00000116701	LRG_88
ENSG00000100906	LRG_89
ENSG00000187736	LRG_90
ENSG00000198805	LRG_91
ENSG00000213281	LRG_92
ENSG00000180644	LRG_94
ENSG00000069974	LRG_96
ENSG00000166349	LRG_98
ENSG00000175097	LRG_99
