ENSEMBL ID	Human_Muscle_Average_RPKM	Chimp_Muscle_Average_RPKM	Rhesus_Monkey_Muscle_Average_RPKM	Mouse_Muscle_Average_RPKM	Human_Kidney_Average_RPKM	Chimp_Kidney_Average_RPKM	Rhesus_Monkey_Kidney_Average_RPKM	Mouse_Kidney_Average_RPKM	Human_Cerebellar_Cortex_Average_RPKM	Chimp_Cerebellar_Cortex_Average_RPKM	Rhesus_Monkey_Cerebellar_Cortex_Average_RPKM	Mouse_Cerebellar_Cortex_Average_RPKM	Human_Prefrontal_Cortex_Average_RPKM	Chimp_Prefrontal_Cortex_Average_RPKM	Rhesus_Monkey_Prefrontal_Cortex_Average_RPKM	Mouse_Prefrontal_Cortex_Average_RPKM	Human_Primary_Visual_Cortex_Average_RPKM	Chimp_Primary_Visual_Cortex_Average_RPKM	Rhesus_Monkey_Primary_Visual_Cortex_Average_RPKM	Mouse_Primary_Visual_Cortex_Average_RPKM
ENSG00000001460	3.712093333	0.458413	0.587271667	0.1283225	14.36988	20.82786667	7.121041667	0.358281667	42.90376667	13.00020667	1.6417765	1.903705	55.23758333	29.54233333	1.528113333	1.844503333	40.09741333	29.94088333	2.478002833	2.534815667
ENSG00000001461	6.225533333	9.934131667	3.116246667	25.2971	36.491235	46.9082	64.4022	65.60703333	168.1656667	172.0648333	248.5635	137.4436667	121.2535333	131.5878333	84.141305	145.7091667	107.6259833	106.5951667	106.2933833	132.2108333
ENSG00000001497	36.21363333	28.94505	32.0037	130.4661667	81.52335	55.76701667	60.22553333	141.2638333	130.9343333	117.1336667	135.7763333	134.8063333	81.27996667	73.79978333	99.67093333	117.1345	93.61321667	84.36271667	128.3301667	111.6400833
ENSG00000001561	63.91321667	124.6463333	95.65416667	163.5035833	71.69205	132.9570333	124.0225	88.64971667	46.88658333	103.22845	83.82383333	73.39231667	127.0697667	136.5123333	70.93741	71.18831667	108.6035833	106.8046167	66.38498333	64.316
ENSG00000001617	31.71441667	33.93418333	26.03045	25.39181667	136.9051167	90.1715	87.4412	77.84828333	10.91688333	18.45588333	49.4909	64.65081667	11.74295667	17.01748333	4.855083333	37.9509	13.93017167	34.12428333	14.03163167	33.33853333
ENSG00000001626	6.69495	0	0	0.031852167	105.7787248	0.834767	2.359735	15.25693333	0.132231333	0.779095833	0.159538833	0.5790575	0.6053815	0.3122485	0.540360667	1.573797167	1.243431833	0.866602333	0.669135333	1.557145833
ENSG00000001629	20.31755	35.07463333	32.47123333	27.16168333	71.8996	74.0974	79.56358333	221.961	59.67696667	80.67255	58.4893	59.53306667	79.54235	88.52798333	54.495155	64.78786667	84.66245	72.41675	60.3902	70.56535
ENSG00000001630	30.13375	45.75773333	22.04231667	18.952645	137.21645	134.4096667	86.18935	655.4195	108.7981167	119.9661667	102.9686	122.6448167	214.0263333	186.466	151.6797667	125.3331667	138.9110667	151.4614833	123.7002	123.8985
ENSG00000001631	50.06985	66.24288333	55.40588333	46.4336	99.67181667	98.22018333	46.31783333	77.58438333	80.39741667	91.2403	73.03781667	98.6316	92.73836667	100.8012667	60.18398333	89.82791667	90.83146667	118.1962	80.1264	93.30915
ENSG00000002016	5.74619	17.223635	9.349016667	37.5198	10.819425	11.193255	9.629121667	12.87512167	15.07765667	13.9663	14.81682167	25.37926667	13.51405	11.70328	10.09087833	26.62851667	11.29176	9.162745	8.664325	22.92921667
ENSG00000002330	119.0668667	182.7806667	107.4031833	76.19581667	203.8298333	231.5456667	188.4361667	181.488	144.4702333	128.1624333	111.1520833	137.7640667	277.7791667	199.5323333	179.1616667	124.61035	302.3813333	267.7505	97.52441667	122.9738333
ENSG00000002549	159.19025	653.0555	155.6983333	158.5946667	272.023	1028.360667	662.1225	1098.881833	77.61176667	130.9091667	90.76158333	75.30233333	110.7183333	173.094	112.51815	84.75766667	117.1640333	175.25	100.27715	89.38375
ENSG00000002726	0.576278	0.9599255	3.313856833	0.187451333	954.08358	986.8665	2725.445	30.41971667	0	0.055146167	1.714506667	0.267094333	0.045919833	0.072083333	1.4122	0.080384333	0	1.210801667	0	0.238469833
ENSG00000002745	0.672165	0.461751667	0.9085815	0.449725667	0.45441	1.884441667	0.560986667	3.155263167	1.373256333	4.73274	3.820208333	4.260993333	5.055973333	8.952036667	8.278561667	4.816811667	1.671586667	4.94936	8.552565	3.2447665
ENSG00000002746	1.6399055	0.803360833	3.270233333	0.157264167	16.42705833	48.16988333	141.893	0	25.79521667	29.80896667	74.79613333	61.52743333	89.64813333	100.53405	105.5401167	59.44423333	59.15218333	106.17515	153.006	72.95728333
ENSG00000002822	29.63816667	26.1441	8.525778333	21.32853333	27.3312	33.80835	25.31175	20.40951667	37.5468	34.76071667	42.00511667	44.0429	38.36491667	26.92343333	32.13455	34.38361667	39.2738	32.92501667	31.8881	31.42808333
ENSG00000002834	47.7036	34.52006667	43.34013333	45.205	154.3187	202.7823667	191.7733333	457.9866667	73.16211667	90.17586667	151.2945	270.3608333	176.5615	144.8313333	188.1584833	279.8595	105.0641333	120.7778833	191.3548333	303.7205
ENSG00000002919	21.29152167	33.76495	58.50218333	29.62965	44.71841667	46.43993333	90.44538333	44.72196667	34.14428333	30.76866667	65.2924	70.61683333	47.6516	46.33973333	57.5771	75.54635	38.30145	44.64265	65.97573333	81.35728333
ENSG00000002933	25.13881833	28.20713333	10.21237833	54.35358333	965.46026	1445.825333	427.4646667	3419.86	20.20286667	37.13523333	25.90183333	30.05614167	29.85535	45.30728333	37.5038	65.49253333	37.7677	38.96581667	30.45285833	88.06165
ENSG00000003056	110.2411667	175.3883333	128.4217667	116.6574	209.5732	289.4575	329.255	718.7555	104.1998833	200.6476667	200.673	317.8828333	175.5601667	232.1821667	188.9738333	297.1381667	122.9917833	202.4725	201.8398333	292.2013333
ENSG00000003096	12.76673333	7.383476667	16.68183333	11.68763167	44.97903167	101.8979833	98.91236667	17.6293	18.45595333	27.39761667	33.24333333	90.03026667	21.82951667	17.6267	19.48501483	194.8715	14.96075833	16.214725	26.92016667	91.64751667
ENSG00000003137	6.586210333	13.46382167	30.04269	28.59431667	138.1151983	27.97819	13.90299	47.45253333	171.1155	66.38535	106.0104833	46.94695	60.30588333	47.16128333	24.114525	21.00875833	21.90306833	27.67363667	20.993745	23.96702
ENSG00000003147	11.5707	9.076523333	27.49512167	6.522601667	76.24409667	65.61978333	34.7985	17.57462833	138.6896667	74.55835	39.37781667	107.6093667	148.6413333	122.949	75.1987	118.5378167	132.9463167	133.9523333	99.88236667	127.81995
ENSG00000003249	109.0634167	238.742	182.4714667	10.72734167	29.36045	80.58836667	57.71095	5.189618333	93.97076667	72.38206667	108.7070833	101.7567333	228.0453333	127.3136333	189.6803333	63.38965	176.39475	104.1676167	172.1365	75.68593333
ENSG00000003393	26.0659	75.29615	48.22753333	43.42268333	38.9346	37.60263333	50.83418333	81.17843333	265.4316667	422.55	330.437	257.4456667	59.33175	57.81545	70.99238333	46.95633333	38.27546667	62.55215	90.22113333	62.4838
ENSG00000003402	254.8103333	523.731	77.76216667	22.99738333	178.1966667	206.457	180.111	100.2276833	144.1225	55.79081667	51.42556667	15.6137	39.37598333	39.05065	32.87652833	12.37933333	47.16853333	32.41206667	33.4728	12.73270167
ENSG00000003436	64.57673333	256.0143167	23.21501667	11.32511833	158.0779667	347.3455	168.3643333	25.69631833	4.407645	4.896028333	24.03335	8.639908333	7.89112	5.914355	13.31477833	13.06814833	6.376666667	7.109968333	11.69585167	12.63825167
ENSG00000003509	44.34083333	31.1098	39.18221667	60.34785	54.3728	49.36413333	53.90085	120.2106333	47.43795	29.34391667	54.01415	88.21641667	57.62028333	26.80941667	41.7797	94.80128333	52.35135	30.38638333	53.66355	87.84233333
ENSG00000003756	110.3319	111.3726333	107.7409833	102.2612333	215.922	181.3725	147.4193333	124.6913667	242.0876667	245.314	197.3956667	221.712	160.2485	180.5733333	147.06385	208.4306667	152.2256667	160.8518333	149.846	200.5125
ENSG00000003987	1.07984	0.737622833	1.5179285	5.079816667	2.902758833	1.274647167	2.673842833	19.68370167	48.89685	49.11616667	56.75678333	133.7966667	75.62448333	76.16966667	89.83883	149.6341667	44.03553333	59.44593333	103.3298167	150.6503333
ENSG00000003989	136.8576167	188.2191667	126.5672833	288.9843667	14.17104167	16.52573167	8.957426667	5.409691667	3.990979	15.43335	36.17286667	35.583	6.533565	31.01292833	21.75835	36.92666667	5.715285	23.03391667	24.87655	24.81576667
ENSG00000004059	425.9763333	399.846	254.4848333	230.403	545.6621667	502.6173333	367.5106667	294.0408333	718.6065	589.5045	532.6878333	381.7738333	907.6943333	742.0766667	878.9305	466.2175	761.5306667	871.1131667	691.8976667	464.8
ENSG00000004139	5.35092	2.219469	5.030603333	1.316435	21.38981667	14.95209333	3.41322	0.8078965	33.56908333	45.35908333	75.40408333	69.7737	35.40165	40.25641667	66.428245	43.51738333	26.17661667	37.36405	65.40288333	51.25175
ENSG00000004399	38.91801667	33.5569	33.47156667	36.81985	97.47063333	77.90586667	42.4796	49.67271667	8.505346667	13.69758667	22.98121667	30.58996667	68.59331667	54.78988333	45.02891667	108.2393333	63.84733333	74.33163333	68.16866667	94.3517
ENSG00000004455	150.0616667	1201.906667	268.3466667	84.76736667	239.053	677.8728333	693.7411667	667.6313333	66.53998333	172.1093333	156.3165	78.63518333	51.222	144.902	108.8266333	60.52858333	77.7674	159.0375	112.4066667	66.04913333
ENSG00000004468	41.44358333	32.84402167	45.36855	12.95773	1.425028333	18.12206333	13.70073167	20.93621833	1.19321	14.41191833	28.69605167	33.71315	6.081246667	14.57097167	16.12540667	9.113291667	4.045376667	7.386441667	11.697955	11.726955
ENSG00000004478	299.312	447.982	310.3555	439.164	285.5796667	405.2335	366.699	732.1313333	665.9581667	545.6291667	965.816	544.72	388.5675	487.2488333	437.175	287.0508333	317.8313333	481.3168333	509.39	307.8125
ENSG00000004487	92.15055	92.38225	83.5888	59.61205	106.7162	115.6369167	76.23598333	67.36385	122.6488333	126.8836667	122.8183333	117.5503333	113.0596667	139.5925	122.38155	117.5351667	95.52103333	127.0608333	127.5478333	125.1413333
ENSG00000004534	117.09595	132.4918167	38.7544	84.4067	390.522	368.2128333	68.56806667	130.5886667	380.5753333	304.4211667	110.4678667	166.3621667	189.0718333	185.4001667	65.04581667	130.4518333	233.2608333	220.3511667	75.27356667	135.1408333
ENSG00000004660	5.642976667	8.278440167	2.758895	1.963572	13.64425	9.514198333	6.747048333	3.683133333	105.6422167	113.1913667	189.3395	157.6121667	228.0968333	309.2351667	433.0018333	199.4435	155.8279	448.3053333	525.1991667	229.4136667
ENSG00000004700	29.63188333	69.36413333	24.05665	14.78235	52.26338333	75.99351667	35.85016667	24.36933333	32.2079	42.26351667	34.96645	37.16285	30.79316667	44.99658333	23.214055	30.7028	30.0102	42.35751667	32.71036667	32.9906
ENSG00000004766	22.33368333	38.80088333	44.31983333	47.17155	29.95153333	33.161	38.58775	55.55383333	51.99801667	52.87981667	73.27463333	69.14341667	85.59225	86.83958333	75.73568333	87.3875	60.94421667	90.22173333	81.66665	90.27053333
ENSG00000004776	10170.03167	7921.795	7806.891667	4926.858333	48.85632167	109.0374167	65.69826667	39.16768333	20.41770833	68.1679	200.5025667	29.14435	79.41433333	79.25191667	212.3893333	203.9110233	144.6654833	84.1061	379.554	16.910815
ENSG00000004777	6.309504333	4.81171	1.999714	1.696513333	27.58633333	19.40583333	46.80631667	5.78764	61.78918333	61.9548	60.30146667	40.43456667	105.7614333	107.4029333	133.7126667	316.3718333	79.86963333	100.5381333	74.73435	257.1235
ENSG00000004779	839.2318333	921.7106667	1406.358667	125.6651333	407.361	495.7368333	1132.884833	120.8905	318.4421667	341.3691667	683.2543333	61.69833333	462.266	475.3611667	922.6413333	63.2202	402.2633333	506.4985	773.6266667	50.67738333
ENSG00000004799	3762.163	5284.829567	909.0428	7524.49	112.5200567	512.8443	38.90548333	551.7238333	12.14582333	30.88758333	7.098211667	52.36528333	36.46475	63.1953	11.12577	265.72245	55.16206667	37.90224	10.52956	56.69846667
ENSG00000004809	0	0.114162333	0.198999167	0	0.383998333	2.159974167	0.463801167	0	0	0	0	0	0.250662	0.569254167	0.20682	0	0.116301333	0.115408333	0.085128333	0
ENSG00000004838	1.818292167	1.600643	1.325121667	0.626845	5.9589	1.236608333	3.413265	35.40051667	6.264566667	6.068653333	5.637215	8.01688	5.411926667	4.91687	5.647186667	10.04571167	3.767085	3.158952833	5.910741667	11.66421833
ENSG00000004846	0.2745655	0.0505365	0	0	1.91015	0	0	0	0	0	0	0	0	0	0.0448125	0	0	0	0	0
ENSG00000004848	8.632	30.99973333	57.69471667	0	105.1458	0	0	0	0	0	3.572216667	1.464426667	81.44495	41.96821667	111.5909833	81.50606667	37.85363333	39.82263333	75.22176667	54.49693333
ENSG00000004864	15.07581833	14.16793167	3.550736667	3.214440167	52.12068333	120.3836167	108.4923	312.1465	17.19693333	24.7208	35.37656667	15.100215	18.39075	26.25396667	22.54531833	11.067335	24.49038333	28.84541667	20.78471667	13.3535
ENSG00000004866	31.39826667	22.7313	33.83696667	24.64565	87.61491667	88.88191667	85.33693333	40.673	85.31958333	98.00485	57.58248333	29.88931667	46.03798333	54.51516667	37.07938333	30.37591667	39.73475	47.02996667	39.47041667	33.01661667
ENSG00000004897	45.98476667	93.53196667	49.88656667	43.36491667	47.358	54.06333333	51.04441667	56.6259	58.03541667	72.82008333	59.39845	70.88273333	87.24176667	92.69815	64.69341667	80.32026667	54.0989	63.2877	65.95955	78.88623333
ENSG00000004939	16.32632283	0.092402167	0.554683333	0.843753333	303.383505	191.2909833	431.9395	118.5468	2.472483333	0.18298	0.325281833	1.849755667	0.971318	0	0.808703333	0.878393667	0.752022333	0	0.487781667	0.990269667
ENSG00000004948	1.50686	0.938495167	1.437621333	0.103803833	3.3350925	8.303875	18.57436667	3.876184	0	0	0.249671167	1.096849333	0.556881667	0.49961	1.212472667	3.015300333	0	0	0.337965167	1.697251667
ENSG00000004961	163.7797333	123.4352333	146.6625	135.203	155.7115	87.62968333	96.23415	82.37306667	51.2584	55.4607	85.9327	95.9363	82.05718333	82.20126667	77.20745	80.8668	54.43091667	70.65195	85.67235	79.82238333
ENSG00000004975	31.29168333	32.20941667	37.74208333	15.49615	75.76088333	51.04983333	56.72126667	28.68461667	75.70021667	68.1317	52.56956667	50.37506667	50.0564	49.2591	44.43035	42.43665	61.52821667	50.27565	43.1561	45.91716667
ENSG00000005001	17.0885	0	0	0	39.62616667	50.52301667	51.11243333	0	36.62583333	48.7481	11.13966667	0	0	0	35.91781667	0	0	0	0	0
ENSG00000005007	64.12783333	102.0120667	91.3398	86.65088333	109.4118	136.1806667	203.3986667	127.1251667	163.097	183.3888333	232.168	170.3033333	90.72688333	115.844	132.0866	112.79725	79.65898333	112.8408333	145.272	116.4875
ENSG00000005020	18.55402833	40.58053333	27.28321667	17.167015	54.361665	81.69275	78.0824	116.8017333	13.42956167	19.0283	12.04429333	32.04608333	48.41021667	42.44113333	29.05435	35.45873333	19.85402167	30.21625	16.2313	28.02455
ENSG00000005022	522.7041667	176.342	105.14555	415.4896667	3974.703833	2893.915	4022.133333	8600.085	1107.935833	783.8903333	923.2921667	1729.366667	1296.373333	1104.5275	1120.273	1367.288333	1414.435	1349.973333	1425.968333	1405.901667
ENSG00000005059	19.16884	11.04615167	14.97326667	1.841231667	33.278565	39.13118333	13.62125	3.036428333	1.243556667	22.35101333	25.56433333	5.019785	21.83926667	43.59343333	33.6759	8.24615	7.672176667	19.95615	15.8655	6.536516667
ENSG00000005073	4.952101667	4.126951667	8.80165	2.45589	5.437515	14.48032833	19.82256667	15.498925	0	0	0	0	0	0	0	0	0	0	0	0.356095
ENSG00000005075	654.9456667	650.2761667	1170.833333	609.7283333	348.5683333	525.199	950.8998333	753.68	155.2897	398.7275	730.7985	581.2651667	148.4513333	426.1375	859.8006667	600.9526667	220.2448333	383.6418333	640.15	572.7721667
ENSG00000005100	13.32420167	38.2977	13.73345167	24.72926667	28.23258333	30.05805	21.21806667	51.8665	31.57096667	49.909	44.792	69.42448333	40.34118333	51.78341667	42.51811	66.02271667	29.06270667	40.17126667	55.6832	87.34753333
ENSG00000005102	18.84237667	7.455596667	6.387833333	5.301203333	2.07067	0.248643333	0	10.18887833	0	0.178171667	0.167261667	2.645695	0	0	1.47616	3.128196667	0.253033333	0.228231667	0.37448	2.00314
ENSG00000005108	0.720760833	0.7612595	0.756215167	4.865871667	21.84447667	14.36410833	11.38735	8.075661667	3.19937	11.86813667	17.25375167	48.95823333	10.54334833	16.43894167	17.231275	36.39948333	9.521068333	22.6256	31.82573333	35.3474
ENSG00000005156	25.13863333	37.84781667	19.00458333	45.04648333	31.3148	30.7727	22.593	54.35445	38.23956667	35.22111667	37.09016667	44.98828333	35.77293333	26.48363333	20.57388667	39.5418	23.7094	25.6122	24.83231667	40.0912
ENSG00000005175	50.67495	85.03508333	80.79825	58.0037	42.17818333	47.41865	41.85661667	49.1776	45.26276667	52.95495	40.1924	70.31415	57.08871667	57.4224	49.66176667	74.35968333	39.42933333	40.80096667	53.5713	62.59468333
ENSG00000005187	4.349047333	5.000045	10.15487833	11.57949833	149.2613667	188.3245667	184.2053333	2020.54403	0.897295333	1.119903333	3.488635	1.5902	0.973991167	2.251991	2.480133333	2.818465	2.417366667	1.636786	1.666136167	36.2423185
ENSG00000005189	2.390890667	5.98555	9.385786667	1.692104	4.480755	5.697708333	5.652105	8.760466667	11.538685	11.86225667	16.53211833	2.654116667	8.480485	9.403076667	4.169625	1.118670667	5.66014	8.911708333	4.563208333	2.125870167
ENSG00000005194	82.12248333	71.2387	66.08221667	66.14371667	110.6980167	114.5731	131.384	134.3155333	94.28253333	80.01308333	95.75821667	96.86678333	133.8638333	103.9808	87.03388333	75.19778333	88.48376667	89.58823333	89.00436667	81.2377
ENSG00000005206	52.54708333	58.71693333	84.77908333	36.28708333	151.0521667	93.58191667	159.9015	80.62098333	145.6078333	89.52738333	211.102	141.8246667	68.44415	69.31855	140.78815	93.45481667	70.56811667	77.28098333	159.2208333	94.57206667
ENSG00000005238	27.81640167	57.87151667	53.75011667	137.3811167	64.28036667	68.84988333	50.66528333	74.8465	45.58706667	80.28963333	43.1243	100.4315333	68.06628333	78.86878333	82.09566667	94.60765	61.70285	56.48775	53.6386	99.70895
ENSG00000005243	126.03205	71.61351667	126.6670667	16.87501	37.75910667	32.50773333	58.87725	11.54416833	7.777365	5.14461	25.73288333	3.06217	9.762301667	10.83926333	25.68758333	5.426531667	12.67795667	6.541896667	13.08272333	2.733166667
ENSG00000005249	29.67466667	8.091113333	3.682229167	23.51454667	13.94946667	26.33276167	8.223608333	13.495015	38.72845	47.21891667	35.83698333	43.01186667	187.5238333	213.1506667	148.0410333	162.2716667	102.6464167	178.4935	142.4725	103.48725
ENSG00000005302	57.37438333	140.4091667	43.20906667	122.6025	51.25923333	67.72708333	53.65248333	148.7783333	68.76036667	75.02275	52.01746667	70.01318333	108.2994	113.6633333	67.76275	58.48218333	79.76371667	114.374	71.82091667	61.59026667
ENSG00000005339	88.20243333	130.9601667	88.61181667	58.09348333	89.06746667	84.48608333	83.43116667	70.91265	125.8276667	173.6323333	134.78315	125.145	91.07101667	99.33983333	95.95148333	105.8943833	79.94648333	102.8875667	124.7183333	112.1443
ENSG00000005379	8.44778	2.791316	2.211725667	0.897597333	24.97707833	23.52236667	21.68386667	3.935778333	77.89511667	118.9501667	100.16665	222.303	175.6441667	142.3763333	134.5509333	282.5943333	95.60776667	136.778	135.047	264.4036667
ENSG00000005381	2.030313333	21.41615333	0.794112833	0.090281	0.278938167	1.644757833	0	0	2.625976667	9.362713333	0.928532167	0.424454333	9.259386667	15.81556667	0.521766833	0.845590333	6.43515	12.04609167	0.936222833	0
ENSG00000005421	0.271268333	0	0	4.79969	0.978366667	0	0.247792167	0.481578333	1.281060667	0.822522	0	0.403955667	1.283265	0.204041667	0.141425333	0.166966667	0.1423585	0	0.110728	0.3179215
ENSG00000005436	33.49351667	72.37576667	17.52396667	3.968490333	38.92485	28.44633333	13.60036667	12.11135	17.959	15.11489333	6.191413333	17.52306333	18.11456667	16.06194167	4.51046	12.76164	20.8283	10.88771833	5.08958	13.456275
ENSG00000005448	5.044793333	4.722098333	12.542175	2.329628333	61.31729667	50.07423333	116.1156833	5.134326667	50.90775	71.36825	90.84948333	40.93388333	74.80251667	71.92658333	98.33453333	50.20686667	58.6161	83.04928333	78.22198333	42.97371667
ENSG00000005469	12.64362	18.23203667	16.67508333	99.46528333	30.6343	42.1177	106.999	1106.321333	19.97708333	16.26385	8.990708333	67.12536667	18.03676667	15.45946667	5.106951667	78.37661667	8.30664	10.89737333	6.910531667	81.5133
ENSG00000005471	9.367913333	3.666522	4.274603333	320.8018333	7.031203667	1.303331833	4.142893333	1.5643085	0.314558333	0.572510667	1.225038	5.327196667	0.946912	1.030103167	0.980936	25.16304167	1.265665	0.922334833	0.692562833	10.258635
ENSG00000005483	54.77635	85.6417	67.24825	96.44181667	118.1265333	115.0150667	121.3426667	168.7526667	188.2238333	246.1008333	227.0153333	267.5698333	129.0535	162.845	131.7328667	201.0613333	135.7316667	180.8878333	202.4606667	215.4116667
ENSG00000005486	94.31843333	38.9088	61.11156667	34.37008333	290.9945	219.8256667	96.49336667	192.1431667	249.0258333	231.0848333	262.2626667	164.1003333	972.3581667	670.7831667	607.5753333	236.9856667	603.5825	538.4498333	395.9863333	233.7191667
ENSG00000005513	8.54831	7.172023333	5.985678333	4.420081667	13.27839833	4.998476667	7.089176667	4.352276667	87.70443333	152.8394833	177.3067833	195.5663333	295.3198333	348.1053333	427.7108333	294.4433333	408.727	361.587	276.3558333	273.1518333
ENSG00000005700	66.17998333	83.9554	100.6861167	158.9344	47.44745	75.38626667	70.58615	82.11406667	55.68431667	56.87058333	46.19206667	56.97433333	53.1817	51.34538333	32.18777667	39.24685	43.36965	49.9748	38.68123333	36.77663333
ENSG00000005810	17.460185	24.1319	25.90576667	27.77301667	26.32611667	29.88795	37.74295	57.36213333	88.87981667	113.2641667	113.9935167	212.995	156.3806	168.8266667	151.85095	185.8015	86.36701667	140.6048167	182.3506667	215.6128333
ENSG00000005812	118.1244667	201.4606667	146.9523833	345.4188333	131.4551333	153.7583333	144.9326667	351.2021667	169.7853333	233.0023333	209.9864	361.982	184.7561667	211.4915	208.9887833	300.6946667	150.5915	188.2336667	258.5925	313.4496667
ENSG00000005844	3.14227	4.248888333	1.577777833	22.40224217	8.388015	18.14916667	3.428376667	56.83187267	2.146183333	3.627182667	1.177469167	45.99154367	1.086850667	4.542771667	1.512707333	5.205522333	0.5327285	4.039148333	0.915113667	10.105849
ENSG00000005882	584.5011667	508.5146667	357.961	1715.291667	222.3874333	191.8305	244.5576667	944.3278333	491.4521667	483.8058333	434.6328333	595.5145	250.0378333	236.8745	266.6413333	309.8775	167.3683333	176.0066667	215.7	344.5385
ENSG00000005884	19.0503	13.62007167	10.62930167	10.204715	192.169125	140.7303333	156.7695	70.63665	50.7245	33.19273333	30.5734	85.81813333	36.57488333	35.55658333	22.48994	25.12863333	23.7406	27.60786667	21.26	33.36848333
ENSG00000005889	49.44593333	115.0423667	61.2314	42.88383333	54.65748333	75.42793333	71.80208333	59.90078333	58.57226667	100.2624667	68.43355	61.81958333	38.08393333	49.96616667	37.533555	41.86258333	37.2283	43.71933333	56.741	46.16185
ENSG00000005893	227.3230167	389.8411667	196.6323333	226.6361667	378.962	304.9628333	342.6223333	2334.341667	115.0192167	168.4563333	157.6681833	204.943	311.1086667	351.8445	208.63565	156.1676667	392.494	319.2268333	203.1008333	201.8068333
ENSG00000005955	161.3769333	184.8043333	121.001	247.1693333	224.589	230.7928333	175.8518333	318.695	256.9415	268.9515	249.8856667	301.6116667	271.9683333	296.981	227.4453333	296.4446667	221.7651667	236.92	223.1263333	302.1868333
ENSG00000005961	0.573168333	1.117627667	0.290691833	1.760489	6.547483333	1.285183333	0.591325333	5.988336667	9.349068333	22.57266667	13.86581667	1.908563333	4.314118333	10.65978333	2.640147167	2.360864167	7.380505	10.71856667	2.944256667	0.760224667
ENSG00000005981	72.16108333	82.40836667	94.86428333	76.55331667	0.331175333	0.500650667	0	0.619662	0.523215	0.497003	0	5.48372	2.819766667	2.832208333	0	6.271018333	3.238293667	1.212509	0	3.297299167
