ENSEMBL ID	hP1	hP2	hP3	hP4	hP5	hP6	cP1	cP2	cP3	cP4	cP5	cP6	rP1	rP2	rP3	rP4	rP5	rP6	mP1	mP2	mP3	mP4	mP5	mP6
ENSG00000073578	352.61	390.129	451.69599999999997	454.233	343.05	427.305	341.976	357.39599999999996	287.156	325.149	359.649	329.142	187.588	361.283	204.136	269.014	261.139	162.929	861.153	824.388	1105.45	915.592	836.6080000000001	905.877
ENSG00000073584	175.435	141.317	184.86	143.123	167.326	164.33700000000002	124.21799999999999	98.8063	103.708	118.749	101.90299999999999	115.37100000000001	127.125	138.194	128.887	131.678	144.661	109.913	40.7065	36.1502	45.1508	33.2017	31.8594	35.9708
ENSG00000073598	10.4452	10.2613	9.53397	6.141030000000001	10.7515	1.41259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13524	0.0	0.0	0.0	0.0	12.3192	9.4816	7.72325	3.9583	2.4577	6.93717
ENSG00000073605	55.9631	56.6962	44.696000000000005	92.538	60.4844	56.7627	21.9618	33.978	30.0499	12.5121	8.78491	13.081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000073614	17.2092	16.4198	10.1706	12.5563	23.3211	15.8226	20.9174	32.3623	30.8396	19.1228	27.241999999999997	24.0488	18.8054	14.7344	10.2185	18.1381	12.4708	7.73307	40.7065	48.8027	43.2632	53.1691	45.8429	44.4345
ENSG00000073670	120.00399999999999	136.196	111.14299999999999	100.26799999999999	145.41899999999998	91.0661	114.62299999999999	98.0262	117.693	126.012	113.35799999999999	83.7111	125.678	126.28200000000001	134.922	108.859	124.583	28.5894	88.09700000000001	131.399	102.62200000000001	121.079	131.64600000000002	118.677
ENSG00000073711	15.9847	16.4632	15.2963	11.3684	24.9456	11.8548	18.5542	22.9649	20.6176	20.7571	21.0511	16.4767	21.1468	16.5324	15.4528	26.1618	22.1073	5.1531199999999995	44.152	42.8636	80.8384	55.4564	54.6521	35.2599
ENSG00000073712	75.9849	57.993	59.4087	65.4088	74.7854	95.1867	103.35600000000001	149.49200000000002	121.914	111.001	90.7658	74.29899999999999	95.1833	101.17399999999999	76.7425	92.1572	71.307	12.8579	149.968	130.874	241.525	150.25	130.394	128.07
ENSG00000073734	0.171734	0.316333	0.0	0.0	0.0	0.348375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32674699999999995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000073737	9.282580000000001	2.4426400000000004	3.0260000000000002	4.3855	2.04745	5.38012	7.805969999999999	10.7351	13.0543	2.96482	7.28575	7.74909	1.00821	5.4106	1.95658	3.7887	1.0286	0.0	0.0	0.0	0.0	0.0	0.0	0.0
