rP1	rP2	rP3	rP4	rP5	rP6
71.8833	46.6508	89.2153	42.4037	37.9479	5.49945
192.368	375.05699999999996	111.311	373.60400000000004	408.724	133.534
52.8913	76.0297	59.5699	57.9711	61.6701	76.124
67.0354	95.3753	68.0714	76.1586	77.4043	141.89
117.656	117.573	94.9732	114.345	101.41	55.0554
41.7307	31.8074	37.5581	34.8484	35.1706	17.9064
113.131	109.28200000000001	113.06700000000001	97.7799	103.87799999999999	85.59899999999999
269.062	275.759	261.731	325.20599999999996	309.592	153.069
33.3814	43.3556	32.9351	31.9755	36.3462	9.22818
58.7753	45.8253	73.172	55.5646	38.4677	2.73615
182.148	152.65200000000002	160.602	175.028	139.16299999999998	13.6807
0.0	4.6908900000000004	4.2407900000000005	5.47455	4.4589	7.188839999999999
134.593	194.707	183.595	131.942	157.216	166.842
0.0	0.0	0.0	7.0510600000000005	0.0	0.0
73.8961	61.0104	77.2188	60.5223	40.5952	4.67495
1.80495	0.645759	1.16759	0.7536390000000001	1.22765	1.9792599999999998
6.633960000000001	4.7468699999999995	2.1457	2.76994	2.2560599999999997	21.8239
44.6429	47.9157	45.6809	46.7699	46.3741	7.34313
9.47063	11.8591	7.14745	14.4993	9.12543	8.65437
49.2883	50.4411	56.3526	55.5176	51.065	24.5102
120.581	116.911	100.039	101.069	102.898	39.8151
0.0	0.8420569999999999	0.761259	0.0	0.0	0.0
2243.21	2908.17	2234.8	2285.58	2882.5	3113.24
166.545	145.189	177.834	167.623	163.236	15.5514
10.1752	2.56969	6.969360000000001	4.498469999999999	4.88521	0.984518
45.4281	39.6162	43.1616	34.3795	42.4848	7.7836300000000005
14.1219	9.76229	17.4189	5.99641	8.5469	1.96853
89.7021	73.1227	102.465	76.8047	60.2389	24.28
310.431	277.658	314.538	333.30199999999996	282.778	47.7617
0.0	0.0	8.23303	0.0	0.0	5.58254
32.9926	26.5585	26.678	34.4393	42.0751	54.2683
380.037	319.913	344.338	324.717	302.257	80.4302
1.20455	5.94716	2.80514	4.52654	1.96628	0.39626500000000003
64.1639	76.6642	62.2598	69.2521	75.7547	37.8353
806.885	1204.47	919.444	1035.02	1323.07	2489.52
412.10699999999997	375.42199999999997	453.134	424.157	413.8	120.882
0.0	0.0	0.0	0.0	0.0	0.0
31.874000000000002	35.9802	28.2619	39.9259	30.8368	6.32754
2.54545	9.5622	11.1146	11.1597	9.0893	6.28036
7.361860000000001	13.1693	2.3811299999999997	21.078000000000003	8.22611	4.03641
