rC1	rC2	rC3	rC4	rC5	rC6
105.726	120.962	112.103	92.6963	107.555	139.881
54.4193	82.4667	51.8454	89.6306	90.007	61.512
22.5614	36.2587	31.5558	29.6888	27.0754	22.3319
164.75099999999998	153.46200000000002	164.175	154.749	159.404	147.07
6.30547	12.2584	7.068860000000001	4.21905	8.276480000000001	5.79093
5.10492	8.50666	7.942069999999999	6.34353	3.28195	7.14415
521.375	371.202	341.24199999999996	359.32099999999997	424.08099999999996	414.529
15.3469	14.8998	14.3002	9.45969	13.255	18.6788
79.5513	28.9075	34.2918	30.8427	25.6514	44.6097
21.0484	9.18908	11.3548	6.918310000000001	7.20125	25.7744
244.75	994.4	974.0310000000001	969.6489999999999	1077.88	456.586
10.5613	30.5049	19.3305	18.1714	22.6329	9.2376
8.20098	6.37739	9.19386	8.23103	10.7645	7.53176
4.32736	3.05919	1.00805	2.1058	2.36053	0.9634510000000001
8.8625	31.0131	17.0322	19.7666	37.6681	11.7568
24.3853	24.7093	29.3495	23.733	27.1582	29.4082
244.393	213.377	214.21400000000003	215.71400000000003	223.808	218.93900000000002
139.856	258.993	310.033	273.337	358.60699999999997	249.717
0.445587	2.77204	0.5708949999999999	2.9814599999999998	0.0	0.5456340000000001
40.0842	75.8734	77.234	86.4915	83.4365	55.5527
93.9129	46.615	56.3215	48.1312	38.9664	57.4996
49.0481	76.6956	55.3684	66.7015	77.5542	62.9828
9.23815	10.5364	7.4962	6.59342	8.083910000000001	17.3457
842.357	518.901	492.361	583.521	472.412	668.784
75.2795	31.8277	15.9189	8.80256	58.1079	56.3832
369.329	565.105	628.367	614.3009999999999	515.898	454.085
9.68667	37.8671	40.5865	28.0278	35.7383	17.3115
51.6979	44.6691	43.6319	34.5915	36.314	32.6577
37.8781	33.5568	46.6872	43.6311	48.1898	36.9888
14.4515	42.7044	36.1052	50.2819	52.0287	27.4292
540.996	355.32800000000003	323.77099999999996	288.48400000000004	300.172	427.54
12.35	46.8665	48.7349	45.6144	48.168	28.4311
122.61200000000001	117.07799999999999	114.715	98.4493	92.3931	106.147
52.0769	73.7323	73.6243	70.1709	67.884	73.4451
57.0445	102.852	67.9123	83.0936	71.1841	92.7249
44.4377	36.6721	24.4005	35.195	29.9294	32.205
244.136	385.481	418.644	396.361	474.05199999999996	297.941
13.619000000000002	23.6253	22.8179	21.3796	20.4299	22.7704
11.2333	49.5007	61.6286	56.854	58.3305	26.2765
15.9138	10.6073	8.73819	6.08461	3.41033	8.35155
21.4773	103.92	62.6778	99.2637	55.1882	23.6209
95.2483	93.2242	90.9995	89.5537	84.99	91.4976
51.273	95.204	104.236	98.7208	103.992	90.9746
133.366	98.8865	105.304	83.0105	97.7047	156.664
34.9077	14.3712	15.7851	16.4873	13.8613	27.6589
227.56400000000002	165.46200000000002	157.088	163.438	174.62	192.199
18.0643	73.0469	55.5465	62.8524	62.326	28.7564
18.5584	47.8185	52.8782	53.3772	56.0944	25.0996
17.9524	32.2163	19.4623	14.7841	20.7156	16.9102
31.8276	39.6005	12.2335	21.2961	23.8723	11.6922
6.57423	10.2247	11.2307	2.9325799999999997	19.724	10.7338
18.4769	17.4918	22.6437	22.576	14.4611	15.7395
8.26521	22.2814	27.1799	28.0203	21.491	15.8562
133.917	76.9316	80.3787	90.4125	92.3004	79.7769
9.72511	9.62513	8.495460000000001	18.9299	3.3156	9.202169999999999
56.9294	44.8308	21.2354	44.3603	37.8353	49.8572
13.0943	37.1888	53.9773	44.1886	63.1985	16.7315
0.835475	1.29939	0.0	2.2361	0.0	2.04613
0.67445	0.5244770000000001	0.43206000000000006	0.0	0.505871	0.41294200000000003
80.7288	155.015	154.28	152.694	147.486	138.065
0.44410600000000006	0.0	0.0	0.5943109999999999	0.0	0.0
52.096000000000004	101.71	117.87100000000001	146.84799999999998	138.00799999999998	93.6537
4.57533	5.92992	0.977002	7.143260000000001	2.85977	2.80132
190.873	221.885	174.44	170.86700000000002	191.537	224.55599999999998
39.673	78.842	79.0687	73.0003	71.0855	60.726000000000006
12.038	23.4029	30.8465	29.2898	27.0872	21.1062
111.618	128.131	144.71	184.93400000000003	144.183	141.561
374.01599999999996	274.69	267.699	281.153	263.214	311.69
13.780999999999999	15.0033	14.1252	20.7473	19.6393	11.8127
26.8317	67.5192	87.6814	73.8305	93.1633	24.3653
95.4829	275.224	122.335	214.665	154.692	141.865
64.0446	45.5648	39.2818	47.4116	41.9043	64.2414
155.94299999999998	92.6992	50.9099	93.3065	58.4824	114.29899999999999
114.14	111.51899999999999	138.27100000000002	116.027	111.95299999999999	114.234
17.8875	32.5696	24.5947	26.2727	38.6133	28.3146
31.8276	40.6159	29.2767	42.5923	42.8477	34.9766
347.811	426.7	410.097	427.039	423.23800000000006	442.583
27.1156	42.486999999999995	28.5188	32.4955	30.0518	31.2216
35.5989	51.6336	40.9978	59.9504	52.2019	46.5308
79.7976	142.77	156.048	154.961	137.705	88.8982
28.3746	9.80674	20.1968	21.0952	9.45883	11.5819
108.348	100.669	81.1272	71.5551	86.5433	106.829
0.812126	0.0	0.0	0.0	0.0	0.9944729999999999
24.6029	35.0756	39.4022	52.1298	43.058	40.1694
3.4721	1.35002	0.556066	0.580804	0.0	1.06292
3.98795	3.7214099999999997	2.04378	5.33674	3.5893900000000003	6.836710000000001
17.8586	57.8267	57.0145	57.2002	48.7484	27.9629
12.9046	13.5768	12.157	15.7454	7.97098	13.4782
75.2444	62.5852	57.9135	60.121	67.8071	67.1636
204.362	162.94299999999998	179.803	112.075	102.834	148.089
0.0	0.8801979999999999	0.7250989999999999	0.757357	0.0	0.0
1797.74	1196.81	1369.96	1388.73	1218.11	1521.14
72.3991	137.895	139.811	139.01	121.198	93.1519
4.74947	4.02912	3.87235	2.31121	5.18158	4.75844
16.3852	38.2252	28.8655	35.6313	36.8691	25.9162
1.8993	2.68539	2.2122	3.4659199999999997	2.59012	3.3829
45.8692	62.4218	68.2135	80.0171	44.2339	64.1923
171.76	339.98900000000003	326.435	346.56300000000005	319.92900000000003	223.38400000000001
0.0	5.71162	0.0	6.5526599999999995	0.0	2.99799
101.15	89.4537	68.609	61.0447	124.958	85.0024
200.747	294.065	328.647	289.816	319.427	279.487
1.73786	5.6759699999999995	3.7851800000000004	4.18614	0.521392	0.212806
98.3939	105.491	80.5618	82.1979	109.17200000000001	98.3853
916.835	615.001	493.181	639.999	486.445	558.49
304.663	331.89300000000003	380.88300000000004	333.16900000000004	388.57199999999995	377.17800000000005
0.0	0.0	0.0	0.0	0.0	0.0
22.9929	29.5947	22.8561	28.6475	26.7607	27.6701
22.9526	37.1255	59.99100000000001	58.9739	35.8084	23.6092
1.01155	1.57323	0.9720120000000001	7.10677	0.7587109999999999	1.85801
0.29535100000000003	0.45935200000000004	0.0	0.0	0.44305600000000006	0.0
97.4083	84.8	69.8574	83.62299999999999	95.5767	99.0244
71.5873	101.609	98.2493	105.72	104.60799999999999	90.2141
209.11700000000002	409.154	428.49	410.949	372.631	263.683
7.0728	0.0	6.79637	4.732480000000001	10.6099	4.330430000000001
56.2773	30.2561	32.0461	47.4182	40.6474	75.7195
88.2766	68.6472	36.3542	88.6	59.1177	86.86399999999999
134.67700000000002	173.793	174.687	171.857	178.886	178.19099999999997
85.0068	176.468	233.25	198.222	187.173	130.452
117.704	446.19	483.13699999999994	492.265	531.681	261.592
6.74512	6.6757800000000005	3.1425400000000003	7.385269999999999	6.43895	3.7543599999999997
5.21154	19.2503	18.3621	21.7943	16.6129	7.977110000000001
9.554789999999999	28.3054	40.806	38.968	39.5867	13.9287
127.988	97.3162	116.60799999999999	114.184	115.196	125.38
610.32	975.373	900.6210000000001	1092.38	1100.45	907.322
14.6033	14.4134	23.7473	19.1665	18.9574	17.1944
0.0	173.252	285.447	149.07299999999998	0.0	136.409
0.751834	0.0	0.9632649999999999	1.0061200000000001	0.0	0.920643
145.78	182.68900000000002	174.418	183.635	193.245	127.835
0.526698	1.63832	0.0	0.0	0.0	0.0
0.0	2.59879	1.07043	1.11805	1.2533	1.02306
9.85699	15.3303	25.258000000000003	20.2935	26.7294	13.9271
26.5769	78.2714	43.4691	58.2671	99.2457	49.1625
47.202	64.6026	71.3619	64.4299	43.9007	57.8002
168.37099999999998	269.798	99.6887	157.039	174.122	190.55599999999998
0.318276	0.0	0.0	0.42592299999999994	2.8646700000000003	1.1692200000000001
82.39399999999999	159.925	151.16899999999998	140.252	173.03900000000002	127.53
991.257	827.9019999999999	767.0260000000001	846.566	1028.78	854.02
27.7521	38.6347	31.5782	37.9175	39.3019	42.3009
16.1247	22.959	20.0773	19.147000000000002	16.0122	19.7452
49.0038	46.2284	49.4044	46.227	43.3833	40.3323
19.3846	74.7678	61.0963	60.1826	59.3207	37.9792
0.0	0.0	0.0	0.0	0.0	0.0
11.8757	16.1612	12.3625	21.8519	18.9282	12.7244
250.09799999999998	330.69300000000004	281.35400000000004	342.849	294.124	209.148
114.286	104.85	78.971	121.149	99.2041	102.208
0.0	0.0	0.0	0.0	0.0	0.0
40.6414	22.0849	14.4292	14.4159	8.07985	6.59558
16.809	49.5334	47.0393	49.1319	55.0753	29.7914
116.823	198.049	207.107	204.75900000000001	210.55700000000002	152.71200000000002
13.5026	18.0836	11.0527	13.0502	16.3167	20.668000000000003
28.3882	60.6383	67.9089	68.2851	71.9634	35.6422
0.0	0.23555700000000002	0.0	0.0	0.22720100000000001	0.0
0.384126	0.597422	0.492151	0.0	0.0	0.0
365.145	493.22900000000004	545.534	532.605	579.975	453.32
206.52700000000002	147.72799999999998	139.56	157.43	143.79399999999998	145.123
194.079	499.58	800.4939999999999	693.745	744.193	373.64099999999996
8.54463	0.0	0.0	1.27051	0.0	20.9263
14.6155	22.7312	24.4875	33.0995	26.9843	20.6506
296.562	204.479	243.145	245.204	223.55200000000002	265.168
31.3015	28.6368	28.3088	22.1762	32.2243	18.7891
62.5693	86.3988	62.1841	76.6885	80.7021	60.1487
87.2788	236.16099999999997	251.49900000000002	247.924	293.003	159.717
322.355	235.775	163.18200000000002	252.645	225.72	258.095
77.5375	142.183	184.803	178.97799999999998	178.78799999999998	122.726
53.2326	130.793	155.995	135.274	153.762	85.2951
52.604	39.7037	44.6012	56.9376	48.7393	50.2059
183.951	149.316	149.297	151.035	170.954	160.639
0.7771859999999999	1.20874	1.4936200000000002	1.0400399999999999	1.1658600000000001	1.42753
67.5619	52.5386	68.0127	58.1223	68.7729	79.7769
23.4519	38.7538	33.803000000000004	44.1335	20.8883	23.333000000000002
12.4205	13.2807	8.951310000000001	13.5049	6.987010000000001	5.70349
93.1077	90.505	106.51	103.461	89.7883	116.04899999999999
14.1338	14.4618	8.101180000000001	3.9819199999999997	4.4636	6.83182
604.7819999999999	262.211	281.348	275.397	288.01	463.593
16.5714	41.5233	36.5656	39.4243	31.764	14.6555
14.6823	39.3851	45.5611	43.0816	45.06	24.9065
183.208	209.75900000000001	131.51	179.68599999999998	183.518	201.69
0.0	0.0	0.0	0.0	0.0	0.0
44.4969	31.7189	51.0717	37.2166	59.7966	47.6768
76.2065	121.78399999999999	137.05100000000002	125.37100000000001	158.366	71.9141
60.5079	89.0392	110.323	96.5445	89.3715	80.3633
30.2652	58.0685	72.8416	65.1051	64.4946	46.7588
53.0956	131.154	80.032	75.2331	98.3895	68.8417
4.27763	2.49483	2.0552200000000003	2.8622	0.802109	2.61904
2.1735900000000004	1.6902700000000002	1.3924299999999998	5.817480000000001	1.6303	5.323259999999999
165.358	134.71200000000002	121.06299999999999	113.432	129.238	146.334
58.1629	24.5313	30.313000000000002	42.2154	45.8432	33.8004
62.0966	87.0623	93.6686	97.4262	105.541	68.9222
47.5855	76.7244	100.68	96.396	89.065	58.2699
214.493	215.649	158.797	203.729	156.211	304.927
71.5472	59.4098	54.6381	46.2501	56.6958	78.207
1.14449	1.7799900000000002	4.39902	6.12629	0.0	0.0
56.7402	38.8883	18.4822	29.6001	28.8528	41.217
6.58142	17.6285	7.02688	9.78598	10.4213	7.163689999999999
34.7511	39.6349	41.5556	49.6049	74.7198	41.1353
0.0	0.0	0.0	0.0	1.2707700000000002	0.0
38.4599	29.0367	32.5314	29.9812	39.2092	37.0361
3.32197	5.16657	3.4049400000000003	5.77917	2.98997	6.101780000000001
0.0	0.318967	0.0	0.0	0.307651	0.251136
37.2184	97.6806	73.5143	75.7471	59.3207	52.2214
73.5328	56.3284	97.024	99.8716	80.6719	75.2599
0.0	0.0	1.28387	0.0	0.0	0.0
17.2981	22.4194	17.2377	28.2928	22.3449	24.124000000000002
10.9302	6.79977	9.802769999999999	8.04482	15.5765	17.3996
40.3308	68.6343	72.2667	72.3529	67.5146	50.102
25.1217	19.2605	11.3333	13.7314	16.4541	22.0969
166.887	116.865	118.611	140.555	109.605	136.239
90.9361	107.48700000000001	85.0517	122.301	98.2174	94.6509
15.2482	23.7152	48.8408	27.2072	34.3107	9.33595
3.75964	7.146660000000001	10.7043	8.94438	3.1332400000000002	7.16145
116.48	321.603	318.16700000000003	273.506	316.67900000000003	201.74599999999998
23.3249	58.7932	59.7688	66.7331	65.1532	34.4715
119.914	201.403	269.76	271.43	214.22299999999998	148.469
0.0	0.0	0.0	0.0	0.0	0.0
23.4894	43.1747	60.1902	48.5797	45.9141	49.6824
105.62299999999999	167.364	200.808	204.041	204.02	145.333
13.183	12.3019	13.5123	26.4627	9.88793	16.143
8.97154	22.674	27.7784	24.2619	35.3278	17.1655
