rV1	rV2	rV3	rV4	rV5	rV6
28.2976	35.6821	20.1389	4.76184	3.4966800000000005	12.9844
47.4808	35.1142	57.0329	56.2325	90.5369	24.3061
124.04	119.211	115.471	104.913	104.823	98.0149
86.4362	117.531	99.0671	116.163	98.1751	108.77
140.384	164.295	130.506	120.184	186.046	104.514
20.912	10.0716	29.5588	23.6556	22.108	31.6653
239.68900000000002	217.149	203.912	209.847	212.062	193.46
47.0143	63.7939	36.0052	49.1885	83.3532	35.079
26.6419	34.2367	37.1127	44.0939	35.3609	37.9686
14.0637	2.70934	4.58744	8.67757	14.8681	9.46469
7.2030199999999995	18.7331	21.1459	0.0	34.2674	0.0
2.47973	0.0	2.42658	4.5901	0.0	5.00646
24.5439	29.945999999999998	8.00596	38.7014	25.9477	25.6942
4.98807	7.02685	6.40653	11.5415	5.08502	13.2178
99.6591	82.845	108.21	101.08200000000001	107.62700000000001	106.116
7.503139999999999	12.1418	18.1111	12.9628	10.8785	12.1188
35.4715	37.4662	36.7061	36.9806	70.9363	43.6277
23.8362	42.4447	30.2599	32.1972	24.5184	24.7125
1.8907900000000002	1.63915	0.0	0.0	2.57006	0.954356
5.3423	0.661614	0.0	0.706348	1.5560399999999999	14.2527
113.805	127.416	148.321	136.031	144.284	123.641
0.0	0.0	0.0	0.0	0.0	0.0
85.2895	80.4623	78.5519	74.2942	93.7666	67.1056
3.4515300000000004	5.2363	2.5331599999999996	2.39586	2.93218	3.04871
189.44799999999998	203.855	181.78	199.9	208.91099999999997	189.38299999999998
69.833	60.538999999999994	71.387	64.6323	61.0203	78.0479
25.6956	30.5956	30.295	29.226	40.3971	23.439
294.207	259.83099999999996	308.5	359.969	425.788	271.191
302.39599999999996	285.365	287.606	326.421	312.49	315.811
42.1042	37.1766	42.3463	48.3499	68.8881	24.4
36.1613	39.0379	47.738	52.4125	44.0515	34.7821
175.75400000000002	184.833	143.792	135.998	381.837	110.524
39.3192	49.4585	43.0031	55.6568	52.3967	44.3615
87.3815	80.1647	73.0559	84.7998	86.4854	65.515
145.716	116.992	112.211	139.46200000000002	122.102	119.516
39.0007	33.3821	38.6478	42.9498	33.5516	32.8916
93.2698	96.0673	75.0047	116.238	92.88600000000001	76.4417
280.72900000000004	287.268	311.34	343.37199999999996	366.616	404.525
35.7207	50.4201	28.9052	38.1466	28.3228	35.8281
47.0718	36.0985	41.1908	52.7821	51.678000000000004	46.1472
126.958	157.735	149.483	165.886	128.27200000000002	126.105
7.13506	6.18546	0.0	13.2074	0.0	3.60134
114.64200000000001	121.47	104.39399999999999	120.84	134.184	125.37200000000001
0.0	1.59334	0.899279	0.0	0.0	0.927685
62.6397	60.3367	70.3782	38.6498	44.1482	51.5235
0.0	0.0	0.48058900000000004	0.9090790000000001	0.0	0.49576899999999996
2.70758	3.12964	1.76636	1.67062	4.907030000000001	2.7332400000000003
26.5026	34.463	34.6874	44.7651	36.4739	40.1306
7.3011800000000004	5.21251	7.14469	8.74491	12.2592	9.53814
47.7181	53.5342	58.2929	48.4942	47.0559	50.6891
178.925	146.548	132.84	118.52799999999999	102.95100000000001	128.91
0.0	1.11035	0.0	0.0	0.0	0.646473
2944.0	2635.58	2468.64	2549.75	2670.38	2285.43
178.097	185.273	163.82299999999998	157.141	142.826	147.423
10.7487	5.92974	2.39052	6.33067	7.96917	2.9592400000000003
30.9016	42.8623	31.7512	51.4804	45.1532	35.8736
6.642930000000001	10.5014	10.3244	9.04147	11.154000000000002	14.0035
79.7099	86.7784	79.8154	90.9302	65.5112	69.2376
294.77	322.039	298.151	363.756	315.72900000000004	317.575
0.0	0.0	0.0	0.0	0.0	0.0
35.9082	31.1292	15.3731	29.0797	30.5051	54.3728
350.13	338.897	330.851	341.167	327.914	364.707
2.94975	2.72765	4.04114	2.54807	2.13837	0.0
81.0339	79.3873	65.1139	67.0723	84.1761	72.1586
753.677	723.17	742.69	864.91	1035.2	658.222
410.051	418.67400000000004	395.31800000000004	503.20599999999996	503.69	406.272
0.0	0.0	0.0	0.0	0.0	0.0
23.7751	25.6664	17.5589	21.5893	29.8773	24.9061
12.4668	5.40379	17.2827	7.69221	8.472710000000001	13.6337
6.8678	2.97689	2.5202299999999997	6.886019999999999	3.8896	4.33306
0.0	0.5794600000000001	0.327047	0.0	0.45427399999999996	0.0
