rK1	rK2	rK3	rK4	rK5	rK6
238.812	191.858	213.28799999999998	276.541	193.36700000000002	238.44799999999998
67.1143	64.7181	67.42699999999999	57.9193	62.233000000000004	60.5051
0.0	0.0	0.0	0.0	0.0	0.0
0.673427	0.815625	0.0	0.194134	0.603313	0.389046
18.3246	20.0361	14.6612	22.0106	13.6806	13.968
0.572643	1.4449100000000001	1.57085	1.10053	0.855035	0.275685
1065.71	807.3389999999999	1013.6	843.375	858.913	943.7180000000001
116.26799999999999	81.0463	92.9285	104.89200000000001	97.4179	93.0218
53.4556	48.6871	62.7324	45.9416	66.585	49.7495
0.137765	0.0	0.0	0.992858	0.308553	0.39794
57.4796	47.4335	61.39	59.4213	44.3195	24.4967
4.25281	4.29235	1.94435	4.08663	3.17502	4.7773
220.774	179.975	221.283	269.263	190.18099999999998	159.429
87.759	99.064	87.6366	119.837	77.5874	61.1505
1653.94	1800.38	1314.44	1333.18	1898.1	1912.75
47.1487	58.4022	38.2129	48.3953	42.3997	48.4924
49.4774	50.4175	43.0663	58.287	53.2764	63.2137
41.2435	66.1133	44.9221	57.6993	65.2048	40.2953
0.37262399999999996	3.38479	1.53325	3.75966	0.0	1.07634
44.975	48.8112	43.2921	40.4188	42.1735	45.9781
24.1652	21.7951	26.7976	10.3753	10.364	11.8813
74.2951	54.4153	58.9376	71.4884	60.2636	58.5815
22.1294	21.7767	27.3169	28.7072	30.9771	18.3775
50.6283	39.6904	46.6412	45.4553	46.3783	36.9036
449.455	363.42199999999997	490.36800000000005	395.529	464.847	446.61699999999996
765.71	1084.65	1193.83	1038.59	878.175	925.04
1084.96	929.2589999999999	1073.48	1064.78	1079.49	1073.9
85.1152	77.1322	85.9621	93.2513	68.8273	68.0349
14.5851	14.8215	18.1776	14.6871	14.3195	14.1394
0.369236	0.44720200000000004	0.9115840000000001	1.27731	0.33079200000000003	0.426623
0.0	0.0	0.0	0.0	0.0	0.0
42.8261	24.4746	23.7291	22.8928	31.7609	26.2157
298.375	282.818	335.699	331.593	383.531	207.34900000000002
19.0205	27.7676	27.0198	26.4368	25.8646	16.6788
11.5899	8.4902	6.15344	17.2443	6.6988199999999996	4.8597
53.0779	44.5221	40.3354	61.687	44.4458	36.603
88.5278	74.9638	72.0304	94.0799	80.6549	89.9345
513.341	614.607	470.967	503.213	447.548	630.279
71.8017	66.3516	86.6053	74.5002	79.0649	73.1105
71.9342	69.4543	69.9704	69.8286	75.6239	71.5589
15.9133	14.6646	27.5202	16.9536	23.2443	28.9789
43.9715	42.4015	33.0362	47.6358	33.246	31.1467
0.0	0.0	0.0	0.0	0.0	0.482079
250.28400000000002	251.799	240.243	257.682	253.738	254.137
880.49	872.586	836.559	995.83	900.995	764.578
175.261	158.892	142.553	167.433	152.905	169.24
308.878	320.606	378.717	325.47700000000003	327.555	304.163
17.0256	13.3652	20.3248	17.7237	20.1254	19.8084
43.0521	37.4068	32.3487	31.2971	47.7929	35.6854
9.25232	14.0075	14.5032	16.1939	16.282	22.9078
44.0269	52.768	48.6446	58.1714	63.684	30.9104
159.57399999999998	155.458	151.907	183.774	145.942	161.416
104.73899999999999	64.2303	45.888999999999996	68.5711	63.4059	58.2334
72.9364	50.0201	81.2274	101.535	76.7915	72.0276
223.551	165.94099999999997	140.569	146.384	296.11400000000003	153.385
302.002	280.772	308.579	251.247	256.486	256.143
31.6268	10.5338	6.0729999999999995	18.2345	18.417	21.9253
0.859549	0.0	2.3578799999999998	2.47788	0.0	1.24143
2.309	0.998768	1.35727	1.42635	0.738783	0.952808
47.6827	26.2505	46.7146	44.6293	44.3825	47.4019
125.469	98.4938	96.4553	104.044	113.09899999999999	102.463
31.8615	22.8488	32.2003	35.7729	46.5721	36.329
51.2701	39.2229	50.8705	43.6324	42.7559	44.5077
549.2180000000001	808.294	872.182	423.282	785.75	877.4010000000001
114.117	91.906	112.566	112.662	93.9498	108.749
102.2	112.874	95.3654	123.161	106.945	91.95100000000001
