rM1	rM2	rM3	rM4	rM5	rM6
62.1677	54.4958	51.4529	48.4161	49.4635	42.4618
0.0	0.436431	0.0	0.0	0.0	0.0
100.331	78.7451	80.4175	59.0279	109.52	97.0023
11.9386	8.50305	9.35161	6.9545699999999995	9.7392	17.7261
161.653	70.2411	69.3158	91.848	74.1562	111.929
0.690096	0.0	0.540558	0.0	0.6928770000000001	0.0
0.0	0.0	0.0	0.0	1.83253	0.0
601.701	630.039	564.071	515.163	630.3919999999999	584.104
37.7403	17.5753	19.4003	29.8365	29.6034	29.351999999999997
24.0662	11.6703	16.4447	15.3402	16.4515	13.3228
2.15289	0.0	1.12425	0.47776	0.0	0.811822
0.95183	0.0	0.0	1.26736	0.955666	0.0
654.924	521.911	699.557	673.84	508.11699999999996	875.592
69.9981	27.9528	34.1165	52.8145	43.7299	62.4686
0.658512	0.0	1.03164	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
0.20747600000000002	0.0	0.0	0.0	0.0	0.234708
29.7963	19.2458	20.2687	16.7047	16.5328	21.2888
0.588086	1.03102	0.690979	1.56606	0.29522800000000005	1.6631799999999999
698.507	462.286	374.36400000000003	406.795	406.029	719.918
14.1737	3.3885300000000003	4.03724	12.0096	7.762289999999999	16.0341
97.3177	72.5698	83.8184	93.5189	66.3189	76.715
0.0	0.744121	0.831168	0.282569	0.213075	0.48014799999999996
25.765	20.0406	31.2679	24.6423	16.3957	45.5675
0.0	0.0	0.570184	0.0	0.0	0.0
209.287	126.12899999999999	133.19799999999998	139.332	157.59799999999998	221.959
50.9922	45.7389	33.4404	36.3163	44.0538	53.6605
70.1878	22.5596	16.4936	3.11515	23.4902	60.8734
64.3768	51.1267	43.1	41.7597	37.5664	49.7959
1722.22	1268.14	1300.24	1533.96	1278.11	988.2280000000001
30.8325	30.3036	21.9558	22.3927	25.3282	15.8542
1.14802	0.0	0.8992530000000001	1.5285799999999998	2.88161	1.2987
201.168	68.5978	83.5286	115.866	77.1037	107.884
3.16811	2.77714	3.72241	4.218319999999999	5.56653	7.167860000000001
135.791	79.1749	86.98299999999999	91.844	98.7599	122.12100000000001
44.316	14.9412	26.0348	24.9643	8.55665	21.2099
29.5574	18.8552	23.611	19.4829	19.9802	22.843000000000004
198.84	149.22299999999998	180.965	142.85299999999998	175.225	195.81
657.76	914.779	1087.43	842.118	809.638	962.312
4780.81	4213.19	5258.61	4987.26	4993.29	5260.37
159.768	143.328	141.005	150.529	143.839	119.083
24.7246	22.1231	23.7065	20.3534	19.777	21.1224
0.0	0.0997195	0.267323	0.0	0.11421600000000001	0.257378
2.43357	2.66657	5.718719999999999	4.86043	5.4976	2.06474
10.4855	5.74472	7.1867399999999995	6.39899	3.50927	5.9309
2.66454	0.0	0.0	0.0	0.0	0.0
23.0216	28.4363	27.8692	30.6531	30.4689	21.3081
9.7907	17.1649	8.12027	9.202069999999999	12.7214	5.21212
27.623	18.0799	15.2904	14.2215	20.7083	14.165999999999999
127.12700000000001	97.2558	121.306	104.639	112.555	84.9805
114.105	82.9657	90.7656	64.7767	51.51	82.0522
136.874	104.15299999999999	116.859	128.69299999999998	113.113	134.178
263.459	225.99099999999999	205.484	199.486	218.542	195.708
20.2505	28.9629	20.0367	15.6104	21.4022	16.8799
53.4984	49.922	53.3961	29.8718	58.9122	46.3663
0.0	0.0	0.0	0.0	0.0	0.0
191.847	185.53099999999998	183.239	171.394	237.979	217.02700000000002
927.929	1502.78	1093.32	1373.19	1425.4	1260.98
47.0896	42.6544	68.8534	45.9797	31.5196	47.9432
151.395	36.3377	80.471	71.9932	48.8586	132.52700000000002
13.8421	11.0695	8.369760000000001	15.1972	12.9226	12.3623
119.95200000000001	58.1354	53.7558	48.3754	37.0571	71.1101
4.07221	7.13935	8.77196	4.0666	10.2216	8.06173
20.7232	17.753	22.1355	22.5759	15.605	15.4512
94.7838	38.9555	48.6853	45.5162	39.9384	61.8738
52.1398	28.4342	29.6431	35.1918	21.9532	46.7517
44.1738	40.406	42.1239	42.1949	42.4235	44.54
4.76967	1.25432	2.9889	2.54031	1.4366700000000001	6.47484
245.09900000000002	102.63600000000001	136.34799999999998	118.48299999999999	108.15299999999999	174.838
22.410999999999998	10.2497	12.212	15.5687	29.3495	37.4776
1.32409	1.16069	0.0	0.0	1.32943	0.0
3.04877	0.0	0.7960430000000001	0.676569	2.0407	1.7244599999999999
17.1708	10.0345	14.1973	11.4314	13.4089	19.4245
76.3568	49.7821	47.8488	54.6469	44.0821	61.0051
34.615	15.3981	22.258000000000003	14.446	21.7864	61.9521
175.183	139.202	168.813	196.33599999999998	178.419	178.69099999999997
1.72662	0.0	0.0	0.0	0.0	0.651081
185.826	147.062	170.396	167.801	201.485	133.031
46.4561	35.0671	39.422	29.2098	33.6869	43.7947
27.3958	10.8067	12.3391	15.9588	12.7216	17.0454
36.195	13.2492	20.7187	39.455	25.7581	35.0963
517.701	871.472	653.957	1088.89	1038.15	717.584
0.0	0.0	0.0	0.0	0.0	0.5339649999999999
59.8716	13.544	33.2824	25.7157	62.052	37.1422
44.9746	27.5675	31.7856	19.8111	24.7848	30.9856
76.8446	41.8106	34.0402	49.395	39.9074	40.168
11.1475	7.600289999999999	9.21702	11.5444	8.70519	11.2094
84.931	74.4499	84.0729	70.8335	77.7767	67.5717
167.86599999999999	108.027	121.055	78.0519	111.024	105.499
14.0376	11.1866	10.9957	11.8942	4.48449	9.38365
161.31799999999998	123.976	103.859	87.2907	106.5	91.6624
110.87100000000001	74.0099	82.4858	72.8855	109.921	67.697
112.152	48.5843	68.441	55.5645	55.6473	71.5501
0.0	0.0	0.0	0.0	2.35221	0.0
7.46992	3.2740400000000003	7.52305	7.1044	6.96431	2.41439
30.4459	24.6129	27.8233	30.1787	27.8514	24.8748
9.672939999999999	3.75043	6.55693	6.687410000000001	3.5485900000000004	9.4695
11.7457	2.57405	0.0	3.9098300000000004	2.94826	9.965530000000001
0.256861	0.450325	1.8108099999999998	0.342009	2.06317	2.03402
99.6942	58.5708	58.9839	62.1347	64.9559	61.7887
101.367	65.7547	70.9322	70.1842	71.2429	84.0927
2292.48	985.91	1627.84	1504.21	1656.15	3468.03
22.5442	11.6248	11.4265	8.828660000000001	11.9833	28.5035
200.268	139.903	150.597	124.713	153.436	172.18099999999998
48.9987	28.6346	42.0364	18.6404	28.1121	31.6742
28.6219	24.4626	33.0693	22.866	18.6792	24.6887
1.7837	4.69073	2.7943700000000002	4.74996	7.163539999999999	6.05344
4.111000000000001	3.6036699999999997	3.22018	16.4213	24.7654	27.9035
435.901	389.551	509.95	335.425	380.819	608.387
0.0	0.0	2.43836	0.0	0.0	1.17382
8.540569999999999	3.7433	6.13242	4.264390000000001	5.359369999999999	6.8436
146.482	88.7909	100.09299999999999	85.0707	82.9238	104.008
0.570972	1.50153	0.0	0.0	0.0	0.645914
53.5205	27.3335	19.3211	20.4492	16.3545	71.0749
40.4447	13.5368	26.4966	30.3528	20.673000000000002	38.2663
26.9784	28.3789	21.9777	28.7373	36.8385	12.2078
4.79132	1.52729	3.07071	0.579965	0.43733	1.47824
112.428	101.618	101.755	64.3777	80.1282	52.0601
0.573628	0.0	0.0	0.0	0.0	0.0
34.3606	10.0401	8.97165	20.9692	28.7492	32.3921
3.4473300000000004	3.0219099999999997	2.3145599999999997	0.0	2.4723	3.34269
308.806	185.87400000000002	190.81	205.02599999999998	283.438	271.284
71.8832	49.9107	46.2719	41.6963	38.5875	55.5539
16.9623	8.6736	15.5012	7.528389999999999	7.80571	16.7901
10.87	9.5286	8.5146	5.3323	7.46736	6.47198
453.275	378.38599999999997	336.36699999999996	268.01599999999996	404.95	251.324
21.8052	6.24141	6.9715300000000004	11.8504	13.8507	16.1092
0.0	0.0	0.0	0.0	0.0	0.440515
3.2888	1.44147	3.8642199999999995	6.5685199999999995	1.65103	5.58069
119.684	114.171	99.9537	141.782	152.859	110.505
122.016	57.7235	62.9588	97.9937	103.06200000000001	87.6385
119.55	82.8431	92.53399999999999	86.8253	130.469	122.946
30.9935	13.3374	16.3321	11.2548	20.9342	25.4993
14.7574	2.7720599999999997	6.6055	4.21059	5.29175	5.962280000000001
405.265	355.80400000000003	351.408	317.072	358.954	411.546
38.9443	34.3675	26.206	18.7928	21.7812	37.2553
76.4631	54.7991	57.4661	59.1599	66.3967	63.121
206.14	165.75599999999997	157.222	166.12900000000002	203.081	172.706
651.554	360.537	318.98	450.037	400.685	331.68300000000005
99.9622	103.55799999999999	56.9464	82.2794	67.5183	96.6341
4.19592	0.919528	3.2867	4.19013	5.266030000000001	15.4266
18.5373	9.28554	0.0	10.5781	5.31772	23.9662
1.1211799999999998	1.96564	0.439116	1.49285	3.93995	1.26834
1.0302	2.7092099999999997	0.806967	2.74342	2.06871	0.0
47.6465	47.7333	61.3147	53.8745	56.571000000000005	56.8947
7.3535699999999995	8.16505	2.6880599999999997	5.22199	4.92214	14.4192
49.4845	22.7812	23.7032	40.7655	21.4463	35.843
106.92200000000001	108.006	94.8762	148.483	117.417	125.208
0.0	1.28158	0.5725979999999999	0.9733200000000001	2.2018299999999997	0.826945
1398.14	1741.74	2023.52	1385.19	1772.54	2072.11
89.4481	100.38799999999999	102.444	73.0838	90.4889	87.39
2.23077	0.48886999999999997	2.62108	2.9702599999999997	2.7997	1.89268
59.9643	40.9692	37.9909	55.185	33.6445	61.8494
5.352469999999999	1.95498	3.66856	4.45424	4.25445	2.77521
40.2031	38.0241	41.4362	47.8955	52.0498	41.8894
229.72400000000002	125.913	169.541	164.4	164.96099999999998	161.379
18.9738	0.0	0.0	2.1053	1.58752	0.0
23.0557	15.7193	18.0598	10.2329	10.2883	17.3879
207.033	111.29899999999999	134.093	99.0249	82.4071	161.444
3.3670400000000003	0.0	0.527487	1.1955200000000001	0.225374	0.507864
31.2085	25.3795	17.3772	22.0286	20.3861	19.1411
1.50665	2.6414400000000002	9.44137	4.01219	3.02544	5.1132
493.19599999999997	376.866	384.967	477.801	436.005	385.35400000000004
0.0	0.0	0.0	0.0	0.0	0.0
37.8914	33.6642	36.4992	51.8157	32.903	17.3776
3.5575900000000003	8.31617	26.0092	93.1593	19.0503	21.4642
0.0	0.0	0.25586	0.0	0.0	0.36951300000000004
0.0	0.0	0.0	0.0	0.0	0.0
92.5822	91.5617	115.289	76.9137	93.7498	136.065
74.5109	37.773	56.9587	61.7578	72.1072	66.3493
0.963515	0.281537	3.2705	0.0	0.967398	1.45331
11.4194	28.0286	26.8349	24.3279	22.9309	15.5019
22.4353	14.9466	18.2767	21.5082	9.9113	16.2432
22.3972	10.709000000000001	7.97451	8.133189999999999	4.08863	4.60671
249.891	198.753	258.177	241.65900000000002	233.595	225.421
42.8827	41.7216	37.6508	27.6079	38.7973	39.9818
1.13668	0.747306	6.90039	3.02697	1.7118900000000001	2.57175
18.2166	13.1914	13.6488	9.49121	19.0853	16.1277
41.2302	17.7023	34.9324	17.9258	11.8275	32.3637
30.5596	23.1822	31.7634	31.3	20.6519	34.5707
168.988	141.69299999999998	132.37	141.852	110.654	149.61
1913.8	1127.2	851.534	1488.28	1097.16	1428.41
21.0386	28.9354	29.2658	30.4277	31.6851	35.7
143.885	126.12899999999999	0.0	0.0	0.0	0.0
1.9422	0.0	1.52135	0.0	0.0	0.0
100.88	68.7013	86.2613	105.156	80.5048	80.2485
0.0	0.0	0.532891	0.0	0.683049	3.8480000000000003
0.0	0.0	0.0	0.0	0.0	0.0
7.34523	6.43878	8.4386	5.86808	3.44159	5.539540000000001
2.92152	0.0	2.28845	1.9449900000000002	2.19997	0.8262450000000001
9.75491	8.55109	9.55139	17.8593	8.569939999999999	23.45
759.515	792.877	716.245	734.885	1078.52	855.4760000000001
2.0555	0.0	1.28807	0.547377	0.0	0.9301159999999999
104.721	79.4834	106.37100000000001	99.7586	105.14299999999999	106.427
131.116	84.1242	85.9992	106.74600000000001	111.025	109.01
44.87	9.22892	22.1878	27.7026	21.3929	32.6108
15.8405	18.7714	17.9227	10.9364	11.780999999999999	12.2783
151.494	130.98	145.489	136.778	144.812	149.076
191.791	121.154	235.35	166.69	132.231	169.37900000000002
1.71632	0.0	0.0	0.0	0.0	1.9415900000000001
