	Human_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)
KMT2E	78.44549380779657	104.54329308799765	117.0112131042058
RHBDD2	117.73247875621794	105.02795154631848	77.23956969746358
SOX8	117.1506965185933	103.63927242895288	79.21003105245381
IBTK	98.54821176839204	113.5569960440778	87.89479218753019
MYCBP2	63.29997740168204	103.05186008587359	133.64816251244434
FBXL3	75.6212153083298	94.52365263163178	129.85513206003841
ITGAL	29.12681368775834	220.8395476536728	50.033638658568854
PDK2	89.80995394177883	94.44528909359208	115.74475696462908
ITGA3	98.09021353799878	114.06879087562791	87.84099558637328
ZFX	81.11410310074008	95.25695536717022	123.62894153208967
LAMP2	128.71164325287444	104.68493859458947	66.60341815253611
ITGA2B	105.21869282877223	152.80710109467	41.974206076557756
ASB4	218.27256177312736	81.72743822687264	0.0
GDE1	90.36994020143348	109.31812376543195	100.3119360331346
C19orf60	119.41136814447646	105.67305240686082	74.91557944866271
CRLF1	154.34855079436554	126.17216169037222	19.47928751526223
OSBPL7	92.06511559684417	101.59432891416562	106.34055548899022
TMEM98	138.59316981317016	116.84456565839241	44.56226452843744
YBX2	241.46855434222405	58.53144565777595	0.0
MAP3K14	62.06509170295461	90.12152109105136	147.81338720599405
ABCC8	90.16327278448892	62.36550976389618	147.47121745161488
CACNG3	96.34482348699103	104.77445896225048	98.88071755075848
TMEM132A	121.88770839719247	90.07602828331109	88.03626331949647
AP2B1	76.77634797911233	115.83698070323187	107.3866713176558
TAC1	62.06663088044482	63.41829901787239	174.51507010168277
ZNF263	98.88313740362791	91.91162483219442	109.20523776417768
CX3CL1	138.12928989446095	161.87071010553902	0.0
SPATA20	132.1087773566853	120.01824418822852	47.87297845508615
CACNA1G	56.86186483864915	94.96413464775311	148.17400051359772
TNFRSF12A	88.53773800225461	159.1399618283437	52.3223001694017
DLX6	71.29371975866957	94.37262817939416	134.33365206193625
MAP3K9	52.24198984292092	82.63897437259347	165.11903578448562
RALA	97.3179797239114	102.96260260993716	99.71941766615147
BAIAP2L1	153.4937980708816	65.17964914311328	81.3265527860051
KDM7A	61.035207140419146	82.24125411190963	156.72353874767126
ETV1	108.1398714553486	68.75540837299054	123.10472017166087
AGK	67.24698740000886	131.6308362190017	101.12217638098943
TTC22	9.218141757475747	24.61954848308525	266.16230975943904
PHTF2	82.5408728030146	126.06955450611119	91.3895726908742
CCL26	0.0	164.48524492023802	135.51475507976193
FARP2	103.84199326420789	91.44918358635384	104.70882314943826
USH1C	139.84354336308402	103.6571610169293	56.49929561998669
GGCT	115.20029042443969	79.04050884596326	105.75920072959704
DBF4	56.45020121097421	94.82545518578075	148.72434360324505
TBXA2R	300.0	0.0	0.0
IFRD1	102.73873904041547	110.00352496290624	87.25773599667829
COX10	55.62220420625882	100.44914942263003	143.92864637111114
GTF2IRD1	101.62741036668292	88.68205205284644	109.69053758047065
PAF1	124.0253368103946	88.84695034989186	87.12771283971351
VPS41	67.66102960194758	152.54901947205883	79.78995092599357
ARHGAP44	67.78347652133932	91.97744565387545	140.2390778247852
ELAC2	140.9567342185733	74.04256472956344	85.00070105186322
SCIN	30.58978234630137	10.529523322370576	258.880694331328
PNPLA4	219.96250009861842	55.75308530220619	24.284414599175424
MYH13	51.79423928295003	34.60544632503595	213.60031439201398
ADIPOR2	121.99890391800248	118.89482883810554	59.106267243892006
CDKL3	137.76687187518917	107.80145984804277	54.43166827676812
PRSS21	0.0	26.45736815999929	273.5426318400008
MARK4	92.31764778289305	110.22260018094248	97.45975203616452
PROM1	95.88356545501556	90.22739569251146	113.88903885247296
CCDC124	119.16152455546431	106.10214501570464	74.73633042883104
PAFAH1B1	59.07080010096969	118.5183676941679	122.41083220486246
NOS2	217.40335436064095	78.82755559669732	3.769090042661792
DNAH9	88.15837372854405	48.14556610353113	163.69606016792474
KIAA0100	83.77606595686073	102.70656814076355	113.51736590237569
SLC13A2	45.217720892687055	254.78227910731292	0.0
GAS7	62.62942737673784	112.78685616164317	124.58371646161903
TRAPPC6A	300.0	0.0	0.0
MATK	135.30187210032102	69.5573236868248	95.14080421285414
CD79B	138.7921601615802	105.47727995190654	55.730559886513284
SCN4A	130.23006251492328	103.54291931667716	66.22701816839957
ST7L	82.13581926221474	92.06169315124572	125.80248758653956
TKTL1	0.0	0.0	300.0
PAX6	97.94980571937664	50.21219746579413	151.83799681482924
RPUSD1	70.80170327338709	90.92961851943986	138.26867820717308
RHBDF1	109.23675547905364	92.97591704787253	97.78732747307389
LUC7L	121.31803519660282	104.51118515302855	74.17077965036863
CACNA2D2	63.200540103321416	94.95119567872966	141.84826421794895
BAIAP3	202.041797369074	46.99213571323249	50.966066917693574
TSR3	135.49649728447844	86.33723465217604	78.16626806334558
PIGQ	116.69829474675859	111.6796186844795	71.62208656876189
CRAMP1L	67.33611550448005	104.98199162508499	127.68189287043495
TEAD3	138.1652186323658	116.43846002890123	45.39632133873298
SELE	13.322995434703586	266.0529087887189	20.624095776577462
DNAJC11	84.27415498112906	109.91992971934962	105.8059152995213
FMO3	89.20223982925228	12.78871123399568	198.009048936752
MYLIP	105.11445321981367	89.69940375760673	105.1861430225796
NOX1	51.69110469619286	208.10295845629366	40.20593684751345
PSMB1	100.86111300688296	97.061589275662	102.07729771745508
SYN1	93.07872736485956	88.89338594809686	118.0278866870436
JARID2	79.73282863240688	93.30983566575163	126.95733570184152
CDKL5	60.55219766776092	106.27200398417808	133.17579834806097
CAMK1G	74.031408318902	136.53303789435185	89.43555378674611
CDK11A	80.68005882546171	82.39694529726957	136.9229958772687
NADK	67.07765335477919	76.47736154094316	156.44498510427763
TFAP2B	0.0	0.0	300.0
DLEC1	41.401617766331775	210.10655207645942	48.49183015720884
CYTH3	96.50704603568573	96.15768007860054	107.33527388571372
ADAM22	54.59799493304934	88.07989117258015	157.3221138943705
SYPL1	125.19828726999943	91.6710593626668	83.13065336733378
CYB561	107.76296925889271	107.70734284483501	84.52968789627228
