	Human_Muscle_Relative_Gene_Expression_Difference(RPKM)	Chimp_Muscle_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Muscle_Relative_Gene_Expression_Difference(RPKM)	Human_Kidney_Relative_Gene_Expression_Difference(RPKM)	Chimp_Kidney_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Kidney_Relative_Gene_Expression_Difference(RPKM)	Human_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Human_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Human_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)
B4GALT7	86.92203649834707	85.12255213091775	127.95541137073518	103.1479893838158	107.8738737791428	88.97813683704136	78.25694499522042	100.84977103952649	120.89328396525312	84.62950188830726	108.57655464569451	106.79394346599818	85.56556651624759	108.3586919592808	106.0757415244716
SH2D2A	132.4807749933575	129.02791371645546	38.49131129018704	179.6212323418298	83.13923356100923	37.23953409716098	124.67530985477504	138.69644645334802	36.628243691876975	226.89476695887785	73.1052330411222	0.0	134.3990212209425	133.70881323039282	31.892165548664725
VRK2	84.3099498844436	163.2640636742543	52.42598644130211	104.82507260771838	148.83289125968201	46.34203613259954	59.06239070371405	166.03071906885484	74.90689022743105	103.79121152302957	120.67491438720823	75.53387408976221	136.88528589283115	109.83245770174963	53.28225640541919
TNFRSF1B	133.18702373511235	69.16881356110214	97.64416270378553	78.87697543302552	157.77342986258284	63.34959470439168	63.51917994490089	130.22798795995718	106.25283209514191	92.07552689514144	109.4260184349999	98.49845466985863	71.00385715109951	170.61497346435166	58.38116938454889
VEZT	85.00396717210926	128.41222646990144	86.58380635798927	121.58624915790328	130.33029580406654	48.08345503803022	108.79347295756492	124.61358317878657	66.59294386364854	119.67326070884603	110.15056228008488	70.176177011069	112.62632221351392	110.14534277138894	77.22833501509716
POU2F2	133.67426247306534	126.3167964809723	40.008941045962395	84.63914248228043	151.51376065719649	63.84709686052307	92.61282893902096	104.61555053670666	102.77162052427231	69.14626578508607	130.58205752537702	100.27167668953692	84.04290296943995	155.88705919308254	60.07003783747752
BRD9	69.1215482475231	91.27377532017296	139.6046764323039	82.22826293377753	66.51662444894225	151.25511261728022	75.09674895045949	91.18694535065941	133.71630569888106	93.75272340608237	99.86491449075847	106.38236210315924	84.05012502630504	81.26609249470805	134.68378247898693
SNX1	121.16584178896441	101.43450565527512	77.39965255576045	66.1022211510424	102.52702526354041	131.37075358541716	63.61913156955777	119.61740449740927	116.76346393303301	79.9215515529279	116.23088439739062	103.84756404968147	93.08959627041976	109.05483918766667	97.85556454191358
TBPL1	117.91046554590716	132.49791038855182	49.59162406554106	115.40848865390076	116.34194780993667	68.24956353616255	133.73306524662416	131.85112691681064	34.4158078365652	120.07818701657251	139.5474444551318	40.37436852829571	103.49649733109716	147.3625498277425	49.14095284116034
ARNTL2	49.54753662008513	26.248552124630205	224.20391125528468	94.93918048551559	81.99976717905075	123.06105233543363	88.34140270247298	119.96422880634591	91.69436849118112	94.15427608546348	108.28704134043394	97.55868257410256	68.73787408427334	109.76090397907865	121.50122193664802
