	Human_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)
AC004381.6	86.68520519088696	89.11606072762768	124.19873408148536
CIAPIN1	104.73748752563532	88.88570365291365	106.37680882145106
SPPL2B	97.89042322893059	60.188200349193934	141.92137642187546
FAM214B	80.92330814610564	142.52513298737875	76.55155886651556
COPZ2	60.360058233301	39.92727089285673	199.71267087384228
PRKAR2B	95.40252914270184	116.31769599295805	88.27977486434013
MSL3	105.35264833650906	114.94769125219663	79.69966041129432
CREBBP	86.92894752628797	119.95514494586732	93.11590752784473
BZRAP1	78.67877474732217	120.14685605224842	101.17436920042944
MPO	60.98780293745559	217.44721610875754	21.564980953786854
PON1	182.69697981919103	117.30302018080904	0.0
GCFC2	137.2127319859635	115.48281128921951	47.304456724816966
WDR54	71.65884042178907	100.4594789188748	127.88168065933615
CROT	132.49850722125387	107.87039382644564	59.631098952300555
ABCB4	44.67931785652904	81.31841805363081	174.00226408984014
KMT2E	85.38293464783622	111.63735748631566	102.97970786584814
RHBDD2	100.63366590035565	93.3835401774489	105.9827939221955
SOX8	62.968256365252	109.73260305654628	127.29914057820176
IBTK	105.23221546070486	107.47402207580241	87.29376246349274
MYCBP2	84.34287295876005	107.48250365742753	108.17462338381243
FBXL3	83.12296941199972	114.07254941489585	102.8044811731045
ITGAL	92.62987605973775	156.55022366496917	50.819900275293065
PDK2	104.57238710562109	102.94538170508474	92.48223118929421
ITGA3	132.9134930688653	86.97497524542764	80.11153168570704
ZFX	77.31690380319237	132.34904386497107	90.33405233183657
LAMP2	78.2188715212396	114.55880743932892	107.22232103943143
ITGA2B	61.255087854846714	147.89609301014167	90.84881913501161
ASB4	153.85388220948857	146.14611779051143	0.0
GDE1	86.67541653024333	104.57380816963209	108.75077530012463
C19orf60	125.48482390024473	69.85690686540576	104.6582692343495
CRLF1	32.98061279912587	182.72705079360446	84.2923364072696
OSBPL7	94.58113203078396	86.46752927627539	118.95133869294068
TMEM98	68.82065587336331	192.9041796779974	38.27516444863929
YBX2	179.25881547415267	96.90795104416297	23.83323348168437
MAP3K14	71.77152650982053	109.37606464714251	118.85240884303687
ABCC8	130.21128348790816	92.13853748503068	77.65017902706116
CACNG3	29.472331969121964	120.44804166385703	150.07962636702098
TMEM132A	62.13302799435454	59.541443428931615	178.32552857671385
AP2B1	80.86786995194983	119.13684982115431	99.99528022689586
TAC1	101.8432727400784	0.0	198.15672725992158
ZNF263	100.19878265691828	99.68449057008232	100.11672677299941
CX3CL1	30.259610900985166	269.7403890990148	0.0
SPATA20	113.42894555025165	104.92313300235985	81.64792144738853
CACNA1G	47.3749689843067	86.73341907947233	165.89161193622093
TNFRSF12A	120.28767329635406	87.74740156617703	91.96492513746894
DLX6	0.0	156.27161763598585	143.72838236401415
MAP3K9	63.07827801246263	119.872120873153	117.04960111438436
RALA	77.69287981857414	127.91433932050909	94.39278086091679
BAIAP2L1	130.65255981536416	115.23976183023944	54.10767835439641
KDM7A	64.2153361359531	103.85802352708002	131.92664033696684
ETV1	105.62020459914936	114.35250350158258	80.02729189926809
AGK	97.9178110457832	110.3231608647825	91.75902808943428
TTC22	0.0	76.85717419196277	223.14282580803723
PHTF2	86.748644032997	130.05267867463374	83.19867729236928
CCL26	0.0	0.0	300.0
FARP2	118.49439148370749	108.7196108802126	72.78599763607991
USH1C	40.250083386207294	174.39748763000097	85.35242898379174
GGCT	135.5070334948648	70.72881523626245	93.76415126887277
DBF4	94.30736854012552	119.65023531158461	86.0423961482899
TBXA2R	110.77947115359036	85.90127183500022	103.31925701140945
IFRD1	121.27570482312622	106.64756199835108	72.07673317852269
COX10	82.09941450591465	105.05461001911816	112.84597547496713
