	Human_Muscle_Relative_Gene_Expression_Difference(RPKM)	Chimp_Muscle_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Muscle_Relative_Gene_Expression_Difference(RPKM)
FAM214B	59.846802201422314	124.51018117115606	115.64301662742163
COPZ2	116.58384877390426	66.24489086096862	117.17126036512713
PRKAR2B	214.7847430790353	58.563343542977954	26.65191337798673
MSL3	71.42258231009427	174.78854988434293	53.78886780556279
CREBBP	85.97442986516366	127.65209800576345	86.3734721290729
BZRAP1	188.4148093555128	62.25603318161607	49.32915746287123
MPO	25.12703955777955	265.045066269971	9.827894172249474
PON1	300.0	0.0	0.0
GCFC2	81.43115608025563	175.96367710551428	42.605166814230124
WDR54	67.8395928710599	63.50016884017261	168.66023828876752
CROT	79.76923177220797	115.02683238999015	105.2039358378019
ABCB4	162.36453416746656	63.5481046164782	74.08736121605521
KMT2E	79.13130344210879	123.72017029243551	97.14852626545569
RHBDD2	145.59897457430017	60.06335327788378	94.33767214781608
SOX8	118.14667011988311	99.12493520420263	82.72839467591429
IBTK	79.15587379869748	100.41651134372451	120.427614857578
MYCBP2	77.6032921146552	107.25630255244425	115.14040533290056
FBXL3	75.95817856877606	129.5462805045582	94.49554092666574
ITGAL	105.10510750466746	142.1201440520157	52.77474844331687
PDK2	120.84986194932357	105.13910111820073	74.01103693247573
ITGA3	131.9892174706168	94.36610453258231	73.64467799680091
ZFX	65.71770208803218	152.90074371000847	81.38155420195933
LAMP2	83.80093008917808	143.71203071627795	72.48703919454394
ITGA2B	86.77847883160523	169.21037533496508	44.0111458334297
ASB4	86.78988487523473	99.11454104309873	114.09557408166656
GDE1	82.56061931667973	117.09726775724096	100.34211292607931
C19orf60	122.95310830476969	81.21450821355253	95.8323834816778
CRLF1	116.35243975922775	153.36462651311967	30.28293372765255
OSBPL7	121.21046636483801	131.53713621515428	47.25239742000772
TMEM98	165.85043735479152	104.40364547249683	29.745917172711657
YBX2	201.43454176742503	53.56506286991699	45.00039536265798
MAP3K14	50.7787397825465	114.08007545676782	135.1411847606857
ABCC8	105.31258298916207	170.90350192403724	23.78391508680067
CACNG3	95.55055924359152	152.98286928014036	51.46657147626812
TMEM132A	61.45383964486548	116.63040572982719	121.9157546253073
AP2B1	84.45019958936409	134.91678693244765	80.6330134781882
TAC1	0.0	300.0	0.0
ZNF263	91.90337568716991	90.6241188746582	117.4725054381719
CX3CL1	161.27295717320226	138.72704282679774	0.0
SPATA20	151.89519056762842	91.5782480460816	56.526561386289984
CACNA1G	83.05406875949106	82.27929249231559	134.66663874819332
TNFRSF12A	73.42496818999315	174.34704325617764	52.227988553829185
DLX6	0.0	300.0	0.0
MAP3K9	42.55715607797279	174.2230909795335	83.21975294249368
RALA	81.07524139484401	99.79898401082951	119.12577459432647
BAIAP2L1	154.16329313979824	140.03644551732984	5.800261342871967
KDM7A	40.871625686873244	172.06936034294552	87.05901397018127
ETV1	71.81960505089822	84.47098503746469	143.70940991163712
AGK	104.7029844244214	113.01644104977393	82.28057452580467
TTC22	211.0803838578923	0.0	88.9196161421077
PHTF2	47.62459886716743	83.06743038373952	169.30797074909307
CCL26	214.8093194350281	85.19068056497183	0.0
FARP2	81.6989487508845	148.4660557586289	69.83499549048662
USH1C	78.94922779564646	83.73828479033138	137.31248741402214
GGCT	111.26143113227471	61.521663596189434	127.21690527153584
DBF4	79.51368873979587	176.99070640392077	43.49560485628336
TBXA2R	148.23318327949406	121.67848774980241	30.08832897070356
IFRD1	164.32722143293387	85.33445192538332	50.33832664168284
COX10	98.90478203241341	115.77353823056549	85.32167973702111
GTF2IRD1	120.6863043724289	120.24423456740547	59.06946106016563
PAF1	120.84151524510548	97.05950441774114	82.09898033715342
VPS41	56.97344548045314	169.5097900369691	73.51676448257778
ARHGAP44	127.85825962081607	91.03561286283008	81.10612751635387
ELAC2	140.79121233141433	90.91982336321635	68.28896430536932
SCIN	269.07046197562556	21.198863827230653	9.730674197143804
PNPLA4	273.6850091515684	18.109286767318167	8.205704081113439
MYH13	2.2057005539882812	4.359631081159642	293.4346683648521
ADIPOR2	95.578109295128	100.79164475932049	103.63024594555145
CDKL3	126.04882785746668	87.32648981403595	86.6246823284974
PRSS21	85.57417759739195	34.10386285814308	180.32195954446505
MARK4	96.93987282717515	109.57099749824133	93.48912967458357
PROM1	26.668722037493737	190.28006315363248	83.05121480887382
CCDC124	71.96892289948363	168.16457519082346	59.86650190969293
PAFAH1B1	57.137160715387104	141.00796104612263	101.85487823849029
NOS2	123.17443096352498	140.4315568001541	36.394012236320904
DNAH9	188.2167663891655	34.52152752728197	77.26170608355248
KIAA0100	56.931342592074444	115.43565611602043	127.63300129190512
SLC13A2	0.0	60.20667818184787	239.79332181815215
GAS7	84.17624455994955	107.81759245208295	108.00616298796746
TRAPPC6A	131.39977306011684	0.0	168.60022693988316
MATK	159.61278930226527	64.08344976120723	76.30376093652751
CD79B	217.60637189725455	64.88567155604686	17.507956546698527
SCN4A	74.693458885425	89.87333089685204	135.433210217723
ST7L	79.29809760765157	92.79509879608518	127.90680359626327
TKTL1	190.98490661650868	32.239824206580714	76.77526917691058
