	Human_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)
MYCBP2	98.34057639296509	106.1673360410625	95.49208756597244
FBXL3	91.57883666788412	104.83084751422358	103.5903158178923
ITGAL	45.651099181504215	190.8105007194432	63.53840009905264
PDK2	99.54347423165171	94.30297156451144	106.15355420383683
ITGA3	115.96176157741895	112.73321096966708	71.30502745291393
ZFX	90.97664819518113	119.36147263750208	89.6618791673168
LAMP2	107.08329227644786	121.10452541564467	71.81218230790746
ITGA2B	73.4774561059892	181.55592903479044	44.96661485922038
ASB4	149.66980568739243	150.33019431260752	0.0
GDE1	105.53746579702515	104.79718177485526	89.66535242811959
C19orf60	93.98503385272264	71.18880791936488	134.82615822791246
CRLF1	138.54492386500453	154.01377774187497	7.441298393120498
OSBPL7	93.82637633135631	102.12078911765381	104.05283455098986
TMEM98	105.67288256335404	142.27841076057229	52.04870667607368
YBX2	238.4475759359133	46.63240845737581	14.920015606710885
MAP3K14	76.64033717582069	78.42886811247763	144.93079471170168
ABCC8	111.35464679835844	77.18590947943395	111.45944372220755
CACNG3	121.14245914533863	92.76730857026561	86.09023228439575
TMEM132A	106.55092880492043	67.0659250854768	126.38314610960273
AP2B1	108.30380600635416	117.99925679065213	73.69693720299372
TAC1	126.92732722207805	69.65322115262082	103.41945162530115
ZNF263	111.37274609088641	82.18093462164433	106.44631928746927
CX3CL1	169.0446169175825	130.9553830824175	0.0
SPATA20	141.98523115761	117.48560774771992	40.52916109467015
CACNA1G	99.66253575565308	78.2005740760288	122.13689016831817
TNFRSF12A	109.14024566559426	150.49507196150873	40.36468237289703
DLX6	80.40867194348073	101.90678482331796	117.6845432332013
MAP3K9	99.11851585093666	95.16998506514648	105.71149908391683
RALA	107.8980998865712	113.14515694957356	78.95674316385526
BAIAP2L1	124.3394912701596	146.89305472516327	28.767454004677113
KDM7A	77.9915950279513	86.65935161072069	135.349053361328
ETV1	94.31896115123331	109.80494121714224	95.87609763162443
AGK	95.6094768109054	129.9198654222583	74.47065776683633
TTC22	41.03088984535469	2.9559053548870287	256.01320479975817
PHTF2	95.71932266670984	136.64736477208658	67.63331256120361
CCL26	59.428539673872336	0.0	240.57146032612766
FARP2	95.4440728728648	87.85398077579438	116.7019463513408
USH1C	53.165842327039435	206.10199225521697	40.73216541774361
GGCT	160.56644686479595	64.1500430580307	75.28351007717335
DBF4	94.53396347284641	79.8766142962902	125.58942223086338
TBXA2R	240.75982508991603	30.553510865901227	28.68666404418281
IFRD1	132.505556209977	95.51435298616184	71.9800908038612
COX10	77.29201071114926	106.7229539284577	115.98503536039306
GTF2IRD1	93.94908503900315	98.89446900615442	107.15644595484244
PAF1	126.58872118080365	81.39922886322589	92.01204995597053
VPS41	89.96617954025797	157.1191240680771	52.91469639166494
ARHGAP44	92.44428685091009	79.63022545029197	127.92548769879792
ELAC2	160.120624908193	74.02452413279501	65.854850959012
SCIN	67.06016760333631	25.136978129726366	207.80285426693732
PNPLA4	216.5200841603224	52.875804622548884	30.60411121712872
MYH13	48.28954359239316	68.54623719495864	183.16421921264816
ADIPOR2	90.80281203510886	136.72614882801938	72.47103913687174
CDKL3	124.21874370075408	107.5847558237692	68.19650047547673
PRSS21	16.22810596870704	27.538069500106584	256.23382453118643
MARK4	97.39769270709353	101.47294600995431	101.1293612829522
PROM1	93.81699396918873	120.69854344644622	85.48446258436506
CCDC124	98.93813538695808	85.814886699077	115.24697791396494
PAFAH1B1	88.58301068407897	127.49354310519753	83.92344621072348
