	Human_Kidney_Relative_Gene_Expression_Difference(RPKM)	Chimp_Kidney_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Kidney_Relative_Gene_Expression_Difference(RPKM)
MMP25	194.70770348702055	62.55609216218229	42.736204350797145
PKD1	133.40032680947678	79.87566614418358	86.72400704633966
MAPK8IP2	158.97018788935398	19.804955194652806	121.2248569159932
MED24	103.75803637954326	132.41895741874072	63.82300620171601
RHOBTB2	176.1732332852897	70.86513050063597	52.9616362140743
HEATR5B	110.23847196905308	71.40438937384515	118.35713865710179
SEC62	93.27954914632248	110.33437748213049	96.386073371547
RPS20	185.8230860281347	94.59843375351484	19.578480218350467
CSDE1	82.67848612372	104.40040348736379	112.92111038891619
UBE3C	98.14732662287497	109.63390156105008	92.21877181607492
REV3L	83.41152045321247	139.50378625789034	77.08469328889718
TENM1	136.98266397679626	153.2245917175157	9.792744305688041
MASP2	98.20008156332196	47.44392072643737	154.3559977102407
FAM76A	97.40258083416413	101.39481754135619	101.20260162447966
TRAF3IP3	95.42177788688471	121.86172403704727	82.71649807606795
POMT2	79.82817001798962	73.86167936665757	146.31015061535282
VTA1	85.93262671555239	109.85577213555828	104.21160114888934
MLXIPL	33.36886448236593	66.88666883800767	199.74446667962638
BAZ1B	86.37287846376671	126.61839896548285	87.00872257075044
RANBP9	104.06495833088596	122.79206968665864	73.14297198245538
SPRTN	86.06543009437881	105.00213457243903	108.93243533318216
METTL13	115.51988831488518	98.13542267868928	86.34468900642558
DYRK4	132.8852087008795	166.84865950968353	0.2661317894369761
ZNF207	105.99201039715138	115.15695780131483	78.85103180153376
UQCRC1	92.18441179125608	90.87110648143748	116.94448172730645
STARD3NL	75.68500246418843	79.65486091857042	144.66013661724116
CD9	125.21977147369492	127.84579582025108	46.93443270605399
NCAPD2	105.76617217787631	149.18314985729026	45.050677964833454
IFFO1	142.74475103923402	67.26114488485418	89.99410407591176
PHF7	115.65821280032722	30.342789206607478	153.9989979930653
SEMA3G	82.01391944490229	110.01019343778975	107.97588711730795
NISCH	112.7801476655999	82.64110535255054	104.57874698184963
STAB1	98.98579991110242	100.70882822337317	100.30537186552446
FUZ	101.89497679844285	89.62951012783051	108.47551307372665
SLC6A13	123.3717924899214	66.87791942447502	109.75028808560361
IDS	86.91496505725827	94.2747364409249	118.81029850181679
CD4	80.27687366650844	155.4825303141883	64.24059601930327
LRRC23	120.27465454229709	176.49094262647455	3.234402831228388
BTK	154.83065790141234	109.19661950707915	35.972722591508486
HFE	78.76474662596303	77.29715322716567	143.9381001468713
SCMH1	94.43407009832421	92.7324644739288	112.83346542774699
FYN	159.9696504880337	91.10928727428829	48.92106223767804
HIVEP2	97.99292738923671	130.34991502376155	71.65715758700172
FMO1	68.88975971560849	66.68890200470683	164.4213382796846
TCEB3	69.85063467620859	115.66026672895238	114.48909859483905
LYPLA2	63.69339774732127	119.16866594533569	117.13793630734308
CLCN6	103.0380375023299	81.29184240419977	115.67012009347033
MRC2	96.79849431484637	119.04620730671908	84.15529837843455
NME2	155.2691446434073	40.93173637805023	103.79911897854248
