cP1	cP2	cP3	cP4	cP5	cP6
137.499	179.019	111.03200000000001	123.28299999999999	190.24900000000002	95.3241
8.952760000000001	14.9167	13.1922	14.1247	17.0795	13.1262
1.3066799999999998	1.34775	1.19193	1.48888	0.0	0.0
4.10606	4.23511	0.0	0.0	0.0	2.44568
134.735	153.136	133.046	143.089	159.069	148.816
16.2911	7.413139999999999	5.24489	5.45964	13.4165	11.4158
480.904	462.95099999999996	268.079	590.582	470.228	477.4
912.9910000000001	921.003	1086.03	752.8660000000001	1068.17	1056.17
4.9084900000000005	4.6733199999999995	5.8551400000000005	4.30227	3.02068	4.947690000000001
2.5823400000000003	3.68793	1.7213900000000002	1.47122	1.58917	2.1297
174.205	171.143	144.51	184.898	184.02700000000002	156.846
1.50366	0.775462	0.0	0.0	0.601479	0.0
268.88599999999997	317.782	416.455	259.572	286.072	294.732
0.0	0.0	0.0	0.0	0.0	0.0
80.6213	95.9484	56.5705	70.6642	89.3057	125.59200000000001
0.0	8.313369999999999	0.0	0.0	0.0	2.4003900000000002
0.0	0.0	0.0	0.0	0.0	0.0
28.9397	22.1956	23.014	22.8289	20.7777	24.750999999999998
0.7838350000000001	0.0	0.0	0.0	0.0	0.0
69.4594	68.5276	62.4417	34.4109	42.6833	16.7886
42.5444	46.806999999999995	33.634	64.6359	34.0363	54.06
33.8985	29.8222	27.2839	22.1528	21.1372	11.2831
195.017	158.403	130.083	179.157	167.718	197.468
26.1059	22.8467	24.1743	23.4364	30.061999999999998	24.0309
41.0121	79.6739	43.9485	47.6384	42.3669	36.049
103.331	111.01899999999999	76.5839	105.475	101.611	94.8846
85.2663	69.8639	32.7107	78.0881	67.5771	40.8195
38.8534	29.9064	30.6807	26.4306	32.0113	23.4876
3.2524900000000003	10.0641	8.90064	9.26507	2.60205	3.87455
0.690263	0.0	1.2593	2.35955	0.0	0.8222799999999999
112.641	112.838	104.96799999999999	117.26799999999999	130.31	83.0208
0.0	1.06701	0.0	0.0	0.0	0.0
23.1848	29.8919	25.5549	24.2163	23.9582	27.619
0.0	0.0	0.0	0.0	0.0	1.13975
0.0	0.0	0.0	0.0	0.0	0.0
414.244	366.226	353.48900000000003	408.92800000000005	349.72900000000004	325.19
689.332	709.309	745.299	701.4989999999999	774.166	750.952
29.8164	44.6659	36.588	29.9296	36.6325	25.3707
76.8021	83.3311	126.01299999999999	52.2797	75.4075	89.7087
254.69099999999997	227.30700000000002	260.012	249.607	248.09900000000002	215.368
825.459	468.272	564.73	470.282	429.249	688.3330000000001
54.79600000000001	52.0854	64.6854	62.4369	52.4335	66.556
0.0	0.0	0.0	0.0	0.730401	0.0
0.0	0.9797899999999999	0.866517	0.0	0.0	0.0
7.47354	9.4873	7.86608	4.91289	5.74901	4.79387
47.8331	52.7004	81.3157	34.6838	46.9646	58.2766
45.6589	49.6169	68.796	47.3806	67.1854	59.2478
130.061	114.208	97.7981	80.1068	88.5844	90.0306
66.0983	110.555	110.811	63.102	60.0259	87.2525
189.87	157.111	197.423	139.825	213.68599999999998	177.82
62.6704	61.9089	73.5389	51.9646	48.4898	56.781000000000006
22.1093	24.8773	22.918000000000003	20.0393	32.1597	17.9576
0.0	0.0	0.0	0.0	0.0	0.0
145.08100000000002	187.051	82.713	144.64700000000002	145.084	108.01799999999999
85.494	91.5727	86.985	131.136	103.911	92.0524
19.462	56.8756	35.5061	40.6558	28.545	19.3202
54.9254	43.2756	54.2774	43.4614	48.8237	40.8939
361.314	324.38	360.224	279.49	348.49800000000005	288.562
33.6794	25.3855	31.9036	17.7119	37.3073	15.4311
7.162389999999999	2.4625	2.17782	2.72038	2.5466900000000003	5.6881699999999995
278.528	289.074	341.75199999999995	214.437	180.90200000000002	254.88400000000001
536.965	570.831	574.9540000000001	495.47900000000004	531.487	523.242
129.941	169.41099999999997	162.735	155.39	146.155	130.782
186.68599999999998	157.211	212.327	200.601	173.929	246.31900000000002
61.1932	55.5928	51.9382	60.7219	65.1663	63.9658
439.035	414.92699999999996	474.779	533.078	516.524	444.907
1525.74	1845.02	1483.74	2193.1	1802.87	1916.78
810.227	839.748	904.4639999999999	866.1030000000001	1004.33	860.4169999999999
91.539	96.1976	127.22	93.4796	111.23100000000001	96.1872
34.5551	39.8947	44.622	29.8138	28.0998	33.7104
7.72814	10.7365	15.3938	5.57101	10.725	7.891030000000001
0.843492	3.4800199999999997	6.924810000000001	4.80556	4.0488599999999995	7.033710000000001
24.2291	34.3621	34.8098	34.5096	31.0139	31.0278
0.0	0.0	0.0	0.0	0.0	0.0
14.5081	10.4748	33.0852	13.2249	23.2135	15.5545
1.59695	3.29429	2.18508	1.8196400000000001	1.91639	5.70714
19.4122	18.4416	21.4355	18.6266	20.4344	11.5625
142.60399999999998	145.434	122.774	173.44400000000002	130.751	133.612
64.9964	46.801	33.5598	43.318000000000005	50.0362	37.9833
193.042	170.665	159.493	166.185	205.84	159.179
291.587	251.435	244.53099999999998	295.628	263.375	267.986
13.3155	12.208	8.097489999999999	15.1723	8.2854	7.049860000000001
38.8803	32.0819	49.107	42.9388	55.0319	38.4783
42.7724	42.6463	29.2624	39.8017	33.0781	31.421
261.691	254.872	254.365	272.764	254.662	268.813
399.27099999999996	410.895	373.213	461.08099999999996	415.611	400.815
176.273	118.964	115.13600000000001	195.894	160.173	176.285
247.37900000000002	226.804	125.365	187.917	95.9554	211.345
70.2486	65.1763	63.7733	54.3842	77.7123	46.8471
79.1547	79.1686	79.4973	81.9931	79.3165	77.1493
1.41146	1.4558200000000001	1.28751	0.0	0.0	0.0
22.2014	10.1026	16.0823	8.92843	9.40316	11.668
250.667	326.514	269.908	243.907	220.524	216.517
16.8228	20.7875	28.7159	11.0077	5.86313	13.6909
