cK1	cK2	cK3	cK4	cK5	cK6
3.41435	36.1082	8.02313	18.601	3.5203	13.7512
27.7747	35.1989	32.6328	27.5116	26.0332	17.7962
4967.88	1910.45	3502.1	5412.9	2048.81	8003.19
120.50200000000001	168.74900000000002	218.514	194.22	165.49900000000002	168.488
0.180552	0.0	0.636397	0.196725	0.186154	0.0
290.22	203.519	453.30699999999996	215.77200000000002	915.2769999999999	1058.84
0.0	0.0	0.0	0.0	0.0	0.0
9.96232	11.4934	12.4852	8.32198	7.19002	10.6995
156.079	120.77600000000001	167.725	155.543	180.547	168.65
66.8753	63.3755	57.2458	43.7196	43.3403	28.8577
29.5121	14.7119	16.2669	12.7035	16.5287	23.4784
33.7568	7.57257	6.61022	8.582180000000001	2.32029	2.26591
95.5517	82.5215	71.3548	74.1131	42.5792	61.9644
22.2028	49.8069	36.2311	22.8478	169.78099999999998	12.4196
20.5137	13.2908	10.479000000000001	10.2039	11.4947	15.2664
0.0	0.0	0.0	0.0	0.0	0.0
27.8932	27.1248	29.0052	35.9812	21.816999999999997	27.761999999999997
26.0843	111.25299999999999	115.90100000000001	92.4973	111.48700000000001	71.6276
79.9029	208.747	165.30900000000003	136.269	85.9642	115.431
1.04587	3.0165	12.2881	6.83735	11.8615	4.21221
33.7951	19.4944	15.8825	29.458000000000002	13.9375	0.0
78.4402	104.359	88.4367	96.6898	96.3955	149.98
47.6916	60.3703	71.9097	41.5711	35.2396	36.8147
48.287	42.6001	40.0468	28.4727	63.2567	28.5992
105.029	145.404	234.46	178.523	142.94	143.821
92.9077	70.1286	73.5242	65.6743	36.8121	71.8989
18.8088	12.2059	12.7068	8.19749	10.181000000000001	11.3628
53.418	59.76	59.9088	65.6109	68.0935	23.4698
368.045	239.15599999999998	203.96099999999998	181.22299999999998	99.9909	136.707
0.0	6686.58	1167.37	6495.48	2048.81	2000.8
0.0	0.0	0.0	0.0	0.0	0.0
93.557	97.1416	101.12799999999999	117.229	65.5929	105.50299999999999
11.4335	4.94651	7.388389999999999	6.85177	1.76825	9.209660000000001
9.7622	74.0404	62.4464	37.8194	19.0119	91.7397
1.70425	0.0	0.0	0.0	0.0	0.0
57.5514	56.896	45.2912	46.1428	61.0166	53.5733
153.531	65.3897	89.7254	72.8076	28.7063	20.825
408.07599999999996	371.00300000000004	453.39599999999996	401.135	548.789	393.014
349.591	358.841	443.681	321.719	392.05699999999996	305.236
2.50745	0.903999	0.7365079999999999	2.04905	1.93894	1.8935
0.164895	0.713387	0.387475	0.628833	0.340024	0.0
182.321	208.62	264.525	224.42	180.4	169.576
