cM1	cM2	cM3	cM4	cM5	cM6
129.287	106.42299999999999	242.97099999999998	90.2788	257.35	198.179
110.715	63.3147	299.064	280.192	151.506	357.791
109.272	135.30100000000002	132.197	145.799	119.882	82.03
29.5351	32.5084	24.9283	49.6607	31.1803	22.2963
8.9575	1.02093	1.8789	3.46155	2.0643	3.76669
62.9768	50.9608	63.549	61.7948	73.5505	59.323
1.7764	2.10563	1.9375799999999999	1.52986	1.06439	2.42771
1455.94	719.074	992.528	1044.89	1090.47	0.0
2.54668	2.01245	1.04166	1.8277	3.8148199999999997	1.9142299999999999
120.64299999999999	71.0949	80.3742	125.93799999999999	96.5196	153.634
2.51313	7.860989999999999	5.71075	10.2205	5.6468300000000005	5.15183
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	1.87044	0.0
58.4762	52.2606	55.8636	77.0823	42.3077	44.5792
4.37131	2.8786	0.0	3.7646300000000004	6.98457	1.99135
571.976	1190.97	788.705	2327.69	647.464	2256.24
657.355	592.253	613.547	627.489	477.92	636.054
2.29643	1.13419	0.3131	0.659239	1.03199	0.313841
0.0	0.0	0.0	0.0	0.180975	0.0
230.403	264.478	272.315	244.671	351.79699999999997	173.11900000000003
0.45726700000000003	1.35504	0.0	0.6563399999999999	0.0	0.0
29.5276	8.4135	9.29043	5.70535	5.95418	5.43224
0.0	0.0	0.0	0.0	0.0	0.0
3.7718599999999998	0.0	0.0	0.0	0.0	0.0
0.0	4.84225	0.0	1.75908	5.50741	3.34975
332.79900000000004	297.009	296.68	198.423	438.55699999999996	152.985
10.8315	21.8442	17.2293	26.5596	23.6617	20.354
0.476732	0.0	0.0	0.0	0.0	0.0
0.6122529999999999	1.20954	0.0	0.8788	0.0	0.0
3.4500900000000003	1.70397	11.7598	9.9042	7.75213	7.07258
53.059	47.0198	44.6452	39.6024	40.8755	23.2041
71.166	97.3898	97.0292	85.1237	47.7495	51.6687
4.08971	1.6634200000000001	1.9680000000000002	1.72653	2.52256	0.9863280000000001
4.1169199999999995	6.45875	2.31128	1.04281	2.17658	0.661927
113.90899999999999	131.916	141.025	120.27600000000001	92.1797	64.4165
27.625999999999998	70.8542	27.093000000000004	81.3932	16.6982	47.6905
12.3444	13.9355	13.4645	31.3873	17.4348	28.9208
78.138	78.1602	57.9874	79.5028	80.007	67.5867
2.0991	0.829382	0.572392	0.0	1.25775	2.2949900000000003
126.175	108.08	137.75799999999998	114.60600000000001	146.921	101.71
16.988	8.70098	15.4412	11.7404	26.3898	8.59876
78.1436	91.1175	80.1072	78.4303	80.0907	66.6463
0.0	0.0	0.0	0.835247	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
445.838	409.425	683.847	1138.22	412.186	1328.09
13.942	0.983685	0.0	0.0	1.49175	0.0
18.5662	18.7659	12.6568	11.7752	17.1396	61.0734
3.94317	2.0973	1.65421	2.61223	2.2718	3.7307900000000003
7.223510000000001	0.0	0.0	0.0	0.0	0.0
778.174	619.891	821.4019999999999	1585.36	1165.67	1029.18
21.5646	30.9834	28.5107	57.2159	20.5564	50.9048
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
0.699298	0.172688	0.0	0.5018699999999999	0.523759	0.0
26.4476	28.0837	32.4532	37.9616	29.713	27.1083
23.3069	4.4084900000000005	2.36638	0.71178	3.34271	0.0
380.55400000000003	544.849	346.875	727.283	427.54	409.05300000000005
5.4326099999999995	4.29298	4.44415	6.238169999999999	4.882680000000001	5.93956
139.80100000000002	155.148	151.626	307.525	104.291	327.82
1.96845	0.5302899999999999	1.2199200000000001	1.0274299999999998	1.0722399999999999	0.489123
21.0873	17.8108	56.2516	34.6543	22.8897	49.7021
0.6138020000000001	1.8189099999999998	0.0	0.0	0.0	0.0
55.1492	43.5802	15.0383	79.1586	16.5222	15.0739
