cV1	cV2	cV3	cV4	cV5	cV6
71.5652	51.5408	52.9941	50.2238	61.8829	55.2413
13.0333	23.0396	10.2997	19.9563	15.1162	18.5607
1152.76	1706.78	2056.39	1352.63	1761.35	1649.5
7.2615300000000005	11.5053	15.1963	38.5037	9.26423	6.594339999999999
184.247	114.762	97.7972	139.787	112.943	122.09700000000001
1.26225	5.45441	2.43835	8.26783	2.14717	0.8597090000000001
1.18485	2.04796	2.28881	5.54343	1.00775	1.6139700000000001
42.6545	33.2794	42.9153	60.4234	51.3951	39.5423
282.991	286.163	259.077	259.397	254.88299999999998	246.5
541.1	521.299	436.45099999999996	510.713	749.581	786.1189999999999
3.57429	0.0	0.690459	0.0	0.0	0.0
48.4903	64.3724	54.0779	64.0841	51.872	42.2191
32.0085	24.8965	40.1909	28.4535	36.7527	43.6014
51.8916	77.1947	90.3814	67.2622	70.1826	59.0979
6.66936	11.9547	10.7362	15.255	10.0844	6.7295300000000005
598.855	416.788	411.204	502.50699999999995	495.82199999999995	536.613
42.2113	96.7744	80.4088	37.8523	57.3436	65.4855
43.1793	16.5853	44.0225	60.6057	69.37	65.3533
13.8603	25.046	27.1802	19.6506	19.6477	17.1639
49.3686	58.0256	46.4121	66.5211	39.7501	43.9359
30.7686	29.9151	26.0036	25.191999999999997	24.2069	28.2908
42.8914	59.1087	48.1455	37.965	37.4664	39.4769
225.048	262.423	223.76	215.227	235.74400000000003	223.15400000000002
11.8879	23.9724	18.3714	16.3148	15.5035	12.9547
30.1923	18.9769	15.9065	21.4027	17.8978	33.6497
77.7854	75.6899	66.2262	78.1769	69.0992	61.22
86.6575	128.787	74.313	167.479	79.2155	66.1924
91.6608	119.45299999999999	111.01700000000001	151.11700000000002	127.459	99.094
220.024	209.625	275.245	275.335	257.595	198.604
28.5719	26.8715	47.4826	31.8465	26.0881	26.3282
26.1082	44.3284	34.5899	38.9151	32.621	33.9905
18.2361	15.7603	14.091	75.0814	12.4083	29.8091
180.579	150.261	177.502	87.9249	96.2302	78.3655
122.509	120.10700000000001	115.147	138.671	108.68	96.8979
75.9623	100.831	111.87899999999999	100.53200000000001	113.868	107.476
73.3931	111.806	123.75399999999999	767.07	165.051	211.81099999999998
28.0876	18.5626	27.129	18.5521	18.2683	15.7543
257.93	256.64599999999996	223.993	248.513	247.36900000000003	242.92
75.3498	72.6335	55.9831	73.2182	93.6661	43.4246
24.4408	39.9408	39.9167	17.0484	26.0791	29.0555
4.43093	1.91468	0.0	2.07306	0.0	6.03573
86.8041	105.90899999999999	98.637	253.229	47.772	20.8664
3.51569	3.03837	6.7914	3.28971	5.98041	0.0
14.1769	51.236000000000004	70.9546	31.355	51.5199	43.8896
4.41451	1.52607	5.542999999999999	2.47845	2.2528099999999998	3.60802
356.13800000000003	309.459	336.505	336.86800000000005	373.694	411.301
41.1326	44.7416	30.1391	20.5715	12.6668	7.728280000000001
177.271	136.236	73.6192	72.4019	66.3013	73.1503
20.9894	37.0681	33.4946	47.8197	53.5564	21.1327
5.36143	8.10866	5.17844	2.5084	4.56006	1.82581
5.3965	0.466383	1.04246	5.0496300000000005	0.9179790000000001	0.735101
88.2718	130.064	132.781	107.648	144.002	97.5735
0.712482	0.0	0.0	0.0	0.0	0.0
147.595	167.514	115.07600000000001	183.03400000000002	111.92200000000001	67.8243
2.4439599999999997	4.752330000000001	7.0816300000000005	27.4423	3.63765	0.0
279.681	368.87800000000004	342.205	344.707	333.295	356.099
56.5291	80.9148	90.4308	94.22	78.1295	54.1425
38.1862	43.623000000000005	44.5138	31.6245	28.7454	37.6671
269.315	297.233	323.953	349.082	331.805	247.797
298.166	266.487	255.792	281.599	274.86400000000003	258.577
31.5053	23.8841	51.7844	41.8929	31.4973	24.846
33.8566	44.3079	64.4677	54.3091	45.6623	38.8715
381.93800000000005	409.515	357.066	430.01199999999994	337.01	172.495
121.329	78.4061	76.0138	106.37100000000001	98.5456	104.225
54.7269	47.8165	37.7564	110.859	35.8053	22.9378
98.0141	111.59	105.44	113.681	110.32	107.13
34.2963	36.2939	37.181999999999995	43.2257	41.0762	45.7643
77.2465	78.0739	74.61	50.2293	60.1326	69.5545
200.56599999999997	271.806	244.22299999999998	258.508	333.21	289.153
21.7509	23.848000000000003	25.0848	23.6943	26.5072	17.6887
51.6995	68.3996	66.58	52.556999999999995	57.5436	38.255
162.672	207.968	159.909	178.335	186.66	173.075
0.0	34.9699	9.77064	18.9313	0.0	6.8898399999999995
126.417	122.91	159.16899999999998	141.52700000000002	94.0812	113.777
0.0	0.0	0.0	24.383000000000003	0.0	0.0
52.7894	31.3654	25.4939	55.5707	61.7362	40.4486
0.0	0.0	0.672525	0.0	0.0	0.0
2.55915	2.2117	4.94362	4.7893099999999995	2.1766400000000004	1.74301
39.4016	45.8082	53.0077	43.8915	47.0767	31.9476
17.6583	20.5232	15.8794	19.9419	10.8758	7.46497
58.3677	55.028999999999996	43.563	51.7196	51.1479	42.163000000000004
121.851	138.468	120.196	104.315	134.067	98.8832
0.0	0.0	0.876959	2.5487599999999997	0.0	0.0
3013.45	2596.19	2462.03	2464.39	3234.04	3672.43
153.905	203.511	194.953	173.12900000000002	241.05700000000002	168.40400000000002
10.3904	8.381039999999999	10.0357	25.2785	17.0855	19.815
44.9067	46.3825	58.1847	43.0451	60.5524	49.2352
3.04705	3.35155	4.01326	2.0735900000000003	1.41361	1.50932
60.4475	72.6826	58.3844	62.71	76.001	75.1803
240.73	291.476	246.08700000000002	262.41700000000003	266.068	248.018
1.9638900000000001	0.0	0.0	0.0	0.0	0.0
149.547	115.494	144.44299999999998	139.935	138.02	117.025
812.64	1060.12	865.284	958.196	968.99	987.934
0.0	0.0	0.0	0.0	0.0	0.0
56.5098	49.2412	50.9725	48.0704	57.9938	59.7999
1425.97	887.8889999999999	865.785	1006.86	1029.79	945.7230000000001
366.12	398.098	433.37300000000005	376.13300000000004	527.618	423.24699999999996
0.0	0.0	0.0	0.0	0.0	0.0
24.8038	32.4291	33.7858	20.2338	12.9824	4.33169
5.89168	6.364719999999999	5.69059	5.51297	1.25276	2.00638
0.0	0.35022800000000004	0.0	0.0	0.0	0.0
7.601489999999999	4.10591	8.718689999999999	3.5564400000000003	4.4449	11.0018
149.393	103.62799999999999	112.96700000000001	136.111	137.93	148.608
151.644	142.298	156.879	148.157	162.487	143.786
196.34	196.929	233.19400000000002	182.972	185.66099999999997	184.27900000000002
0.0	4.90319	2.73992	2.6543900000000002	0.0	3.8641400000000004
86.9421	73.2115	59.2129	37.5478	58.7783	60.7337
17.7028	13.1137	12.2133	2.36642	10.7549	10.3348
209.50400000000002	200.72799999999998	250.84099999999998	202.301	214.625	179.61700000000002
242.31799999999998	306.541	277.578	234.41	277.28700000000003	209.68900000000002
273.54200000000003	449.015	487.50300000000004	292.619	405.87199999999996	311.072
4.918740000000001	2.55056	4.750859999999999	49.7078	0.836708	0.0
21.926	15.3398	20.1692	37.1253	14.2086	14.2224
19.7084	20.8177	38.0716	32.7851	30.4211	21.8749
27.3775	31.5474	22.0359	17.0785	23.2854	37.2931
837.573	896.357	807.558	426.8	163.162	188.81099999999998
16.2194	12.0705	19.1472	18.9711	15.7111	14.1155
357.42900000000003	154.451	863.073	501.68	0.0	486.88199999999995
7.237019999999999	11.4665	6.9900199999999995	9.029119999999999	20.5177	8.2151
116.59100000000001	111.765	119.363	120.777	84.9371	74.1375
0.0	3.65131	9.79374	23.7201	0.718685	0.0
2.68071	0.0	0.0	0.0	0.0	0.0
18.2361	17.3363	27.0077	24.4583	26.8847	36.4333
157.849	232.06799999999998	271.627	207.12400000000002	284.714	190.304
1.51453	3.92671	4.38851	7.08588	0.0	0.0
272.164	440.361	300.42900000000003	1030.17	234.965	326.13599999999997
2.04245	1.76515	3.45229	9.555810000000001	1.30287	2.08664
115.265	173.643	147.08	151.395	136.71200000000002	128.203
1684.67	3078.42	2743.37	2853.18	2746.46	2554.63
23.0599	30.163	28.5935	21.5776	27.8295	38.6279
22.2254	27.08	23.5784	26.2517	22.0023	22.334
55.4186	66.8296	51.0375	71.1518	52.6161	54.4231
62.8195	51.0655	39.0486	64.6015	25.9214	35.5842
0.0	0.0	0.0	1.99475	0.0	0.0
11.9077	28.3002	23.5776	17.8276	21.2685	12.9763
541.036	393.879	403.74300000000005	236.77700000000002	237.813	230.428
60.7731	46.2907	78.5969	126.26299999999999	62.2025	58.9309
1.4820799999999998	2.56172	0.715749	0.0	1.2605600000000001	2.0188599999999997
6.28446	1.35781	2.27624	1.47013	2.67256	6.42042
19.7917	36.0419	44.3769	31.7477	31.8633	31.7741
72.4897	109.677	130.528	102.59100000000001	141.41299999999998	103.66799999999999
35.5022	44.7231	34.8717	62.4989	46.573	50.8193
23.0599	34.8759	36.4718	30.2087	31.8714	27.0926
