cC1	cC2	cC3	cC4	cC5	cC6
31.8408	32.4661	20.5117	41.8564	32.5628	28.3253
28.4455	30.9378	46.492	32.6844	29.7095	24.6722
156.02100000000002	117.40799999999999	108.413	172.06599999999997	159.291	152.05
69.5262	80.3312	45.8559	67.0142	48.1872	66.6951
91.8267	89.2919	131.05	115.094	82.7914	118.867
38.9062	41.0622	38.3109	32.2019	46.9841	32.4474
3.23743	1.73737	3.57522	0.9457270000000001	2.9586200000000002	1.61999
1658.38	0.0	0.0	1937.8	0.0	1106.46
0.43511700000000003	0.124537	0.896963	0.169477	0.0	0.19353800000000002
86.6665	199.112	73.8081	81.1976	123.13600000000001	79.1814
8.58767	8.6027	13.4879	4.45983	13.9522	5.09301
0.905227	0.0	2.39922	0.0	0.945448	0.0
0.0	0.0	0.0	0.0	0.0	1.8978700000000002
83.3719	80.9241	85.2655	95.8309	107.426	93.1115
5.9749300000000005	3.9902599999999997	2.6393400000000002	1.16361	4.16028	3.1005599999999998
262.823	257.45599999999996	117.73299999999999	324.408	266.768	330.949
760.454	640.4019999999999	800.3919999999999	719.4110000000001	706.418	771.7869999999999
0.78472	0.0	0.23109200000000002	0.6112920000000001	0.546392	1.04712
0.481646	1.41793	0.486308	1.2864	0.503047	0.550886
154.82299999999998	144.731	119.463	152.549	134.68200000000002	135.77100000000002
0.0	0.0	0.0	0.0	0.0	0.0
317.575	375.426	473.13699999999994	403.58099999999996	382.351	398.73800000000006
0.0	0.0	0.0	0.0	0.0	0.0
8.59262	14.755999999999998	3.79566	0.0	8.97441	0.0
0.0	1.19861	0.0	0.0	0.0	0.0
0.795257	0.45522799999999997	0.0	0.0	0.0	0.0
26.2173	26.4839	29.5205	34.8395	26.8453	27.4384
0.543017	0.466258	0.0	0.6345109999999999	0.0	0.0
450.509	361.67699999999996	469.481	493.005	433.38	461.566
47.1576	28.6815	39.9264	34.4395	51.3051	36.7071
16.5768	23.1296	23.4933	24.6159	22.3631	11.5208
178.166	168.93099999999998	182.02200000000002	139.119	204.602	170.137
63.2989	66.586	63.1853	47.3882	54.0912	49.7283
1.3792200000000001	0.473703	0.4874	0.322321	0.0	0.368082
55.1798	65.3072	64.5604	76.6753	101.245	55.7208
67.3508	53.5641	34.6284	54.18600000000001	50.1629	51.5658
134.582	109.00399999999999	167.169	119.234	157.346	121.15299999999999
9.01291	0.967359	2.98599	3.9493099999999997	4.70669	3.00667
0.9563870000000001	0.0	0.42246999999999996	2.23506	0.49944099999999997	0.6380939999999999
92.0696	87.7317	98.7	95.1186	99.0922	82.4036
0.0	0.615364	0.0	0.0	0.0	0.0
28.7773	20.686999999999998	21.8764	19.55	28.658	21.4325
0.0	0.0	0.0	0.0	0.692271	0.0
0.0	0.0	0.0	0.0	0.0	0.0
243.334	294.10200000000003	300.269	400.23	324.589	289.408
316.475	256.156	296.633	405.585	353.04699999999997	381.43199999999996
78.9351	71.3665	94.0687	99.131	75.7649	79.4075
16.5838	18.6894	15.567	13.725999999999999	10.4645	13.8307
9.14209	16.4846	2.42303	20.2966	7.63864	2.43981
571.854	515.569	808.345	501.154	806.305	572.304
43.9157	44.0991	49.9773	40.0083	55.1959	40.7223
29.0943	17.9216	42.4674	27.3449	24.4418	21.0995
0.0	0.0	0.0	0.0	0.0	0.0
0.995662	3.93263	3.6944800000000004	1.1634200000000001	2.0798099999999997	2.12575
66.2748	51.0864	52.5635	55.441	62.1403	58.2874
114.38	96.757	120.76299999999999	119.462	126.542	110.419
84.0146	150.55	78.5272	71.1379	72.4872	56.8663
16.0887	12.7518	36.0814	28.9223	32.3146	6.6057
