ENSEMBL ID	Human_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)
ENSG00000004468	16.535180470915854	39.61912077429325	43.8456987547909
ENSG00000004478	29.594064342643545	37.10982860003646	33.29610705732
ENSG00000004487	30.146533936082104	37.221320056423366	32.63214600749452
ENSG00000004534	43.018013414624946	42.18262824309474	14.799358342280321
ENSG00000004660	23.50704731687702	31.8689461341741	44.62400654894888
ENSG00000004700	31.103013330312578	45.44934746026512	23.447639209422302
ENSG00000004766	34.48970725486434	34.9923247408622	30.51796800427345
ENSG00000004776	21.40227418758241	21.35850266817618	57.23922314424142
ENSG00000004777	30.489603856736547	30.962826307997137	38.54756983526631
ENSG00000004779	24.849423618149753	25.55336321970009	49.59721316215016
ENSG00000004799	32.914636548251394	57.04276955299874	10.042593898749857
ENSG00000004809	24.41347720454638	55.443081207002706	20.14344158845091
ENSG00000004838	33.87539003858918	30.77663451076042	35.347975450650395
ENSG00000004846	0.0	0.0	100.0
ENSG00000004848	34.656813507335926	17.858500229322193	47.48468626334188
ENSG00000004864	27.371246346277395	39.07419703928815	33.55455661443447
ENSG00000004866	33.44992802089428	39.609215456810595	26.940856522295114
ENSG00000004897	35.66225643820684	37.89268973974656	26.4450538220466
ENSG00000004939	54.56777297051121	0.0	45.43222702948878
ENSG00000004948	24.543429726308315	22.01929720358466	53.437273070107025
ENSG00000004961	33.982928162251206	34.0425984234903	31.974473414258505
ENSG00000004975	34.82284879876532	34.2681893077261	30.90896189350858
ENSG00000005001	0.0	0.0	100.0
ENSG00000005007	26.790160500907284	34.20683306914474	39.00300642994799
ENSG00000005020	40.37357412255353	35.39542601672259	24.230999860723887
ENSG00000005022	36.81651047901024	31.368161649502962	31.815327871486794
ENSG00000005059	22.035692832576252	43.985520260939346	33.9787869064844
ENSG00000005073			
ENSG00000005075	10.34944367156434	29.70863213931781	59.941924189117856
ENSG00000005100	29.961654317068724	38.45987403749277	31.578471645438505
ENSG00000005102	0.0	0.0	100.0
ENSG00000005108	23.846410786674483	37.18076492286172	38.9728242904638
ENSG00000005156	43.18814143075235	31.973304826373035	24.83855374287461
ENSG00000005175	34.77353598691136	34.97678717344003	30.249676839648615
ENSG00000005187	17.069250818120782	39.466270880776946	43.464478301102275
ENSG00000005189	38.45469195986189	42.638176553773924	18.90713148636418
ENSG00000005194	41.20427374109225	32.00605600729421	26.78967025161354
ENSG00000005206	24.571510013342273	24.88542038195181	50.543069604705934
ENSG00000005238	29.719279304873503	34.43589521173432	35.84482548339219
ENSG00000005243	21.089827785050705	23.416424202231127	55.49374801271817
ENSG00000005249	34.1750546397265	38.84538594557739	26.97955941469612
ENSG00000005302	37.3800049460613	39.23138966777114	23.388605386167562
ENSG00000005339	31.802721959475587	34.690258378953466	33.50701966157094
ENSG00000005379	38.81026369096946	31.459416756529706	29.730319552500852
ENSG00000005381	36.17411373948098	61.78747340943506	2.038412851083961
ENSG00000005421	78.78920534501687	12.527639087748424	8.683155567234717
ENSG00000005436	46.823432920844446	41.517705725282774	11.658861353872778
ENSG00000005448	30.523711596539084	29.35016605891068	40.12612234455023
ENSG00000005469	46.7235194885258	40.04712737217581	13.229353139298391
