ENSEMBL ID	Human_Muscle_Relative_Gene_Expression_Difference(RPKM)	Chimp_Muscle_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Muscle_Relative_Gene_Expression_Difference(RPKM)
ENSG00000003096	34.66202843484202	20.04634008448984	45.29163148066815
ENSG00000003137	13.148038418302232	26.87780006577935	59.974161515918425
ENSG00000003147	24.03435063248373	18.853513125156933	57.11213624235933
ENSG00000003249	20.567258369079074	45.02213984876392	34.41060178215701
ENSG00000003393	17.42494324749662	50.335155912705595	32.239900839797784
ENSG00000003402	29.75701177600388	61.16184273449776	9.081145489498372
ENSG00000003436	18.782895240747155	74.46474669537537	6.752358063877486
ENSG00000003509	38.68073883998639	27.1386430678466	34.180618092167
ENSG00000003756	33.4901810521932	33.80608558896258	32.703733358844225
ENSG00000003987	32.37521154439249	22.11503117974962	45.509757275857886
ENSG00000003989	30.302095558729803	41.674225470470034	28.02367897080017
ENSG00000004059	39.4310383636259	37.012250990960446	23.55671064541366
ENSG00000004139	42.46427470513765	17.61344615795735	39.92227913690501
ENSG00000004399	36.733655938556396	31.673443935295005	31.5929001261486
ENSG00000004455	9.261265042085439	74.17734617445785	16.561388783456714
ENSG00000004468	34.63556332169735	27.448668784875018	37.915767893427635
ENSG00000004478	28.299734458343707	42.35637609623982	29.343889445416465
ENSG00000004487	34.368939317085974	34.45535533131236	31.17570535160165
ENSG00000004534	40.61006801525733	45.949511373351	13.440420611391673
ENSG00000004660	33.83016290732614	49.63000841580988	16.539828676863966
ENSG00000004700	24.08065110332161	56.369467815948724	19.549881080729662
ENSG00000004766	21.178522027846473	36.793991842287596	42.02748612986593
ENSG00000004776	39.268474739837515	30.587594714307286	30.143930545855195
ENSG00000004777	48.087331727163104	36.672024095856024	15.240644176980869
ENSG00000004779	26.496748783020152	29.100821745874388	44.40242947110546
ENSG00000004799	37.7877625123342	53.0816672704936	9.130570217172224
ENSG00000004809	0.0	36.454779190077105	63.54522080992289
ENSG00000004838	38.327790550288874	33.739962572820495	27.93224687689063
ENSG00000004846	84.45518637227701	15.544813627722991	0.0
ENSG00000004848	8.869120367587639	31.851293593194175	59.27958603921818
ENSG00000004864	45.97058794232282	43.20217544697045	10.827236610706716
ENSG00000004866	35.69342280170185	25.840850080864087	38.46572711743405
ENSG00000004897	24.27875684672161	49.382437722398016	26.33880543088038
ENSG00000004939	96.18765137035432	0.5443937060372378	3.267954923608449
ENSG00000004948	38.80682770034791	24.1694784057196	37.02369389393249
ENSG00000004961	37.7479233000039	28.449330241011207	33.802746458984885
ENSG00000004975	30.90744710219997	31.81391142218464	37.2786414756154
ENSG00000005001	100.0	0.0	0.0
ENSG00000005007	24.90597640642479	39.61945996778258	35.47456362579264
ENSG00000005020	21.470151965451084	46.958547322062415	31.5713007124865
ENSG00000005022	64.99745717765518	21.927855801714614	13.074687020630215
ENSG00000005059	42.419957544280955	24.444738686727437	33.13530376899161
ENSG00000005073	27.695228617964503	23.080477259377005	49.22429412265848
ENSG00000005075	26.451174250223687	26.262587983533752	47.28623776624254
ENSG00000005100	20.387314867244232	58.59917825655291	21.013506876202843
ENSG00000005102	57.64696848030471	22.809890368316854	19.543141151378446
ENSG00000005108	32.20218932875174	34.01159082679191	33.78621984445635
ENSG00000005156	30.660222601577164	46.16092166175895	23.178855736663888
ENSG00000005175	23.40554791706583	39.27567205473354	37.31878002820062
ENSG00000005187	22.29826637693877	25.6360362997538	52.06569732330743
ENSG00000005189	13.460534097431697	33.698194982378524	52.841270920189764
ENSG00000005194	37.423081912389854	32.46335957244556	30.113558515164573
ENSG00000005206	26.80384228434122	29.951032876614043	43.24512483904475
ENSG00000005238	19.94893406714077	41.50339372371869	38.547672209140536
ENSG00000005243	38.86128292463476	22.08163028698954	39.057086788375706
ENSG00000005249	71.59491435967843	19.521114514325983	8.883971125995576
ENSG00000005302	23.80752743669809	58.262849961447635	17.929622601854263
ENSG00000005339	28.658143288387887	42.55069933525447	28.791157376357635
ENSG00000005379	62.80493645183758	20.75201106053869	16.443052487623746
ENSG00000005381	8.375679852593183	88.34835542332367	3.275964724083158
ENSG00000005421	100.0	0.0	0.0
ENSG00000005436	27.14371869341854	58.65455903517143	14.20172227141004
ENSG00000005448	22.613197623686634	21.1667229467242	56.22007942958916
ENSG00000005469	26.58974392406932	38.34227746333005	35.06797861260063
ENSG00000005471	54.12151138915552	21.182701538826066	24.695787072018405
