ENSEMBL ID	Human_Kidney_Relative_Gene_Expression_Difference(RPKM)	Chimp_Kidney_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Kidney_Relative_Gene_Expression_Difference(RPKM)
ENSG00000005238	34.97384593677104	37.46004164772956	27.5661124154994
ENSG00000005243	29.237967193594894	25.17167710371673	45.59035570268836
ENSG00000005249	28.758326059867294	54.2878207577906	16.95385318234211
ENSG00000005302	29.6916065990573	39.230510947326636	31.07788245361607
ENSG00000005339	34.65866290492114	32.87591745890466	32.46541963617421
ENSG00000005379	35.58834392420971	33.51561234155689	30.896043734233402
ENSG00000005381	14.500116789069931	85.49988321093008	0.0
ENSG00000005421	79.79118529097576	0.0	20.20881470902424
ENSG00000005436	48.07225500808617	35.13126935736482	16.796475634549008
ENSG00000005448	26.95180331571611	22.00995414592276	51.03824253836113
ENSG00000005469	17.042631195375826	23.431135292710476	59.526233511913695
ENSG00000005471	56.351382649307304	10.445516065389164	33.203101285303525
ENSG00000005483	33.32349117892209	32.445746534307865	34.23076228677003
ENSG00000005486	47.9150363079894	36.19640508587382	15.888558606136774
ENSG00000005513	52.347123264683624	19.705379190862114	27.94749754445427
ENSG00000005700	24.530804832871354	38.97545167714588	36.49374348998276
ENSG00000005810	28.01931947250347	31.81023734079821	40.170443186698314
ENSG00000005812	30.560575382753647	35.74560397458724	33.69382064265912
ENSG00000005844	27.992186585321427	60.566756223186225	11.441057191492344
ENSG00000005882	33.75769128870791	29.11924788956968	37.1230608217224
ENSG00000005884	39.24470230951098	28.739892725144667	32.01540496534436
ENSG00000005889	27.073237983200222	37.36136874909706	35.565393267702724
ENSG00000005893	36.91618001640776	29.707629930301955	33.376190053290294
ENSG00000005955	35.579376047221814	36.562186955596474	27.858436997181713
ENSG00000005961	77.72423493912784	15.256226897334818	7.0195381635373515
ENSG00000005981	39.81305385180715	60.18694614819285	0.0
ENSG00000006007	28.356282977632652	32.611120726120355	39.03259629624699
ENSG00000006015	37.99414976113361	33.50907040882699	28.496779830039397
ENSG00000006016	56.62813324932151	42.120427145833204	1.251439604845282
ENSG00000006025	41.68901826491063	32.037907219147996	26.273074515941357
ENSG00000006042	40.85823150645956	34.12027371444511	25.021494779095327
ENSG00000006047	60.07902633318495	4.0797713367818185	35.84120233003325
ENSG00000006059	100.0	0.0	0.0
ENSG00000006062	30.929177957412975	42.559822657772585	26.510999384814443
ENSG00000006071	46.85014316259856	16.726595753776476	36.42326108362497
ENSG00000006074	41.57356008216901	58.426439917831	0.0
ENSG00000006075	85.74830993655786	12.295388391052649	1.9563016723894866
ENSG00000006114	21.223746916171137	30.790955757787902	47.985297326040964
ENSG00000006116	0.0	100.0	0.0
ENSG00000006118	68.56209960248607	21.225585442365848	10.212314955148091
ENSG00000006125	30.327115897258277	40.66738059581434	29.005503506927376
ENSG00000006128	0.0	91.18474988686373	8.815250113136269
ENSG00000006194	36.368002787358	24.879286267060913	38.7527109455811
ENSG00000006210	65.84981217966853	34.15018782033147	0.0
ENSG00000006282	45.83943704511581	35.80056335575076	18.359999599133438
ENSG00000006283	83.34788142755323	6.077366955850666	10.574751616596084
ENSG00000006327	32.79948957201777	57.2307632691371	9.969747158845129
ENSG00000006377	100.0	0.0	0.0
ENSG00000006432	22.76933985776573	29.387216425381187	47.84344371685308
ENSG00000006451	46.474559222659956	32.82297273402999	20.702468043310056
ENSG00000006453	42.92189023002874	32.780364335509155	24.297745434462115
ENSG00000006459	36.31292721819937	34.014148135661785	29.672924646138853
ENSG00000006468	16.79891760238082	32.2977075476769	50.90337484994228
ENSG00000006530	26.501207517166215	46.30858892221318	27.190203560620603
ENSG00000006555	11.123167354389146	38.00739859595247	50.86943404965839
ENSG00000006576	40.91994283143872	25.309829179641113	33.77022798892016
ENSG00000006606	20.29849264940816	0.0	79.70150735059184
ENSG00000006607	29.892276626803536	38.351039671588886	31.756683701607574
ENSG00000006611	27.03937657397149	31.923739176095385	41.036884249933124
ENSG00000006625	32.13678618627389	37.13687461599336	30.726339197732745
ENSG00000006634	56.93041854075235	30.87844332150702	12.19113813774065
ENSG00000006638	33.937562196779965	38.67073199890179	27.39170580431825
ENSG00000006652	44.519097899795554	45.510791140919146	9.970110959285297
ENSG00000006695	21.488861581334632	38.49180841109671	40.01933000756865
ENSG00000006704	38.6751318597293	32.36041826770323	28.96444987256747
ENSG00000006712	40.5567084503631	35.486681061616004	23.956610488020903
ENSG00000006715	27.047333476516066	47.605454196238654	25.347212327245284
ENSG00000006740	31.82371581969964	25.920361130801645	42.25592304949872
ENSG00000006744	42.795067995603254	35.07426150031064	22.130670504086105
ENSG00000006747	52.84202951044722	23.814291974838152	23.343678514714636
ENSG00000006757	76.04441915909128	21.681006729947086	2.2745741109616406
ENSG00000006788	32.97539056388835	0.0	67.02460943611165
ENSG00000006831	31.22623203937625	33.9510776857053	34.82269027491846
ENSG00000006837	39.66682057753449	38.1549260558258	22.17825336663972
ENSG00000007001	37.18135017181166	62.68855672024445	0.1300931079439089
ENSG00000007038	56.789256649505745	1.4313129361966592	41.77943041429759
ENSG00000007047	40.26383100456301	30.826484447391316	28.90968454804567
ENSG00000007062	18.534194043403673	65.36296529245274	16.1028406641436
ENSG00000007080	36.21433262341697	36.30275618482146	27.482911191761573
ENSG00000007168	25.40198236738176	41.12254095775722	33.47547667486103
ENSG00000007171	58.67950229818827	30.31400573404561	11.006491967766124
ENSG00000007174	52.78347853133166	26.500749092714358	20.71577237595397
ENSG00000007202	30.8211903427763	37.71977685788446	31.459032799339255
ENSG00000007216	11.773059049584358	36.44932246676764	51.777618483648006
ENSG00000007237	29.61537793432249	49.258001240005136	21.126620825672386
ENSG00000007255	70.45223614556637	0.0	29.54776385443363
ENSG00000007264	75.85188605326165	12.599121995858326	11.548991950880025
ENSG00000007312	45.168356508332394	25.048314694107997	29.783328797559616
ENSG00000007314	65.57518853333217	19.31921024794879	15.105601218719034
ENSG00000007341	26.21249353767478	33.10791057112397	40.679595891201245
ENSG00000007350	40.51490578370636	36.17002231548094	23.315071900812683
ENSG00000007372	100.0	0.0	0.0
ENSG00000007376	36.119207263923535	21.57205428199163	42.308738454084846
ENSG00000007384	35.946008594578025	37.974185164901115	26.079806240520863
