ENSEMBL ID	Human_Muscle_Relative_Gene_Expression_Difference(RPKM)	Chimp_Muscle_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Muscle_Relative_Gene_Expression_Difference(RPKM)
ENSG00000004455	-3.4326469179641776	-0.43094944108576005	-2.594104437328128
ENSG00000004468	-1.529673956500687	-1.865191912288213	-1.399130153327967
ENSG00000004478	-1.821139578841795	-1.2393489335937589	-1.7688679862578516
ENSG00000004487	-1.5408227664705094	-1.5371998591430451	-1.6815058934291773
ENSG00000004534	-1.30009065134361	-1.1218785748962627	-2.8953498076282904
ENSG00000004660	-1.5636179705185214	-1.0107153956130757	-2.5959838040492054
ENSG00000004700	-2.054053694034187	-0.8270141478254083	-2.3547682630459565
ENSG00000004766	-2.2393261824927215	-1.4424578896648519	-1.2505949304850434
ENSG00000004776	-1.3485565327375821	-1.7089814312790648	-1.7300605489106033
ENSG00000004777	-1.0562712188045065	-1.4472481977370466	-2.7140042123123598
ENSG00000004779	-1.916112746621745	-1.7808682025112164	-1.1712894793474151
ENSG00000004799	-1.4040089985685589	-0.9137144090870015	-3.4531512283825063
ENSG00000004809	-inf	-1.4558201318620272	-0.6541444696271983
ENSG00000004838	-1.383537260172227	-1.5674697216186178	-1.8399964658535226
ENSG00000004846	-0.24374207359172792	-2.685494775086586	-inf
ENSG00000004848	-3.4950651635176415	-1.6505761282899956	-0.7543927218261443
ENSG00000004864	-1.1212169772197185	-1.2108241337130892	-3.207263017845458
ENSG00000004866	-1.4862698403968297	-1.9522745640476948	-1.378354515028212
ENSG00000004897	-2.042233542197613	-1.0179300392246282	-1.9247381797419012
ENSG00000004939	-0.056076403077831606	-7.521133897323035	-4.935468105904058
ENSG00000004948	-1.3656175913706197	-2.0487417558178502	-1.4334792532552938
ENSG00000004961	-1.4055308180575372	-1.8135334061286348	-1.5647876252501567
ENSG00000004975	-1.6939735997044414	-1.6522703372042045	-1.4235788092541977
ENSG00000005001	0.0	-inf	-inf
ENSG00000005007	-2.0054361237847402	-1.3357188791504155	-1.495143157149161
ENSG00000005020	-2.2195956922781575	-1.0905403159895017	-1.6633143951234595
ENSG00000005022	-0.6215448165761999	-2.189163348788857	-2.93515168296115
ENSG00000005059	-1.2371849179294547	-2.0324041118107936	-1.5935589494579603
ENSG00000005073	-1.8522906472096592	-2.1152550384681983	-1.0225575768873336
ENSG00000005075	-1.918596325388475	-1.9289190047402947	-1.0805077336351643
ENSG00000005100	-2.294256318689447	-0.7710476611870806	-2.2506111460742213
ENSG00000005102	-0.7946833529847535	-2.132268582277895	-2.3552657258765124
ENSG00000005108	-1.6347693187722825	-1.55590160797572	-1.5654931506221867
ENSG00000005156	-1.705559923493227	-1.115256065367256	-2.1091187478608227
ENSG00000005175	-2.0950775563710904	-1.3482921328819335	-1.4220262704349131
ENSG00000005187	-2.1649965455766154	-1.9637548771093467	-0.9415949066498808
ENSG00000005189	-2.8931924394392197	-1.5692567782491602	-0.9202629286772432
