ENSEMBL ID	Human_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)
ENSG00000003436	-1.981546377311575	-1.824505710836764	-1.1064238308209624
ENSG00000003509	-1.3815585720827666	-2.166360341180836	-1.3458428166985437
ENSG00000003756	-1.6045621707460267	-1.5250414225104314	-1.6272932289724698
ENSG00000003987	-2.231574855007669	-1.7986648748059184	-1.0010582834436101
ENSG00000003989	-3.2300286176819584	-1.2191662182935172	-1.108139545431464
ENSG00000004059	-1.6099721425008697	-1.4160141252840965	-1.7483156018197028
ENSG00000004139	-2.3003890627991783	-1.7870168619775022	-0.9793134641096763
ENSG00000004399	-1.6923786214415155	-1.4730286770351082	-1.597896221425564
ENSG00000004455	-2.1668639340056157	-1.1347343613836658	-1.6353737429169835
ENSG00000004468	-2.515405184006804	-1.646799692861797	-0.9834947835460596
ENSG00000004478	-2.0416227400853897	-1.4428972192846383	-1.3611134616852631
ENSG00000004487	-1.873999095911346	-1.462370058333675	-1.4568510526302048
ENSG00000004534	-1.1810115189211547	-1.2631510695442383	-2.81274036762071
ENSG00000004660	-2.857444714576452	-1.332916613791784	-1.1045336494169726
ENSG00000004700	-1.8079369517053085	-1.3107718757793363	-1.683641953978411
ENSG00000004766	-1.9337318438323563	-1.3677461625974137	-1.511474116905938
ENSG00000004776	-2.072122937448421	-2.8545613341385945	-0.6805385227954794
ENSG00000004777	-1.6755820706231304	-1.3435582580575138	-1.7714576626860141
ENSG00000004779	-2.064298747534156	-1.731880992054785	-1.1208014636189043
ENSG00000004799	-0.9091901759132573	-1.4505835715254218	-3.2984215333156253
ENSG00000004809	-1.4458777389389414	-1.45699797460814	-1.8960340852520374
ENSG00000004838	-1.768762811996429	-2.0227650022163455	-1.1188722305125607
ENSG00000004846			
ENSG00000004848	-2.0140661627681014	-1.940909320234394	-1.0233477548220293
ENSG00000004864	-1.5976575821711179	-1.361530834882558	-1.8343498563430487
ENSG00000004866	-1.667640319653893	-1.4244612774147958	-1.6772698380553002
ENSG00000004897	-1.7608988069333982	-1.5345729284706426	-1.474916510557464
ENSG00000004939	-0.7212646513185939	-inf	-1.345804623297321
ENSG00000004948	-inf	-inf	0.0
ENSG00000004961	-1.953070103872724	-1.5767670568328118	-1.29866677417079
ENSG00000004975	-1.3325754655205309	-1.6239638147469253	-1.8442591486781323
ENSG00000005001			
ENSG00000005007	-2.0841399839745693	-1.581759730742537	-1.2172922941746525
ENSG00000005020	-1.7396117976698575	-1.1337184442089812	-2.030264516479672
ENSG00000005022	-1.5668540518699132	-1.6341490221296004	-1.555137987425757
ENSG00000005059	-2.5031027986553593	-1.123977226854694	-1.4549176569485351
ENSG00000005073			
ENSG00000005075	-2.4978489271626745	-1.6971970586287997	-0.9585471057507038
ENSG00000005100	-2.1037308537161663	-1.63673597128435	-1.1656578016401988
ENSG00000005102	-1.7578535069945491	-1.9066819813558913	-1.1922922876291049
ENSG00000005108	-2.7482542776321024	-1.499493595265785	-1.0072558889646197
ENSG00000005156	-1.6450637412208446	-1.5336917142519888	-1.5783040347676003
ENSG00000005175	-1.7627541449933284	-1.7134201294302207	-1.3205631567561982
ENSG00000005187	-1.242651676560397	-1.8052222841620251	-1.7795816833022293
ENSG00000005189	-1.757308530653296	-1.1024442520704556	-2.0680977467582267
ENSG00000005194	-1.593767612813582	-1.5758711550243643	-1.585304295541601
ENSG00000005206	-2.121478845409117	-1.9903819017041608	-0.9475381397267709
ENSG00000005238	-1.4775661905794777	-1.6049652813983735	-1.6796317357815054
ENSG00000005243	-1.3493270064107843	-2.3038683719390356	-1.3039863611780522
ENSG00000005249	-2.0450616127522623	-1.2468733391556028	-1.572061399763018
ENSG00000005302	-1.7373973291433253	-1.2174427396991638	-1.888725897636474
ENSG00000005339	-1.9437256766525757	-1.5797635040537066	-1.3021586020439
ENSG00000005379	-1.9422805628985347	-1.425644088647264	-1.4440186963819759
ENSG00000005381	-1.5933091459311541	-0.6887896858582285	-4.374359067075726
ENSG00000005421	-0.8301019173784879	-inf	-1.1926104687679517
ENSG00000005436	-0.8213801329805537	-1.7572235750680332	-2.8543067118967476
ENSG00000005448	-1.9073958313024928	-1.4047250947270293	-1.4911186970122652
ENSG00000005469	-1.6525166313178048	-1.2608731330215213	-1.9179849527416308
ENSG00000005471	-1.186455045550292	-1.642988154507815	-2.0563337720942023
ENSG00000005483	-1.9352000196434929	-1.5208619910563013	-1.3583157118125944
ENSG00000005486	-1.3494501304149449	-1.5141891710128572	-1.9575504685683316
ENSG00000005513	-1.356596968961992	-1.5333917080992532	-1.9212074527626006
ENSG00000005700	-1.6060609028915533	-1.4015459100688716	-1.771112908144307
ENSG00000005810	-2.244685611002091	-1.5415919549662924	-1.1665224981750144
ENSG00000005812	-1.9880995605492842	-1.6662152158553272	-1.2080594682122925
ENSG00000005844	-3.364542708352607	-0.4419639495523459	-2.583992220555814
ENSG00000005882	-1.7400152429962097	-1.6674117584529078	-1.3740156573215756
ENSG00000005884	-1.6127813896889183	-1.3950583752456165	-1.7719961897241514
ENSG00000005889	-1.8869378216764288	-1.6550661580432722	-1.278945983068207
ENSG00000005893	-1.220819935092606	-1.5189086093400763	-2.1712943758920145
ENSG00000005955	-1.62034015860784	-1.5249729421323552	-1.6115121431150894
ENSG00000005961	-1.5115714685652986	-0.973250912347359	-2.837387558123287
ENSG00000005981	-0.45883171478904605	-1.8760700821311744	-inf
ENSG00000006007	-1.7310476275492093	-1.4564298966103288	-1.5804692194842176
ENSG00000006015	-1.3290223108106782	-1.505354977506518	-2.0016248227713898
ENSG00000006016	-0.958770563421486	-1.2495688679091217	-3.9449496860012063
ENSG00000006025	-1.7042359874899864	-1.5621426288842948	-1.496270592991429
ENSG00000006042	-1.1141063407891354	-1.3603718635623614	-2.751068047379973
ENSG00000006047	-0.3131271768707392	-2.3576786836319057	-inf
ENSG00000006059	-inf	0.0	-inf
ENSG00000006062	-2.273108537909187	-1.7350189317023212	-1.021185562894263
ENSG00000006071	-1.734350711595088	-2.266142205130379	-1.0245290953436361
ENSG00000006074			
ENSG00000006075	-1.391923624320588	-1.5648890134188045	-1.8316665078202914
ENSG00000006114	-1.9381571920913347	-1.6564705482481257	-1.245245155789398
ENSG00000006116	-1.6386834415968232	-1.5176754290688343	-1.6012013830785619
ENSG00000006118	-1.299409854078183	-1.7357473794503093	-1.7687926839642119
ENSG00000006125	-1.9662286584730342	-1.372866596616635	-1.4821475615619115
ENSG00000006128	-2.273072760370842	-2.2419914130798846	-0.781610876193396
ENSG00000006194	-1.6011660772362946	-1.7066432528415054	-1.4579204474378684
ENSG00000006210	-1.1189432296045443	-0.8901205416916916	-inf
ENSG00000006282	-1.1832361777527378	-1.3217087715603204	-2.647679028349485
ENSG00000006283	-2.3994291812685318	-1.6595078456966073	-1.0176701746746442
ENSG00000006327	-1.7605980802551477	-0.9146663426615812	-2.519464630268585
ENSG00000006377	-2.0731155998941713	-1.6685221143690019	-1.1591417396546084
ENSG00000006432	-2.521680746927816	-1.8600682464969691	-0.8614560494658262
ENSG00000006451	-1.6241842247007274	-1.5428420742469302	-1.5890161376949536
ENSG00000006453	-0.9667821361559469	-2.2024690094242305	-1.8831641323810577
ENSG00000006459	-2.297248918269491	-1.867028330988723	-0.9367406222240641
ENSG00000006468	-1.4720639541029892	-2.1254173937056335	-1.2850764209646424
ENSG00000006530	-2.15742095783398	-1.188465002157351	-1.5688630816556874
ENSG00000006555	-5.024342736746818	-3.607086292242161	-0.17265620961005126
ENSG00000006576	-1.8617819018489437	-1.2507425903709732	-1.714861028633058
ENSG00000006606	-inf	-0.8670043273086411	-1.1465125574706334
ENSG00000006607	-1.5305725192361417	-1.7139203052537302	-1.518579486555361
ENSG00000006611	-1.1011488552237767	-1.5331427141653282	-2.4086577141317838
ENSG00000006625	-1.3808181468456984	-1.9242983608925988	-1.5041793218246
ENSG00000006634	-2.409911872262017	-1.661616203777195	-1.012321689771837
ENSG00000006638	0.0	-inf	-inf
ENSG00000006652	-1.5459822286717788	-1.4474127463800937	-1.7816075538072154
ENSG00000006695	-2.431229678424294	-1.578497152966019	-1.0596087379377426
ENSG00000006704	-1.5616729306317103	-1.758248441864587	-1.451523423243762
ENSG00000006712	-1.2743276256189566	-1.7555683386634693	-1.7837589236579308
ENSG00000006715	-2.1485654647325725	-0.9756895938779689	-1.9106835366565027
ENSG00000006740	-2.145956963043427	-1.705610463053283	-1.0970740862622332
ENSG00000006744	-1.0897100963022948	-2.0185357266218285	-1.819415855536113
ENSG00000006747	-3.293840753799973	-4.832450469408054	-0.2126751184531882
ENSG00000006757	-0.44770491121278055	-2.4278389515257137	-3.6268598864775154
ENSG00000006788	-2.534098949821944	-3.11589148353332	-0.4900487302337714
ENSG00000006831	-1.298094314565501	-1.3352765322469935	-2.343579483102438
ENSG00000006837	-1.1227334887840772	-1.4765857855131945	-2.462444341692552
ENSG00000007001	-0.07033813098234688	-4.3933417426780395	-inf
ENSG00000007038	-inf	-3.5032210385785167	-0.13319680499355455
ENSG00000007047	-1.7002841304551477	-1.4445424344705438	-1.6220840436780322
ENSG00000007062	-1.6456070386382609	-1.7333250509432494	-1.397333597873005
ENSG00000007080	-1.3320440140273038	-1.4995086779063818	-2.0050808668121998
ENSG00000007168	-2.3444454425291594	-1.3398518388313092	-1.2932312721287424
ENSG00000007171	-0.4645883005485357	-1.92819055763406	-6.314602429441625
ENSG00000007174	-1.7667929850774537	-2.639487654341209	-0.8739429012340574
ENSG00000007202	-1.8403524573790944	-1.5464340549841433	-1.4020494826342091
ENSG00000007216	-2.730002317797727	-0.23569756352360993	-inf
ENSG00000007237	-2.2600499072217546	-1.411363550495902	-1.2678469854512122
ENSG00000007255	0.0	-inf	-inf
ENSG00000007264	-1.148780699461666	-2.108688171561278	-1.6568263753429122
ENSG00000007312	-1.1120364228298163	-1.5080302281460305	-2.428421948357246
ENSG00000007314	-1.203899979753006	-1.5347336011075754	-2.179470692390322
ENSG00000007341	-1.868879080032124	-1.704289619498565	-1.2538020507354177
ENSG00000007350	-inf	-inf	0.0
ENSG00000007372	-1.6148479646569516	-2.5788527317134475	-0.9824296364711469
ENSG00000007376	-2.0831065280331416	-1.7221402953469613	-1.117488118729914
ENSG00000007384	-1.4575041314118866	-1.6900335229902044	-1.6172430811093956
ENSG00000007392	-1.306168462590972	-1.5213051478765434	-2.016039661543083
ENSG00000007402	-2.2469537080755413	-1.65970442789396	-1.0806140041059158
ENSG00000007516	-0.5703087195297829	-2.674471258325525	-2.5573535717212317
ENSG00000007520	-1.1467069437222979	-1.796907711026469	-1.9403444356035902
ENSG00000007541	-1.362179020895855	-1.4255965799469632	-2.0664860462525736
ENSG00000007545	-2.155510098441566	-1.514820628271503	-1.2324085560897127
ENSG00000007866	-1.118568019741929	-1.3653948365614346	-2.724315201206721
ENSG00000007908	-4.492972112827698	-0.17324932395420628	-3.8625597270255403
ENSG00000007923	-1.8318003392625337	-1.4485095138831656	-1.5035422141508283
ENSG00000007933	-1.7498106595662457	-4.552019709809943	-0.599396138305807
ENSG00000007944	-1.5130014474539917	-1.7417922001942254	-1.5120178408567015
ENSG00000007952	-2.5369745610031815	-0.5276650257013213	-2.8994820487298747
ENSG00000007968			
ENSG00000008018	-1.572592450021285	-1.6279901127849499	-1.5553004583281245
ENSG00000008056	-1.6884391102300782	-1.754814515303274	-1.3458347323892592
ENSG00000008083	-1.911716743994441	-1.6848614339493841	-1.2406187431921398
ENSG00000008086	-2.3087112738913316	-1.497200913568069	-1.1716305712819306
ENSG00000008118	-2.018753121995701	-1.1357124078974752	-1.7460421280139085
ENSG00000008128	-1.8946784597591442	-1.8642997422554863	-1.1315977367256078
ENSG00000008130	-2.1610583770795624	-1.9718578442231447	-0.9393070874676496
ENSG00000008196	-inf	-inf	0.0
ENSG00000008197			
ENSG00000008226	-2.857203453539372	-0.5138413482255437	-2.6291488912885264
ENSG00000008256	-1.6362563173765448	-1.6414885059183264	-1.4828382298727192
ENSG00000008277	-2.4580426252923604	-1.768077909232076	-0.9312410240973606
ENSG00000008282	-1.2607476745846475	-1.7104242500534097	-1.851510045127721
ENSG00000008283	-1.4771009928032646	-1.477845893135035	-1.8274324724560072
ENSG00000008294	-1.6451789418528011	-1.7145884819242632	-1.4127164459954298
ENSG00000008300	-2.2574861492519993	-1.3535615212036696	-1.3235913404487634
ENSG00000008311	-1.0185567341975177	-1.6565076543542592	-2.4021379707092474
ENSG00000008323			
ENSG00000008324	-1.7768904353589594	-2.218698007953977	-1.0193073466570712
ENSG00000008382	-1.603926242788975	-1.2654669896657924	-1.9711205642621554
ENSG00000008394	-0.3814814625956573	-4.570719311609669	-2.3938721936312586
ENSG00000008405	-1.9355779154117314	-1.6198500707207917	-1.2750381611218626
ENSG00000008441	-1.8308109653740061	-1.8489181508614811	-1.1801912935639696
ENSG00000008513	-2.2383830532227345	-1.672970738352672	-1.0756131311565496
ENSG00000008516	-0.7561164719707029	-1.6445862214769214	-3.505141936103703
ENSG00000008710	-1.4978555840356855	-1.3598591181693913	-1.9640925716747624
ENSG00000008735	-1.9414354387536472	-1.5382259629261648	-1.3388554864477837
ENSG00000008838	-1.9774291769283017	-1.3505584833428776	-1.4985137674906421
ENSG00000008853	-1.7137640175606523	-1.726582088619697	-1.3475111711624645
ENSG00000008869	-1.7647339153556185	-1.9175922912899055	-1.181073698051056
ENSG00000008952	-1.3470707169266964	-1.6712143320173072	-1.7714131290689812
