ENSEMBL ID	Human_Kidney_Relative_Gene_Expression_Difference(RPKM)	Chimp_Kidney_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Kidney_Relative_Gene_Expression_Difference(RPKM)
ENSG00000003147	-1.2122973089619486	-1.4287921173452012	-2.3438978280444105
ENSG00000003249	-2.513590541465521	-1.0568930280818034	-1.538619541719759
ENSG00000003393	-1.709916849969207	-1.7601359564088699	-1.3251706941928387
ENSG00000003402	-1.664179482032731	-1.451808497755238	-1.6487635379038206
ENSG00000003436	-2.091658011424153	-0.9559228996470646	-2.0007077592918243
ENSG00000003509	-1.5356563392105893	-1.6750782641921909	-1.5482334387498586
ENSG00000003756	-1.3349882606540697	-1.5865427771191598	-1.8855727664213229
ENSG00000003987	-1.2389422687798242	-2.4262690319933147	-1.3574523166159786
ENSG00000003989	-1.4845278680702008	-1.262759530403636	-2.1463174455587106
ENSG00000004059	-1.3755275369427404	-1.4940751302004538	-1.9457494317816206
ENSG00000004139	-0.894216920570978	-1.4107935579511808	-3.5419357258680924
ENSG00000004399	-1.16033598576563	-1.4835716304738633	-2.3585334229814685
ENSG00000004455	-2.7522558364731187	-1.248571693399582	-1.2151888506173727
ENSG00000004468	-4.5441973841565515	-0.8755126669988715	-1.2790069532558097
ENSG00000004478	-1.8887090936914859	-1.3838489121780462	-1.5280060247407299
ENSG00000004487	-1.4843823004326768	-1.3685594542902388	-1.9696174861435356
ENSG00000004534	-1.0830118146647105	-1.1678757294771474	-3.592806889426019
ENSG00000004660	-1.132117583471609	-1.6522566726979777	-2.1480822759843146
ENSG00000004700	-1.6507649371377648	-1.1106891181319583	-2.1945856334257607
ENSG00000004766	-1.7636219314135275	-1.6167642801191509	-1.3981088686681258
ENSG00000004776	-2.194251448480599	-1.0360453154431386	-1.766941389334855
ENSG00000004777	-1.7656108832965307	-2.273074208131795	-1.0028613559964892
ENSG00000004779	-2.321345508052409	-2.0380789186883783	-0.8457240717872486
ENSG00000004799	-2.561587228554133	-0.37324852411090115	-4.09372400499097
ENSG00000004809	-2.9695240547341575	-0.4776819512514277	-2.6971176549602056
ENSG00000004838	-0.8321399085700377	-3.100797312596663	-1.6360335183271135
ENSG00000004846	0.0	-inf	-inf
ENSG00000004848	0.0	-inf	-inf
ENSG00000004864	-2.430624770506435	-1.2229136090735957	-1.3729600200167944
ENSG00000004866	-1.5794027440313605	-1.5586893297249027	-1.617408990534692
ENSG00000004897	-1.6868051309976408	-1.4957628205172104	-1.5786601209931517
ENSG00000004939	-1.6108258135191489	-2.2761995891196722	-1.1011392075798656
ENSG00000004948	-3.1793867194815943	-1.8633287684531838	-0.7018723804443807
ENSG00000004961	-1.1248561677734918	-1.9542401151375683	-1.8191108157230078
ENSG00000004975	-1.276506440161481	-1.846053341132181	-1.6940698417835072
ENSG00000005001	-1.8338441960479508	-1.4833568242713566	-1.4666233314748844
ENSG00000005007	-2.0369186145831977	-1.7211650539672838	-1.1423767329691636
ENSG00000005020	-1.977871300164249	-1.3902528951433697	-1.455463546746153
